benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-7000_p0.smt2,,to,unknown,1201.0,0,1200.9,297.0
fixnet-7000_p1.smt2,,to,unknown,1201.0,0,1201.0,385.7
fixnet-7000_p10.smt2,,to,unknown,1201.0,0,1201.0,310.5
fixnet-7000_p11.smt2,,to,unknown,1201.0,0,1200.9,475.2
fixnet-7000_p12.smt2,,to,unknown,1201.0,0,1200.8,323.4
fixnet-7000_p13.smt2,,to,unknown,1201.0,0,1200.9,333.1
fixnet-7000_p14.smt2,,to,unknown,1201.0,0,1201.0,261.0
fixnet-7000_p15.smt2,,to,unknown,1201.0,0,1201.0,450.9
fixnet-7000_p16.smt2,,to,unknown,1201.0,0,1200.7,234.7
fixnet-7000_p17.smt2,,to,unknown,1201.0,0,1200.9,319.5
fixnet-7000_p18.smt2,,to,unknown,1201.0,0,1200.9,215.8
fixnet-7000_p19.smt2,,to,unknown,1201.0,0,1201.0,314.9
fixnet-7000_p2.smt2,,to,unknown,1201.0,0,1201.0,308.4
fixnet-7000_p20.smt2,,to,unknown,1201.0,0,1201.0,332.8
fixnet-7000_p21.smt2,,to,unknown,1201.0,0,1201.0,366.7
fixnet-7000_p22.smt2,,to,unknown,1201.0,0,1201.0,224.1
fixnet-7000_p23.smt2,,to,unknown,1201.0,0,1201.0,325.1
fixnet-7000_p24.smt2,,to,unknown,1201.0,0,1201.0,286.6
fixnet-7000_p25.smt2,,to,unknown,1201.0,0,1201.0,278.7
fixnet-7000_p26.smt2,,to,unknown,1201.0,0,1201.0,308.0
fixnet-7000_p27.smt2,,to,unknown,1201.0,0,1201.0,252.9
fixnet-7000_p28.smt2,,to,unknown,1201.0,0,1201.0,281.5
fixnet-7000_p29.smt2,,to,unknown,1201.0,0,1201.0,239.7
fixnet-7000_p3.smt2,,to,unknown,1201.0,0,1201.0,374.4
fixnet-7000_p30.smt2,,to,unknown,1201.0,0,1201.0,300.3
fixnet-7000_p31.smt2,,to,unknown,1201.0,0,1201.0,288.0
fixnet-7000_p32.smt2,,ok,sat,92.7,0,92.6,42.5
fixnet-7000_p33.smt2,,ok,sat,17.6,0,17.5,32.4
fixnet-7000_p34.smt2,,to,unknown,1201.0,0,1201.0,284.6
fixnet-7000_p35.smt2,,to,unknown,1201.0,0,1200.9,274.6
fixnet-7000_p36.smt2,,to,unknown,1201.0,0,1201.0,544.9
fixnet-7000_p37.smt2,,to,unknown,1201.0,0,1201.0,354.9
fixnet-7000_p38.smt2,,to,unknown,1201.0,0,1201.0,338.0
fixnet-7000_p39.smt2,,to,unknown,1201.0,0,1201.0,343.8
fixnet-7000_p4.smt2,,to,unknown,1201.0,0,1201.0,254.4
fixnet-7000_p40.smt2,,to,unknown,1201.0,0,1201.0,260.4
fixnet-7000_p41.smt2,,to,unknown,1201.0,0,1201.0,365.7
fixnet-7000_p42.smt2,,ok,sat,1181.8,0,1181.7,399.2
fixnet-7000_p43.smt2,,to,unknown,1201.0,0,1201.0,236.6
fixnet-7000_p44.smt2,,to,unknown,1201.0,0,1201.0,323.0
fixnet-7000_p45.smt2,,to,unknown,1201.0,0,1201.0,287.8
fixnet-7000_p46.smt2,,to,unknown,1201.0,0,1200.9,439.6
fixnet-7000_p47.smt2,,to,unknown,1201.0,0,1201.0,426.0
fixnet-7000_p48.smt2,,to,unknown,1201.0,0,1201.0,283.6
fixnet-7000_p49.smt2,,ok,sat,21.5,0,21.5,32.0
fixnet-7000_p5.smt2,,ok,sat,404.5,0,404.4,87.1
fixnet-7000_p50.smt2,,to,unknown,1201.0,0,1201.0,255.2
fixnet-7000_p51.smt2,,to,unknown,1201.0,0,1200.9,190.9
fixnet-7000_p52.smt2,,to,unknown,1201.0,0,1201.0,326.0
fixnet-7000_p53.smt2,,to,unknown,1201.0,0,1201.0,319.9
fixnet-7000_p54.smt2,,to,unknown,1201.0,0,1201.0,299.1
fixnet-7000_p55.smt2,,to,unknown,1201.0,0,1201.0,386.4
fixnet-7000_p56.smt2,,to,unknown,1201.0,0,1201.0,229.3
fixnet-7000_p57.smt2,,to,unknown,1201.0,0,1201.0,216.2
fixnet-7000_p58.smt2,,to,unknown,1201.0,0,1201.0,309.7
fixnet-7000_p59.smt2,,to,unknown,1201.0,0,1200.8,315.9
fixnet-7000_p6.smt2,,to,unknown,1201.0,0,1200.9,349.3
fixnet-7000_p60.smt2,,to,unknown,1201.0,0,1201.0,368.8
fixnet-7000_p61.smt2,,to,unknown,1201.0,0,1201.0,303.4
fixnet-7000_p62.smt2,,to,unknown,1201.0,0,1201.0,302.3
fixnet-7000_p63.smt2,,to,unknown,1201.0,0,1201.0,337.6
fixnet-7000_p7.smt2,,to,unknown,1201.0,0,1201.0,293.4
fixnet-7000_p8.smt2,,to,unknown,1201.0,0,1201.0,278.1
fixnet-7000_p9.smt2,,to,unknown,1201.0,0,1201.0,393.8
