benchmark,config,status,result,time_real,exit_code,time_cpu,memory
0084-labyrinth-17-0_s0.smt2,,ok,sat,712.8,0,711.7,1852.8
0084-labyrinth-17-0_s1.smt2,,to,unknown,1201.0,0,1198.1,1911.5
0084-labyrinth-17-0_s10.smt2,,ok,sat,741.5,0,740.0,1769.6
0084-labyrinth-17-0_s100.smt2,,ok,sat,1056.7,0,1055.4,1895.4
0084-labyrinth-17-0_s101.smt2,,ok,sat,971.7,0,969.8,1848.6
0084-labyrinth-17-0_s102.smt2,,to,unknown,1201.0,0,1198.7,2044.2
0084-labyrinth-17-0_s103.smt2,,ok,sat,752.6,0,751.7,1779.0
0084-labyrinth-17-0_s104.smt2,,ok,sat,729.3,0,725.4,1770.0
0084-labyrinth-17-0_s105.smt2,,to,unknown,1201.0,0,1198.5,1930.0
0084-labyrinth-17-0_s106.smt2,,ok,sat,737.4,0,737.0,1769.7
0084-labyrinth-17-0_s107.smt2,,ok,sat,1195.8,0,1193.9,1922.9
0084-labyrinth-17-0_s108.smt2,,ok,sat,792.1,0,788.8,1784.8
0084-labyrinth-17-0_s109.smt2,,ok,sat,744.2,0,742.4,1786.2
0084-labyrinth-17-0_s11.smt2,,ok,sat,972.1,0,970.8,1822.2
0084-labyrinth-17-0_s110.smt2,,ok,sat,1061.2,0,1059.6,1857.3
0084-labyrinth-17-0_s111.smt2,,ok,sat,879.4,0,878.8,1825.7
0084-labyrinth-17-0_s112.smt2,,ok,sat,889.3,0,888.1,1820.3
0084-labyrinth-17-0_s113.smt2,,ok,sat,637.2,0,636.8,1763.0
0084-labyrinth-17-0_s114.smt2,,ok,sat,767.1,0,764.1,1759.1
0084-labyrinth-17-0_s115.smt2,,ok,sat,953.5,0,953.2,1844.0
0084-labyrinth-17-0_s116.smt2,,to,unknown,1201.0,0,1200.7,1925.2
0084-labyrinth-17-0_s117.smt2,,to,unknown,1201.0,0,1199.4,1909.6
0084-labyrinth-17-0_s118.smt2,,ok,sat,716.1,0,714.9,1788.0
0084-labyrinth-17-0_s119.smt2,,to,unknown,1201.0,0,1197.0,1953.3
0084-labyrinth-17-0_s12.smt2,,ok,sat,622.9,0,621.5,1768.3
0084-labyrinth-17-0_s120.smt2,,ok,sat,577.8,0,577.3,1731.2
0084-labyrinth-17-0_s121.smt2,,ok,sat,995.6,0,992.8,1827.7
0084-labyrinth-17-0_s122.smt2,,ok,sat,1019.8,0,1018.9,1823.3
0084-labyrinth-17-0_s123.smt2,,ok,sat,1182.6,0,1181.3,1920.0
0084-labyrinth-17-0_s124.smt2,,ok,sat,852.0,0,851.0,1828.1
0084-labyrinth-17-0_s125.smt2,,to,unknown,1201.0,0,1198.6,1942.8
0084-labyrinth-17-0_s126.smt2,,ok,sat,1016.5,0,1016.0,1905.5
0084-labyrinth-17-0_s127.smt2,,to,unknown,1201.0,0,1200.0,1931.0
0084-labyrinth-17-0_s13.smt2,,to,unknown,1201.0,0,1200.2,1963.0
0084-labyrinth-17-0_s14.smt2,,ok,sat,1171.5,0,1168.0,1891.5
0084-labyrinth-17-0_s15.smt2,,ok,sat,980.4,0,977.1,1847.5
0084-labyrinth-17-0_s16.smt2,,to,unknown,1201.0,0,1199.3,1988.2
0084-labyrinth-17-0_s17.smt2,,ok,sat,550.4,0,548.8,1731.5
0084-labyrinth-17-0_s18.smt2,,ok,sat,920.8,0,920.1,1821.3
0084-labyrinth-17-0_s19.smt2,,ok,sat,855.6,0,851.0,1792.9
0084-labyrinth-17-0_s2.smt2,,ok,sat,810.2,0,808.8,1779.8
0084-labyrinth-17-0_s20.smt2,,to,unknown,1201.0,0,1199.7,1948.3
0084-labyrinth-17-0_s21.smt2,,ok,sat,881.7,0,879.2,1817.6
0084-labyrinth-17-0_s22.smt2,,ok,sat,775.4,0,773.6,1757.4
0084-labyrinth-17-0_s23.smt2,,to,unknown,1201.0,0,1200.5,1894.7
0084-labyrinth-17-0_s24.smt2,,ok,sat,939.2,0,936.4,1810.4
0084-labyrinth-17-0_s25.smt2,,ok,sat,787.9,0,784.9,1784.1
0084-labyrinth-17-0_s26.smt2,,ok,sat,807.1,0,805.5,1796.1
0084-labyrinth-17-0_s27.smt2,,ok,sat,564.9,0,564.4,1729.6
0084-labyrinth-17-0_s28.smt2,,ok,sat,810.8,0,810.0,1808.0
0084-labyrinth-17-0_s29.smt2,,to,unknown,1201.0,0,1200.8,1882.7
0084-labyrinth-17-0_s3.smt2,,to,unknown,1201.0,0,1199.4,1872.4
0084-labyrinth-17-0_s30.smt2,,ok,sat,820.2,0,817.3,1784.5
0084-labyrinth-17-0_s31.smt2,,ok,sat,706.3,0,705.2,1761.1
0084-labyrinth-17-0_s32.smt2,,ok,sat,947.6,0,946.4,1827.8
0084-labyrinth-17-0_s33.smt2,,ok,sat,737.9,0,736.5,1769.8
0084-labyrinth-17-0_s34.smt2,,ok,sat,644.4,0,642.5,1766.7
0084-labyrinth-17-0_s35.smt2,,ok,sat,1061.8,0,1060.4,1903.9
0084-labyrinth-17-0_s36.smt2,,ok,sat,508.1,0,507.1,1730.0
0084-labyrinth-17-0_s37.smt2,,ok,sat,967.8,0,967.3,1803.6
0084-labyrinth-17-0_s38.smt2,,to,unknown,1201.0,0,1198.4,1956.1
0084-labyrinth-17-0_s39.smt2,,ok,sat,1042.0,0,1041.2,1857.7
0084-labyrinth-17-0_s4.smt2,,to,unknown,1201.0,0,1200.5,1885.8
0084-labyrinth-17-0_s40.smt2,,ok,sat,1016.2,0,1014.6,1836.1
0084-labyrinth-17-0_s41.smt2,,to,unknown,1201.0,0,1199.7,2058.0
0084-labyrinth-17-0_s42.smt2,,ok,sat,1024.4,0,1021.6,1845.4
0084-labyrinth-17-0_s43.smt2,,ok,sat,858.5,0,857.6,1817.4
0084-labyrinth-17-0_s44.smt2,,ok,sat,912.7,0,911.0,1815.3
0084-labyrinth-17-0_s45.smt2,,ok,sat,755.5,0,754.8,1779.8
0084-labyrinth-17-0_s46.smt2,,ok,sat,917.0,0,915.3,1849.1
0084-labyrinth-17-0_s47.smt2,,ok,sat,587.0,0,586.6,1753.9
0084-labyrinth-17-0_s48.smt2,,ok,sat,910.9,0,909.5,1811.3
0084-labyrinth-17-0_s49.smt2,,ok,sat,650.7,0,649.1,1755.8
0084-labyrinth-17-0_s5.smt2,,ok,sat,760.3,0,757.9,1783.3
0084-labyrinth-17-0_s50.smt2,,ok,sat,800.6,0,799.8,1781.6
0084-labyrinth-17-0_s51.smt2,,ok,sat,745.8,0,745.0,1782.1
0084-labyrinth-17-0_s52.smt2,,ok,sat,673.0,0,670.7,1764.5
0084-labyrinth-17-0_s53.smt2,,to,unknown,1201.0,0,1198.9,2174.8
0084-labyrinth-17-0_s54.smt2,,to,unknown,1201.0,0,1199.0,1830.1
0084-labyrinth-17-0_s55.smt2,,ok,sat,526.5,0,525.4,1763.9
0084-labyrinth-17-0_s56.smt2,,ok,sat,954.7,0,951.7,1837.0
0084-labyrinth-17-0_s57.smt2,,ok,sat,791.1,0,789.5,1782.5
0084-labyrinth-17-0_s58.smt2,,ok,sat,874.8,0,873.2,1819.8
0084-labyrinth-17-0_s59.smt2,,to,unknown,1201.0,0,1200.5,1985.8
0084-labyrinth-17-0_s6.smt2,,ok,sat,946.8,0,945.7,1810.3
0084-labyrinth-17-0_s60.smt2,,ok,sat,736.1,0,735.7,1772.4
0084-labyrinth-17-0_s61.smt2,,to,unknown,1201.0,0,1199.4,1902.4
0084-labyrinth-17-0_s62.smt2,,ok,sat,656.7,0,655.6,1762.5
0084-labyrinth-17-0_s63.smt2,,ok,sat,1090.6,0,1089.3,1875.4
0084-labyrinth-17-0_s64.smt2,,ok,sat,1017.6,0,1015.8,1819.3
0084-labyrinth-17-0_s65.smt2,,to,unknown,1201.0,0,1199.8,1937.0
0084-labyrinth-17-0_s66.smt2,,to,unknown,1201.0,0,1199.5,1987.1
0084-labyrinth-17-0_s67.smt2,,to,unknown,1201.0,0,1199.7,1892.3
0084-labyrinth-17-0_s68.smt2,,ok,sat,848.2,0,846.9,1784.1
0084-labyrinth-17-0_s69.smt2,,to,unknown,1201.0,0,1199.4,1973.1
0084-labyrinth-17-0_s7.smt2,,ok,sat,955.5,0,955.0,1811.8
0084-labyrinth-17-0_s70.smt2,,to,unknown,1201.0,0,1199.4,1914.3
0084-labyrinth-17-0_s71.smt2,,ok,sat,1104.4,0,1103.2,1924.9
0084-labyrinth-17-0_s72.smt2,,ok,sat,939.0,0,938.2,1817.8
0084-labyrinth-17-0_s73.smt2,,ok,sat,1084.9,0,1082.1,1892.5
0084-labyrinth-17-0_s74.smt2,,to,unknown,1201.0,0,1200.2,1906.1
0084-labyrinth-17-0_s75.smt2,,ok,sat,627.8,0,625.6,1775.7
0084-labyrinth-17-0_s76.smt2,,ok,sat,949.2,0,947.6,1824.0
0084-labyrinth-17-0_s77.smt2,,ok,sat,914.4,0,911.7,1846.2
0084-labyrinth-17-0_s78.smt2,,to,unknown,1201.0,0,1200.7,1862.6
0084-labyrinth-17-0_s79.smt2,,to,unknown,1201.0,0,1200.0,2146.0
0084-labyrinth-17-0_s8.smt2,,to,unknown,1201.0,0,1199.0,2030.4
0084-labyrinth-17-0_s80.smt2,,ok,sat,930.2,0,928.8,1844.1
0084-labyrinth-17-0_s81.smt2,,ok,sat,761.7,0,761.3,1781.3
0084-labyrinth-17-0_s82.smt2,,ok,sat,848.8,0,846.2,1774.0
0084-labyrinth-17-0_s83.smt2,,to,unknown,1201.0,0,1199.0,1889.6
0084-labyrinth-17-0_s84.smt2,,to,unknown,1201.0,0,1199.8,1941.8
0084-labyrinth-17-0_s85.smt2,,ok,sat,1001.9,0,1001.4,1861.8
0084-labyrinth-17-0_s86.smt2,,ok,sat,949.6,0,947.6,1860.6
0084-labyrinth-17-0_s87.smt2,,ok,sat,1118.6,0,1114.5,1910.4
0084-labyrinth-17-0_s88.smt2,,to,unknown,1201.0,0,1200.7,1981.1
0084-labyrinth-17-0_s89.smt2,,ok,sat,701.3,0,700.3,1765.3
0084-labyrinth-17-0_s9.smt2,,ok,sat,972.1,0,969.6,1825.2
0084-labyrinth-17-0_s90.smt2,,ok,sat,780.8,0,780.1,1765.3
0084-labyrinth-17-0_s91.smt2,,ok,sat,965.5,0,964.5,1818.2
0084-labyrinth-17-0_s92.smt2,,ok,sat,899.6,0,895.0,1828.3
0084-labyrinth-17-0_s93.smt2,,ok,sat,900.7,0,900.0,1835.2
0084-labyrinth-17-0_s94.smt2,,ok,sat,849.1,0,847.3,1800.0
0084-labyrinth-17-0_s95.smt2,,ok,sat,1067.6,0,1066.7,1867.6
0084-labyrinth-17-0_s96.smt2,,ok,sat,735.3,0,732.1,1774.8
0084-labyrinth-17-0_s97.smt2,,ok,sat,721.8,0,719.8,1788.5
0084-labyrinth-17-0_s98.smt2,,to,unknown,1201.0,0,1199.1,1964.3
0084-labyrinth-17-0_s99.smt2,,ok,sat,162.2,0,161.7,1678.6
0084-labyrinth-17-0_s128.smt2,,ok,sat,1113.3,0,1113.0,1831.7
0084-labyrinth-17-0_s129.smt2,,to,unknown,1201.0,0,1200.8,1903.9
0084-labyrinth-17-0_s130.smt2,,ok,sat,901.4,0,901.0,1847.3
0084-labyrinth-17-0_s131.smt2,,ok,sat,1004.1,0,1003.7,1820.9
0084-labyrinth-17-0_s132.smt2,,ok,sat,626.8,0,626.4,1763.1
0084-labyrinth-17-0_s133.smt2,,ok,sat,589.1,0,588.8,1727.2
0084-labyrinth-17-0_s134.smt2,,to,unknown,1201.0,0,1200.8,1863.3
0084-labyrinth-17-0_s135.smt2,,to,unknown,1201.0,0,1200.8,1995.9
0084-labyrinth-17-0_s136.smt2,,ok,sat,816.4,0,816.1,1791.9
0084-labyrinth-17-0_s137.smt2,,to,unknown,1201.0,0,1200.3,1903.1
0084-labyrinth-17-0_s138.smt2,,ok,sat,975.9,0,974.9,1837.0
0084-labyrinth-17-0_s139.smt2,,ok,sat,957.1,0,956.3,1802.9
0084-labyrinth-17-0_s140.smt2,,ok,sat,981.9,0,981.5,1837.8
0084-labyrinth-17-0_s141.smt2,,ok,sat,770.9,0,770.4,1766.8
0084-labyrinth-17-0_s142.smt2,,ok,sat,770.6,0,769.7,1785.6
0084-labyrinth-17-0_s143.smt2,,ok,sat,806.9,0,806.1,1777.6
0084-labyrinth-17-0_s144.smt2,,ok,sat,931.7,0,931.4,1846.0
0084-labyrinth-17-0_s145.smt2,,ok,sat,663.2,0,662.4,1757.3
0084-labyrinth-17-0_s146.smt2,,ok,sat,902.0,0,901.6,1793.4
0084-labyrinth-17-0_s147.smt2,,ok,sat,827.4,0,827.0,1784.0
0084-labyrinth-17-0_s148.smt2,,ok,sat,1084.7,0,1084.4,1866.2
0084-labyrinth-17-0_s149.smt2,,to,unknown,1201.0,0,1200.5,1874.7
0084-labyrinth-17-0_s150.smt2,,ok,sat,1010.5,0,1010.1,1841.7
0084-labyrinth-17-0_s151.smt2,,to,unknown,1201.0,0,1200.8,1935.8
0084-labyrinth-17-0_s152.smt2,,ok,sat,823.8,0,823.5,1788.0
0084-labyrinth-17-0_s153.smt2,,ok,sat,801.9,0,801.3,1798.8
0084-labyrinth-17-0_s154.smt2,,ok,sat,805.5,0,805.1,1771.2
0084-labyrinth-17-0_s155.smt2,,to,unknown,1201.0,0,1200.5,1847.8
0084-labyrinth-17-0_s156.smt2,,ok,sat,924.3,0,923.9,1811.0
0084-labyrinth-17-0_s157.smt2,,ok,sat,705.1,0,704.8,1774.1
0084-labyrinth-17-0_s158.smt2,,to,unknown,1201.0,0,1200.8,1945.1
0084-labyrinth-17-0_s159.smt2,,ok,sat,1000.1,0,999.7,1865.8
0084-labyrinth-17-0_s160.smt2,,to,unknown,1201.0,0,1200.6,1962.7
0084-labyrinth-17-0_s161.smt2,,to,unknown,1201.0,0,1200.8,1918.4
0084-labyrinth-17-0_s162.smt2,,to,unknown,1201.0,0,1200.7,1801.4
0084-labyrinth-17-0_s163.smt2,,ok,sat,693.4,0,693.0,1761.4
0084-labyrinth-17-0_s164.smt2,,ok,sat,717.3,0,716.9,1769.3
0084-labyrinth-17-0_s165.smt2,,ok,sat,716.2,0,715.9,1762.1
0084-labyrinth-17-0_s166.smt2,,to,unknown,1201.0,0,1200.7,1880.4
0084-labyrinth-17-0_s167.smt2,,ok,sat,902.7,0,902.2,1821.9
0084-labyrinth-17-0_s168.smt2,,ok,sat,1068.2,0,1067.9,1847.4
0084-labyrinth-17-0_s169.smt2,,ok,sat,926.1,0,925.7,1833.8
0084-labyrinth-17-0_s170.smt2,,to,unknown,1201.0,0,1200.8,1932.3
0084-labyrinth-17-0_s171.smt2,,ok,sat,992.3,0,992.0,1869.5
0084-labyrinth-17-0_s172.smt2,,ok,sat,779.0,0,778.2,1764.5
0084-labyrinth-17-0_s173.smt2,,ok,sat,634.7,0,633.7,1761.9
