benchmark,config,status,result,time_real,exit_code,time_cpu,memory
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s0.smt2,,to,unknown,1201.0,0,1199.5,1272.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s1.smt2,,to,unknown,1201.0,0,1200.9,1268.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s10.smt2,,to,unknown,1201.0,0,1200.6,1279.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s100.smt2,,to,unknown,1201.0,0,1199.0,1274.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s101.smt2,,to,unknown,1201.0,0,1198.6,1283.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s102.smt2,,to,unknown,1201.0,0,1200.8,1291.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s103.smt2,,to,unknown,1201.0,0,1199.9,1291.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s104.smt2,,to,unknown,1201.0,0,1199.8,1288.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s105.smt2,,to,unknown,1201.0,0,1200.3,1271.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s106.smt2,,to,unknown,1201.0,0,1199.6,1279.9
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s107.smt2,,to,unknown,1201.0,0,1200.8,1281.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s108.smt2,,to,unknown,1201.0,0,1198.8,1284.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s109.smt2,,to,unknown,1201.0,0,1200.4,1283.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s11.smt2,,to,unknown,1201.0,0,1200.9,1285.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s110.smt2,,to,unknown,1201.0,0,1199.9,1292.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s111.smt2,,to,unknown,1201.0,0,1200.8,1283.7
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s112.smt2,,to,unknown,1201.0,0,1200.7,1285.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s113.smt2,,to,unknown,1201.0,0,1199.7,1277.9
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s114.smt2,,to,unknown,1201.0,0,1200.8,1279.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s115.smt2,,to,unknown,1201.0,0,1200.9,1291.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s116.smt2,,to,unknown,1201.0,0,1200.2,1278.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s117.smt2,,to,unknown,1201.0,0,1200.5,1278.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s118.smt2,,to,unknown,1201.0,0,1199.9,1279.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s119.smt2,,to,unknown,1201.0,0,1200.8,1280.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s12.smt2,,to,unknown,1201.0,0,1199.5,1283.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s120.smt2,,to,unknown,1201.0,0,1200.9,1277.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s121.smt2,,to,unknown,1201.0,0,1200.9,1271.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s122.smt2,,to,unknown,1201.0,0,1198.8,1288.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s123.smt2,,to,unknown,1201.0,0,1200.7,1289.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s124.smt2,,to,unknown,1201.0,0,1200.9,1275.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s125.smt2,,to,unknown,1201.0,0,1200.3,1283.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s126.smt2,,to,unknown,1201.0,0,1199.6,1269.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s127.smt2,,to,unknown,1201.0,0,1200.6,1282.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s13.smt2,,to,unknown,1201.0,0,1198.5,1295.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s14.smt2,,to,unknown,1201.0,0,1200.3,1292.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s15.smt2,,to,unknown,1201.0,0,1200.1,1267.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s16.smt2,,to,unknown,1201.0,0,1200.9,1287.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s17.smt2,,to,unknown,1201.0,0,1200.6,1279.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s18.smt2,,to,unknown,1201.0,0,1200.9,1270.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s19.smt2,,to,unknown,1201.0,0,1200.7,1301.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s2.smt2,,to,unknown,1201.0,0,1200.9,1275.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s20.smt2,,to,unknown,1201.0,0,1200.8,1285.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s21.smt2,,to,unknown,1201.0,0,1200.8,1294.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s22.smt2,,to,unknown,1201.0,0,1200.7,1292.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s23.smt2,,to,unknown,1201.0,0,1200.4,1287.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s24.smt2,,to,unknown,1201.0,0,1200.1,1285.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s25.smt2,,to,unknown,1201.0,0,1198.4,1274.7
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s26.smt2,,to,unknown,1201.0,0,1199.5,1272.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s27.smt2,,to,unknown,1201.0,0,1200.8,1301.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s28.smt2,,to,unknown,1201.0,0,1199.7,1275.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s29.smt2,,to,unknown,1201.0,0,1200.7,1304.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s3.smt2,,to,unknown,1201.0,0,1200.8,1285.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s30.smt2,,to,unknown,1201.0,0,1200.9,1301.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s31.smt2,,to,unknown,1201.0,0,1200.7,1282.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s32.smt2,,to,unknown,1201.0,0,1200.8,1277.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s33.smt2,,to,unknown,1201.0,0,1200.8,1275.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s34.smt2,,to,unknown,1201.0,0,1200.9,1289.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s35.smt2,,to,unknown,1201.0,0,1200.8,1282.7
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s36.smt2,,to,unknown,1201.0,0,1200.8,1266.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s37.smt2,,to,unknown,1201.0,0,1199.1,1275.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s38.smt2,,to,unknown,1201.0,0,1200.9,1286.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s39.smt2,,to,unknown,1201.0,0,1200.8,1287.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s4.smt2,,to,unknown,1201.0,0,1200.7,1290.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s40.smt2,,to,unknown,1201.0,0,1200.0,1270.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s41.smt2,,to,unknown,1201.0,0,1199.7,1270.4
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s42.smt2,,to,unknown,1201.0,0,1200.5,1291.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s43.smt2,,to,unknown,1201.0,0,1200.9,1286.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s44.smt2,,to,unknown,1201.0,0,1200.5,1279.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s45.smt2,,to,unknown,1201.0,0,1200.9,1273.9
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s46.smt2,,to,unknown,1201.0,0,1200.2,1277.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s47.smt2,,to,unknown,1201.0,0,1199.3,1286.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s48.smt2,,to,unknown,1201.0,0,1200.8,1277.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s49.smt2,,to,unknown,1201.0,0,1200.8,1276.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s5.smt2,,to,unknown,1201.0,0,1200.0,1302.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s50.smt2,,to,unknown,1201.0,0,1200.4,1298.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s51.smt2,,to,unknown,1201.0,0,1200.9,1272.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s52.smt2,,to,unknown,1201.0,0,1200.9,1290.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s53.smt2,,to,unknown,1201.0,0,1200.4,1304.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s54.smt2,,to,unknown,1201.0,0,1200.8,1293.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s55.smt2,,to,unknown,1201.0,0,1199.0,1297.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s56.smt2,,to,unknown,1201.0,0,1200.8,1271.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s57.smt2,,to,unknown,1201.0,0,1198.3,1290.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s58.smt2,,to,unknown,1201.0,0,1198.8,1297.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s59.smt2,,to,unknown,1201.0,0,1199.3,1302.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s6.smt2,,to,unknown,1201.0,0,1200.9,1293.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s60.smt2,,to,unknown,1201.0,0,1198.4,1293.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s61.smt2,,to,unknown,1201.0,0,1200.8,1290.2
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s62.smt2,,to,unknown,1201.0,0,1198.7,1282.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s63.smt2,,to,unknown,1201.0,0,1198.7,1300.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s64.smt2,,to,unknown,1201.0,0,1200.8,1277.9
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s65.smt2,,to,unknown,1201.0,0,1199.5,1282.1
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s66.smt2,,to,unknown,1201.0,0,1199.8,1277.9
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s67.smt2,,to,unknown,1201.0,0,1200.8,1271.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s68.smt2,,to,unknown,1201.0,0,1200.9,1294.5
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s69.smt2,,to,unknown,1201.0,0,1199.7,1287.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s7.smt2,,to,unknown,1201.0,0,1200.7,1289.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s70.smt2,,to,unknown,1201.0,0,1200.9,1279.8
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s71.smt2,,to,unknown,1201.0,0,1200.6,1285.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s72.smt2,,to,unknown,1201.0,0,1199.1,1263.6
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate_s73.smt2,,to,unknown,1201.0,0,1200.4,1298.6
