benchmark,config,status,result,time_real,exit_code,time_cpu,memory
PEQ016_size7_s0.smt2,,to,unknown,1201.0,0,1201.0,81.8
PEQ016_size7_s1.smt2,,to,unknown,1201.0,0,1201.0,75.9
PEQ016_size7_s10.smt2,,to,unknown,1201.0,0,1201.0,69.5
PEQ016_size7_s100.smt2,,to,unknown,1201.0,0,1201.0,70.0
PEQ016_size7_s101.smt2,,to,unknown,1201.0,0,1201.0,74.2
PEQ016_size7_s102.smt2,,to,unknown,1201.0,0,1201.0,69.1
PEQ016_size7_s103.smt2,,to,unknown,1201.0,0,1201.0,77.5
PEQ016_size7_s104.smt2,,to,unknown,1201.0,0,1201.0,69.3
PEQ016_size7_s105.smt2,,to,unknown,1201.0,0,1200.9,66.9
PEQ016_size7_s106.smt2,,to,unknown,1201.0,0,1201.0,75.4
PEQ016_size7_s107.smt2,,to,unknown,1201.0,0,1201.0,73.5
PEQ016_size7_s108.smt2,,to,unknown,1201.0,0,1201.0,80.0
PEQ016_size7_s109.smt2,,to,unknown,1201.0,0,1201.0,72.9
PEQ016_size7_s11.smt2,,to,unknown,1201.0,0,1201.0,77.3
PEQ016_size7_s110.smt2,,to,unknown,1201.0,0,1201.0,68.0
PEQ016_size7_s111.smt2,,to,unknown,1201.0,0,1201.0,75.1
PEQ016_size7_s112.smt2,,to,unknown,1201.0,0,1201.0,68.2
PEQ016_size7_s113.smt2,,to,unknown,1201.0,0,1201.0,77.0
PEQ016_size7_s114.smt2,,to,unknown,1201.0,0,1201.0,71.5
PEQ016_size7_s115.smt2,,to,unknown,1201.0,0,1201.0,68.4
PEQ016_size7_s116.smt2,,to,unknown,1201.0,0,1201.0,67.8
PEQ016_size7_s117.smt2,,to,unknown,1201.0,0,1201.0,81.8
PEQ016_size7_s118.smt2,,to,unknown,1201.0,0,1200.9,72.5
PEQ016_size7_s119.smt2,,to,unknown,1201.0,0,1201.0,69.9
PEQ016_size7_s12.smt2,,to,unknown,1201.0,0,1201.0,67.4
PEQ016_size7_s120.smt2,,to,unknown,1201.0,0,1201.0,80.1
PEQ016_size7_s121.smt2,,to,unknown,1201.0,0,1201.0,71.3
PEQ016_size7_s122.smt2,,to,unknown,1201.0,0,1201.0,72.8
PEQ016_size7_s123.smt2,,to,unknown,1201.0,0,1201.0,75.1
