benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_05.i_3_2_2.bpl_11_s0.smt2,,ok,unsat,725.9,0,725.9,110.1
_standard_two_index_05.i_3_2_2.bpl_11_s1.smt2,,ok,unsat,866.2,0,866.2,131.2
_standard_two_index_05.i_3_2_2.bpl_11_s10.smt2,,ok,unsat,830.6,0,830.4,131.1
_standard_two_index_05.i_3_2_2.bpl_11_s100.smt2,,ok,unsat,948.8,0,948.8,140.0
_standard_two_index_05.i_3_2_2.bpl_11_s101.smt2,,ok,unsat,872.8,0,872.8,123.6
_standard_two_index_05.i_3_2_2.bpl_11_s102.smt2,,ok,unsat,1047.6,0,1047.5,154.4
_standard_two_index_05.i_3_2_2.bpl_11_s103.smt2,,ok,unsat,1006.4,0,1006.4,136.8
_standard_two_index_05.i_3_2_2.bpl_11_s104.smt2,,ok,unsat,993.5,0,993.5,150.6
_standard_two_index_05.i_3_2_2.bpl_11_s105.smt2,,ok,unsat,1023.6,0,1023.6,161.3
_standard_two_index_05.i_3_2_2.bpl_11_s106.smt2,,ok,unsat,828.3,0,828.2,116.4
_standard_two_index_05.i_3_2_2.bpl_11_s107.smt2,,ok,unsat,831.6,0,831.6,136.4
_standard_two_index_05.i_3_2_2.bpl_11_s108.smt2,,ok,unsat,900.1,0,899.9,118.7
_standard_two_index_05.i_3_2_2.bpl_11_s109.smt2,,ok,unsat,1105.8,0,1105.8,137.7
_standard_two_index_05.i_3_2_2.bpl_11_s11.smt2,,ok,unsat,939.5,0,939.5,153.6
_standard_two_index_05.i_3_2_2.bpl_11_s110.smt2,,ok,unsat,828.3,0,828.3,148.1
_standard_two_index_05.i_3_2_2.bpl_11_s111.smt2,,ok,unsat,888.7,0,888.7,130.4
_standard_two_index_05.i_3_2_2.bpl_11_s112.smt2,,ok,unsat,882.6,0,882.1,129.7
_standard_two_index_05.i_3_2_2.bpl_11_s113.smt2,,ok,unsat,812.5,0,811.8,127.2
_standard_two_index_05.i_3_2_2.bpl_11_s114.smt2,,ok,unsat,985.1,0,984.4,131.8
_standard_two_index_05.i_3_2_2.bpl_11_s115.smt2,,ok,unsat,922.2,0,921.7,152.7
_standard_two_index_05.i_3_2_2.bpl_11_s116.smt2,,ok,unsat,1076.9,0,1075.9,131.9
_standard_two_index_05.i_3_2_2.bpl_11_s117.smt2,,ok,unsat,927.7,0,927.7,128.7
_standard_two_index_05.i_3_2_2.bpl_11_s118.smt2,,ok,unsat,839.0,0,838.9,107.6
_standard_two_index_05.i_3_2_2.bpl_11_s119.smt2,,ok,unsat,880.8,0,880.8,144.2
_standard_two_index_05.i_3_2_2.bpl_11_s12.smt2,,ok,unsat,782.5,0,782.5,120.3
_standard_two_index_05.i_3_2_2.bpl_11_s120.smt2,,ok,unsat,927.5,0,927.4,129.0
_standard_two_index_05.i_3_2_2.bpl_11_s121.smt2,,ok,unsat,959.7,0,959.6,166.3
_standard_two_index_05.i_3_2_2.bpl_11_s122.smt2,,ok,unsat,903.5,0,903.4,145.0
_standard_two_index_05.i_3_2_2.bpl_11_s123.smt2,,ok,unsat,908.2,0,908.2,128.6
_standard_two_index_05.i_3_2_2.bpl_11_s124.smt2,,ok,unsat,931.4,0,931.4,145.0
_standard_two_index_05.i_3_2_2.bpl_11_s125.smt2,,ok,unsat,1027.8,0,1027.7,151.8
_standard_two_index_05.i_3_2_2.bpl_11_s126.smt2,,ok,unsat,760.7,0,760.2,112.4
_standard_two_index_05.i_3_2_2.bpl_11_s127.smt2,,ok,unsat,829.2,0,829.2,115.0
_standard_two_index_05.i_3_2_2.bpl_11_s13.smt2,,ok,unsat,847.9,0,847.9,127.1
_standard_two_index_05.i_3_2_2.bpl_11_s14.smt2,,ok,unsat,1003.4,0,1003.4,151.6
_standard_two_index_05.i_3_2_2.bpl_11_s15.smt2,,ok,unsat,793.9,0,793.9,123.4
_standard_two_index_05.i_3_2_2.bpl_11_s16.smt2,,ok,unsat,903.8,0,903.4,130.2
_standard_two_index_05.i_3_2_2.bpl_11_s17.smt2,,ok,unsat,1129.7,0,1129.6,133.6
_standard_two_index_05.i_3_2_2.bpl_11_s18.smt2,,ok,unsat,1001.0,0,1000.9,153.2
_standard_two_index_05.i_3_2_2.bpl_11_s19.smt2,,ok,unsat,1062.4,0,1060.2,174.2
_standard_two_index_05.i_3_2_2.bpl_11_s2.smt2,,ok,unsat,934.9,0,934.9,146.0
_standard_two_index_05.i_3_2_2.bpl_11_s20.smt2,,ok,unsat,907.6,0,907.6,132.4
_standard_two_index_05.i_3_2_2.bpl_11_s21.smt2,,ok,unsat,954.0,0,954.0,168.3
_standard_two_index_05.i_3_2_2.bpl_11_s22.smt2,,ok,unsat,917.8,0,917.6,134.6
_standard_two_index_05.i_3_2_2.bpl_11_s23.smt2,,ok,unsat,1014.9,0,1014.9,164.4
_standard_two_index_05.i_3_2_2.bpl_11_s24.smt2,,ok,unsat,857.9,0,857.9,127.4
_standard_two_index_05.i_3_2_2.bpl_11_s25.smt2,,ok,unsat,1118.9,0,1118.9,138.1
_standard_two_index_05.i_3_2_2.bpl_11_s26.smt2,,ok,unsat,1010.5,0,1010.0,160.1
_standard_two_index_05.i_3_2_2.bpl_11_s27.smt2,,ok,unsat,908.4,0,908.2,121.8
_standard_two_index_05.i_3_2_2.bpl_11_s28.smt2,,ok,unsat,828.9,0,828.8,137.5
_standard_two_index_05.i_3_2_2.bpl_11_s29.smt2,,ok,unsat,840.3,0,840.3,119.1
_standard_two_index_05.i_3_2_2.bpl_11_s3.smt2,,to,unknown,1201.0,0,1200.6,145.3
_standard_two_index_05.i_3_2_2.bpl_11_s30.smt2,,ok,unsat,872.2,0,871.1,129.0
_standard_two_index_05.i_3_2_2.bpl_11_s31.smt2,,ok,unsat,931.9,0,931.9,142.7
_standard_two_index_05.i_3_2_2.bpl_11_s32.smt2,,ok,unsat,948.2,0,947.4,128.4
_standard_two_index_05.i_3_2_2.bpl_11_s33.smt2,,ok,unsat,805.3,0,805.3,121.8
_standard_two_index_05.i_3_2_2.bpl_11_s34.smt2,,ok,unsat,835.5,0,835.2,156.1
_standard_two_index_05.i_3_2_2.bpl_11_s35.smt2,,ok,unsat,929.6,0,929.6,133.9
_standard_two_index_05.i_3_2_2.bpl_11_s36.smt2,,ok,unsat,860.5,0,860.5,115.6
_standard_two_index_05.i_3_2_2.bpl_11_s37.smt2,,ok,unsat,938.8,0,938.8,135.1
_standard_two_index_05.i_3_2_2.bpl_11_s38.smt2,,ok,unsat,867.5,0,867.5,140.2
_standard_two_index_05.i_3_2_2.bpl_11_s39.smt2,,ok,unsat,987.6,0,987.6,164.7
_standard_two_index_05.i_3_2_2.bpl_11_s4.smt2,,ok,unsat,913.2,0,913.1,130.9
_standard_two_index_05.i_3_2_2.bpl_11_s40.smt2,,ok,unsat,950.1,0,950.0,138.2
_standard_two_index_05.i_3_2_2.bpl_11_s41.smt2,,ok,unsat,996.8,0,996.7,164.3
_standard_two_index_05.i_3_2_2.bpl_11_s42.smt2,,ok,unsat,960.8,0,960.8,133.2
_standard_two_index_05.i_3_2_2.bpl_11_s43.smt2,,ok,unsat,873.2,0,873.2,137.3
_standard_two_index_05.i_3_2_2.bpl_11_s44.smt2,,ok,unsat,826.5,0,826.5,134.5
_standard_two_index_05.i_3_2_2.bpl_11_s45.smt2,,ok,unsat,1006.1,0,1006.1,118.1
_standard_two_index_05.i_3_2_2.bpl_11_s46.smt2,,ok,unsat,899.5,0,899.4,149.0
_standard_two_index_05.i_3_2_2.bpl_11_s47.smt2,,ok,unsat,820.7,0,820.6,112.3
_standard_two_index_05.i_3_2_2.bpl_11_s48.smt2,,ok,unsat,797.7,0,797.7,128.1
_standard_two_index_05.i_3_2_2.bpl_11_s49.smt2,,ok,unsat,774.0,0,773.6,117.5
_standard_two_index_05.i_3_2_2.bpl_11_s5.smt2,,ok,unsat,910.2,0,910.2,126.6
_standard_two_index_05.i_3_2_2.bpl_11_s50.smt2,,ok,unsat,816.2,0,816.0,112.6
_standard_two_index_05.i_3_2_2.bpl_11_s51.smt2,,ok,unsat,930.5,0,930.5,133.1
_standard_two_index_05.i_3_2_2.bpl_11_s52.smt2,,ok,unsat,847.0,0,844.5,119.4
_standard_two_index_05.i_3_2_2.bpl_11_s53.smt2,,ok,unsat,1020.8,0,1020.6,134.5
_standard_two_index_05.i_3_2_2.bpl_11_s54.smt2,,ok,unsat,1052.2,0,1052.2,162.9
_standard_two_index_05.i_3_2_2.bpl_11_s55.smt2,,ok,unsat,848.6,0,848.6,123.4
_standard_two_index_05.i_3_2_2.bpl_11_s56.smt2,,ok,unsat,924.6,0,924.5,126.2
_standard_two_index_05.i_3_2_2.bpl_11_s57.smt2,,ok,unsat,739.8,0,739.1,118.6
_standard_two_index_05.i_3_2_2.bpl_11_s58.smt2,,ok,unsat,809.8,0,809.8,119.5
