benchmark,config,status,result,time_real,exit_code,time_cpu,memory
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s0.smt2,,to,unknown,1201.0,0,1200.4,1243.5
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s1.smt2,,ok,sat,196.8,0,196.2,1258.4
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s10.smt2,,ok,sat,197.1,0,196.8,1257.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s100.smt2,,to,unknown,1201.0,0,1200.3,1252.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s101.smt2,,ok,sat,198.7,0,197.8,1259.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s102.smt2,,ok,sat,198.3,0,197.8,1258.2
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s103.smt2,,ok,sat,197.4,0,197.2,1257.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s104.smt2,,ok,sat,191.3,0,191.0,1259.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s105.smt2,,ok,sat,185.4,0,184.4,1257.2
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s106.smt2,,ok,sat,190.3,0,189.4,1258.6
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s107.smt2,,ok,sat,195.9,0,195.1,1258.8
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s108.smt2,,ok,sat,192.6,0,192.1,1259.7
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s109.smt2,,ok,sat,187.6,0,186.8,1259.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s11.smt2,,ok,sat,196.7,0,195.7,1258.4
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s110.smt2,,ok,sat,190.0,0,189.2,1258.3
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s111.smt2,,ok,sat,194.9,0,193.5,1259.0
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s112.smt2,,ok,sat,190.3,0,189.8,1257.5
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_s113.smt2,,ok,sat,194.5,0,193.8,1258.4
