benchmark,config,status,result,time_real,exit_code,time_cpu,memory
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s0.smt2,,ok,sat,1041.7,0,1041.1,777.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s1.smt2,,to,unknown,1201.0,0,1200.5,764.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s10.smt2,,ok,sat,1089.0,0,1088.9,1063.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s100.smt2,,ok,sat,1197.8,0,1197.5,1034.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s101.smt2,,to,unknown,1201.0,0,1200.6,760.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s102.smt2,,to,unknown,1201.0,0,1200.7,769.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s103.smt2,,to,unknown,1201.0,0,1200.4,813.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s104.smt2,,ok,sat,913.1,0,912.9,782.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s105.smt2,,ok,sat,730.1,0,729.7,779.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s106.smt2,,to,unknown,1201.0,0,1200.3,772.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s107.smt2,,to,unknown,1201.0,0,1200.9,761.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s108.smt2,,to,unknown,1201.0,0,1200.8,793.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s109.smt2,,to,unknown,1201.0,0,1200.7,785.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s11.smt2,,ok,sat,505.9,0,505.8,782.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s110.smt2,,ok,sat,793.3,0,793.0,809.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s111.smt2,,to,unknown,1201.0,0,1200.6,780.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s112.smt2,,ok,sat,500.1,0,499.7,806.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s113.smt2,,ok,sat,1094.4,0,1094.2,772.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s114.smt2,,to,unknown,1201.0,0,1200.4,757.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s115.smt2,,to,unknown,1201.0,0,1200.9,768.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s116.smt2,,ok,sat,609.7,0,609.2,790.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s117.smt2,,to,unknown,1201.0,0,1201.0,753.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s118.smt2,,ok,sat,770.9,0,768.7,792.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s119.smt2,,ok,sat,937.0,0,936.7,762.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s12.smt2,,to,unknown,1201.0,0,1200.8,753.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s120.smt2,,ok,sat,677.5,0,676.9,805.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_s121.smt2,,to,unknown,1201.0,0,1200.9,765.7
