benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-7000_s0.smt2,,to,unknown,1201.0,0,1201.0,385.0
fixnet-7000_s1.smt2,,to,unknown,1201.0,0,1201.0,309.9
fixnet-7000_s10.smt2,,to,unknown,1201.0,0,1201.0,490.7
fixnet-7000_s100.smt2,,to,unknown,1201.0,0,1201.0,323.9
fixnet-7000_s101.smt2,,to,unknown,1201.0,0,1201.0,398.1
fixnet-7000_s102.smt2,,to,unknown,1201.0,0,1195.1,347.9
fixnet-7000_s103.smt2,,to,unknown,1201.0,0,1201.0,227.6
fixnet-7000_s104.smt2,,to,unknown,1201.0,0,1201.0,358.4
fixnet-7000_s105.smt2,,to,unknown,1201.0,0,1201.0,266.0
fixnet-7000_s106.smt2,,to,unknown,1201.0,0,1201.0,296.5
fixnet-7000_s107.smt2,,to,unknown,1201.0,0,1201.0,252.6
fixnet-7000_s108.smt2,,to,unknown,1201.0,0,1201.0,330.7
fixnet-7000_s109.smt2,,to,unknown,1201.0,0,1200.4,336.1
fixnet-7000_s11.smt2,,to,unknown,1201.0,0,1201.0,310.2
fixnet-7000_s110.smt2,,to,unknown,1201.0,0,1201.0,462.0
fixnet-7000_s111.smt2,,to,unknown,1201.0,0,1201.0,274.3
fixnet-7000_s112.smt2,,ok,sat,687.2,0,677.3,140.2
fixnet-7000_s113.smt2,,ok,sat,1070.7,0,1064.2,301.8
fixnet-7000_s114.smt2,,to,unknown,1201.0,0,1201.0,368.6
fixnet-7000_s115.smt2,,to,unknown,1201.0,0,1200.7,456.2
fixnet-7000_s116.smt2,,to,unknown,1201.0,0,1201.0,253.1
fixnet-7000_s117.smt2,,ok,sat,512.1,0,511.9,130.8
fixnet-7000_s118.smt2,,ok,sat,653.8,0,653.7,155.0
fixnet-7000_s119.smt2,,ok,sat,930.6,0,930.5,297.4
fixnet-7000_s12.smt2,,ok,sat,716.1,0,716.1,173.7
fixnet-7000_s120.smt2,,to,unknown,1201.0,0,1201.0,287.7
fixnet-7000_s121.smt2,,to,unknown,1201.0,0,1200.9,271.8
fixnet-7000_s122.smt2,,ok,sat,632.7,0,624.1,151.2
fixnet-7000_s123.smt2,,to,unknown,1201.0,0,1196.8,184.3
fixnet-7000_s124.smt2,,to,unknown,1201.0,0,1201.0,373.4
fixnet-7000_s125.smt2,,to,unknown,1201.0,0,1200.8,189.8
fixnet-7000_s126.smt2,,to,unknown,1201.0,0,1201.0,399.7
fixnet-7000_s127.smt2,,ok,sat,730.5,0,730.4,165.6
fixnet-7000_s13.smt2,,to,unknown,1201.0,0,1201.0,208.3
fixnet-7000_s14.smt2,,to,unknown,1201.0,0,1201.0,248.3
fixnet-7000_s15.smt2,,ok,sat,672.2,0,672.2,171.1
fixnet-7000_s16.smt2,,to,unknown,1201.0,0,1200.8,261.4
fixnet-7000_s17.smt2,,ok,sat,1119.6,0,1119.5,302.3
fixnet-7000_s18.smt2,,to,unknown,1201.0,0,1192.0,187.4
fixnet-7000_s19.smt2,,to,unknown,1201.0,0,1190.1,221.2
fixnet-7000_s2.smt2,,to,unknown,1201.0,0,1193.6,319.7
fixnet-7000_s20.smt2,,ok,sat,392.9,0,392.9,105.1
fixnet-7000_s21.smt2,,to,unknown,1201.0,0,1201.0,215.0
fixnet-7000_s22.smt2,,ok,sat,708.7,0,708.7,159.7
fixnet-7000_s23.smt2,,to,unknown,1201.0,0,1201.0,263.6
fixnet-7000_s24.smt2,,ok,sat,998.3,0,993.3,310.3
fixnet-7000_s25.smt2,,to,unknown,1201.0,0,1201.0,295.7
fixnet-7000_s26.smt2,,to,unknown,1201.0,0,1201.0,361.2
fixnet-7000_s27.smt2,,to,unknown,1201.0,0,1200.6,468.3
fixnet-7000_s28.smt2,,ok,sat,1168.7,0,1168.6,212.5
fixnet-7000_s29.smt2,,ok,sat,1165.2,0,1165.0,357.7
fixnet-7000_s3.smt2,,to,unknown,1201.0,0,1194.7,397.8
fixnet-7000_s30.smt2,,to,unknown,1201.0,0,1198.0,239.1
fixnet-7000_s31.smt2,,to,unknown,1201.0,0,1199.9,382.8
fixnet-7000_s32.smt2,,ok,sat,1033.8,0,1033.8,308.2
fixnet-7000_s33.smt2,,to,unknown,1201.0,0,1200.6,238.4
fixnet-7000_s34.smt2,,to,unknown,1201.0,0,1195.2,233.2
fixnet-7000_s35.smt2,,to,unknown,1201.0,0,1194.8,283.7
fixnet-7000_s36.smt2,,ok,sat,662.4,0,662.1,149.0
fixnet-7000_s37.smt2,,to,unknown,1201.0,0,1201.0,244.8
fixnet-7000_s38.smt2,,to,unknown,1201.0,0,1201.0,192.7
fixnet-7000_s39.smt2,,to,unknown,1201.0,0,1201.0,308.0
fixnet-7000_s4.smt2,,to,unknown,1201.0,0,1201.0,263.5
fixnet-7000_s40.smt2,,ok,sat,700.7,0,700.6,174.5
fixnet-7000_s41.smt2,,to,unknown,1201.0,0,1200.9,254.0
fixnet-7000_s42.smt2,,to,unknown,1201.0,0,1200.8,197.4
fixnet-7000_s43.smt2,,ok,sat,805.9,0,805.8,203.4
fixnet-7000_s44.smt2,,ok,sat,580.1,0,580.1,147.3
fixnet-7000_s45.smt2,,ok,sat,773.4,0,773.4,288.1
fixnet-7000_s46.smt2,,ok,sat,648.3,0,644.6,194.5
fixnet-7000_s47.smt2,,to,unknown,1201.0,0,1201.0,336.8
fixnet-7000_s48.smt2,,to,unknown,1201.0,0,1201.0,326.1
fixnet-7000_s49.smt2,,to,unknown,1201.0,0,1201.0,430.4
fixnet-7000_s5.smt2,,ok,sat,969.0,0,968.4,166.9
fixnet-7000_s50.smt2,,to,unknown,1201.0,0,1201.0,207.2
fixnet-7000_s51.smt2,,to,unknown,1201.0,0,1200.9,423.4
fixnet-7000_s52.smt2,,ok,sat,1134.0,0,1123.1,293.5
fixnet-7000_s53.smt2,,to,unknown,1201.0,0,1191.5,222.5
fixnet-7000_s54.smt2,,to,unknown,1201.0,0,1201.0,394.5
fixnet-7000_s55.smt2,,ok,sat,645.4,0,645.4,210.7
fixnet-7000_s56.smt2,,to,unknown,1201.0,0,1197.4,195.1
fixnet-7000_s57.smt2,,to,unknown,1201.0,0,1201.0,317.6
fixnet-7000_s58.smt2,,ok,sat,1089.9,0,1089.9,269.4
fixnet-7000_s59.smt2,,ok,sat,880.5,0,880.5,291.6
fixnet-7000_s6.smt2,,to,unknown,1201.0,0,1200.8,347.5
fixnet-7000_s60.smt2,,to,unknown,1201.0,0,1200.9,287.5
fixnet-7000_s61.smt2,,ok,sat,766.4,0,766.4,171.3
fixnet-7000_s62.smt2,,ok,sat,788.0,0,787.9,218.9
fixnet-7000_s63.smt2,,to,unknown,1201.0,0,1201.0,197.3
fixnet-7000_s64.smt2,,to,unknown,1201.0,0,1201.0,303.2
fixnet-7000_s65.smt2,,to,unknown,1201.0,0,1201.0,221.2
fixnet-7000_s66.smt2,,ok,sat,534.0,0,534.0,130.6
fixnet-7000_s67.smt2,,to,unknown,1201.0,0,1198.3,223.3
fixnet-7000_s68.smt2,,to,unknown,1201.0,0,1201.0,355.0
fixnet-7000_s69.smt2,,ok,sat,578.3,0,578.3,150.1
fixnet-7000_s7.smt2,,ok,sat,603.9,0,603.9,164.3
fixnet-7000_s70.smt2,,to,unknown,1201.0,0,1201.0,329.6
fixnet-7000_s71.smt2,,to,unknown,1201.0,0,1201.0,264.7
fixnet-7000_s72.smt2,,to,unknown,1201.0,0,1200.8,326.8
fixnet-7000_s73.smt2,,to,unknown,1201.0,0,1200.9,255.4
fixnet-7000_s74.smt2,,to,unknown,1201.0,0,1200.9,275.6
fixnet-7000_s75.smt2,,ok,sat,409.9,0,409.7,108.0
fixnet-7000_s76.smt2,,to,unknown,1201.0,0,1201.0,213.2
fixnet-7000_s77.smt2,,to,unknown,1201.0,0,1197.8,147.9
fixnet-7000_s78.smt2,,to,unknown,1201.0,0,1201.0,466.8
fixnet-7000_s79.smt2,,to,unknown,1201.0,0,1201.0,267.9
fixnet-7000_s8.smt2,,to,unknown,1201.0,0,1201.0,386.6
fixnet-7000_s80.smt2,,to,unknown,1201.0,0,1201.0,240.7
fixnet-7000_s81.smt2,,to,unknown,1201.0,0,1201.0,364.6
fixnet-7000_s82.smt2,,to,unknown,1201.0,0,1201.0,414.7
fixnet-7000_s83.smt2,,to,unknown,1201.0,0,1201.0,208.4
fixnet-7000_s84.smt2,,ok,sat,897.5,0,897.3,302.6
fixnet-7000_s85.smt2,,to,unknown,1201.0,0,1200.9,272.6
fixnet-7000_s86.smt2,,to,unknown,1201.0,0,1195.2,227.2
fixnet-7000_s87.smt2,,to,unknown,1201.0,0,1201.0,348.5
fixnet-7000_s88.smt2,,ok,sat,967.6,0,967.5,284.7
fixnet-7000_s89.smt2,,ok,sat,508.8,0,508.7,153.8
fixnet-7000_s9.smt2,,to,unknown,1201.0,0,1200.9,274.0
fixnet-7000_s90.smt2,,to,unknown,1201.0,0,1201.0,248.2
fixnet-7000_s91.smt2,,to,unknown,1201.0,0,1201.0,243.9
fixnet-7000_s92.smt2,,ok,sat,1111.5,0,1109.2,210.3
fixnet-7000_s93.smt2,,to,unknown,1201.0,0,1201.0,339.2
fixnet-7000_s94.smt2,,to,unknown,1201.0,0,1201.0,239.3
fixnet-7000_s95.smt2,,to,unknown,1201.0,0,1201.0,376.5
fixnet-7000_s96.smt2,,ok,sat,1033.6,0,1028.7,275.6
fixnet-7000_s97.smt2,,to,unknown,1201.0,0,1201.0,359.8
fixnet-7000_s98.smt2,,to,unknown,1201.0,0,1201.0,235.1
fixnet-7000_s99.smt2,,to,unknown,1201.0,0,1201.0,246.4
fixnet-7000_s128.smt2,,to,unknown,1201.0,0,1200.9,215.4
fixnet-7000_s129.smt2,,to,unknown,1201.0,0,1201.0,289.3
fixnet-7000_s130.smt2,,ok,sat,824.8,0,824.8,159.0
fixnet-7000_s131.smt2,,to,unknown,1201.0,0,1201.0,216.2
fixnet-7000_s132.smt2,,to,unknown,1201.0,0,1201.0,250.8
fixnet-7000_s133.smt2,,ok,sat,856.0,0,856.0,168.6
fixnet-7000_s134.smt2,,to,unknown,1201.0,0,1201.0,268.1
fixnet-7000_s135.smt2,,to,unknown,1201.0,0,1200.9,369.2
fixnet-7000_s136.smt2,,ok,sat,651.7,0,651.6,183.0
fixnet-7000_s137.smt2,,to,unknown,1201.0,0,1200.9,297.2
fixnet-7000_s138.smt2,,to,unknown,1201.0,0,1201.0,313.1
fixnet-7000_s139.smt2,,ok,sat,916.6,0,916.6,208.6
fixnet-7000_s140.smt2,,to,unknown,1201.0,0,1200.9,375.2
fixnet-7000_s141.smt2,,to,unknown,1201.0,0,1201.0,200.0
fixnet-7000_s142.smt2,,to,unknown,1201.0,0,1200.9,283.1
fixnet-7000_s143.smt2,,to,unknown,1201.0,0,1201.0,312.1
fixnet-7000_s144.smt2,,to,unknown,1201.0,0,1201.0,203.3
fixnet-7000_s145.smt2,,to,unknown,1201.0,0,1201.0,330.5
fixnet-7000_s146.smt2,,ok,sat,512.4,0,512.4,158.2
fixnet-7000_s147.smt2,,ok,sat,677.0,0,677.0,164.1
fixnet-7000_s148.smt2,,to,unknown,1201.0,0,1201.0,419.8
fixnet-7000_s149.smt2,,to,unknown,1201.0,0,1200.9,207.3
fixnet-7000_s150.smt2,,to,unknown,1201.0,0,1201.0,252.6
fixnet-7000_s151.smt2,,to,unknown,1201.0,0,1201.0,235.5
fixnet-7000_s152.smt2,,ok,sat,535.1,0,535.0,147.4
fixnet-7000_s153.smt2,,ok,sat,411.4,0,411.4,153.0
fixnet-7000_s154.smt2,,to,unknown,1201.0,0,1201.0,304.5
fixnet-7000_s155.smt2,,to,unknown,1201.0,0,1201.0,229.8
