benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pp08a-7349_s0.smt2,,to,unknown,1201.0,0,1201.0,112.4
pp08a-7349_s1.smt2,,to,unknown,1201.0,0,1201.0,113.0
pp08a-7349_s10.smt2,,to,unknown,1201.0,0,1201.0,113.4
pp08a-7349_s100.smt2,,to,unknown,1201.0,0,1201.0,124.6
pp08a-7349_s101.smt2,,to,unknown,1201.0,0,1200.8,99.9
pp08a-7349_s102.smt2,,to,unknown,1201.0,0,1201.0,106.8
pp08a-7349_s103.smt2,,to,unknown,1201.0,0,1201.0,126.4
pp08a-7349_s104.smt2,,to,unknown,1201.0,0,1201.0,106.6
pp08a-7349_s105.smt2,,to,unknown,1201.0,0,1201.0,120.2
pp08a-7349_s106.smt2,,to,unknown,1201.0,0,1201.0,110.2
pp08a-7349_s107.smt2,,to,unknown,1201.0,0,1201.0,102.2
pp08a-7349_s108.smt2,,to,unknown,1201.0,0,1201.0,126.8
pp08a-7349_s109.smt2,,to,unknown,1201.0,0,1200.2,115.0
pp08a-7349_s11.smt2,,to,unknown,1201.0,0,1201.0,103.1
pp08a-7349_s110.smt2,,to,unknown,1201.0,0,1201.0,115.2
pp08a-7349_s111.smt2,,to,unknown,1201.0,0,1201.0,114.4
pp08a-7349_s112.smt2,,to,unknown,1201.0,0,1201.0,117.7
pp08a-7349_s113.smt2,,to,unknown,1201.0,0,1200.8,120.5
pp08a-7349_s114.smt2,,to,unknown,1201.0,0,1201.0,102.1
pp08a-7349_s115.smt2,,to,unknown,1201.0,0,1201.0,98.1
pp08a-7349_s116.smt2,,to,unknown,1201.0,0,1201.0,106.3
pp08a-7349_s117.smt2,,to,unknown,1201.0,0,1201.0,93.8
pp08a-7349_s118.smt2,,to,unknown,1201.0,0,1201.0,102.3
pp08a-7349_s119.smt2,,to,unknown,1201.0,0,1200.4,106.3
pp08a-7349_s12.smt2,,to,unknown,1201.0,0,1201.0,99.9
pp08a-7349_s120.smt2,,to,unknown,1201.0,0,1201.0,94.0
pp08a-7349_s121.smt2,,to,unknown,1201.0,0,1200.9,125.5
pp08a-7349_s122.smt2,,to,unknown,1201.0,0,1201.0,103.5
pp08a-7349_s123.smt2,,to,unknown,1201.0,0,1201.0,99.9
pp08a-7349_s124.smt2,,to,unknown,1201.0,0,1201.0,108.6
pp08a-7349_s125.smt2,,to,unknown,1201.0,0,1201.0,121.9
pp08a-7349_s126.smt2,,to,unknown,1201.0,0,1201.0,116.1
pp08a-7349_s127.smt2,,to,unknown,1201.0,0,1201.0,112.2
pp08a-7349_s13.smt2,,to,unknown,1201.0,0,1201.0,106.3
pp08a-7349_s14.smt2,,to,unknown,1201.0,0,1201.0,100.4
pp08a-7349_s15.smt2,,to,unknown,1201.0,0,1200.9,102.8
pp08a-7349_s16.smt2,,to,unknown,1201.0,0,1201.0,106.8
pp08a-7349_s17.smt2,,to,unknown,1201.0,0,1201.0,121.4
pp08a-7349_s18.smt2,,to,unknown,1201.0,0,1200.9,113.5
pp08a-7349_s19.smt2,,to,unknown,1201.0,0,1201.0,96.4
pp08a-7349_s2.smt2,,to,unknown,1201.0,0,1201.0,119.7
pp08a-7349_s20.smt2,,to,unknown,1201.0,0,1201.0,105.2
pp08a-7349_s21.smt2,,to,unknown,1201.0,0,1200.9,110.0
pp08a-7349_s22.smt2,,to,unknown,1201.0,0,1201.0,127.4
pp08a-7349_s23.smt2,,to,unknown,1201.0,0,1201.0,98.8
pp08a-7349_s24.smt2,,to,unknown,1201.0,0,1201.0,90.0
pp08a-7349_s25.smt2,,to,unknown,1201.0,0,1201.0,111.3
pp08a-7349_s26.smt2,,to,unknown,1201.0,0,1201.0,105.9
pp08a-7349_s27.smt2,,to,unknown,1201.0,0,1200.9,111.5
pp08a-7349_s28.smt2,,to,unknown,1201.0,0,1201.0,101.2
pp08a-7349_s29.smt2,,to,unknown,1201.0,0,1201.0,105.0
pp08a-7349_s3.smt2,,to,unknown,1201.0,0,1200.9,126.6
pp08a-7349_s30.smt2,,to,unknown,1201.0,0,1200.9,112.9
pp08a-7349_s31.smt2,,to,unknown,1201.0,0,1201.0,103.9
pp08a-7349_s32.smt2,,to,unknown,1201.0,0,1201.0,108.5
pp08a-7349_s33.smt2,,to,unknown,1201.0,0,1201.0,118.8
pp08a-7349_s34.smt2,,to,unknown,1201.0,0,1201.0,97.1
pp08a-7349_s35.smt2,,to,unknown,1201.0,0,1201.0,130.6
pp08a-7349_s36.smt2,,to,unknown,1201.0,0,1200.9,112.4
pp08a-7349_s37.smt2,,to,unknown,1201.0,0,1201.0,99.8
pp08a-7349_s38.smt2,,to,unknown,1201.0,0,1201.0,103.6
pp08a-7349_s39.smt2,,to,unknown,1201.0,0,1201.0,114.5
pp08a-7349_s4.smt2,,to,unknown,1201.0,0,1200.9,122.7
pp08a-7349_s40.smt2,,to,unknown,1201.0,0,1201.0,115.5
pp08a-7349_s41.smt2,,to,unknown,1201.0,0,1201.0,108.3
pp08a-7349_s42.smt2,,to,unknown,1201.0,0,1201.0,104.9
pp08a-7349_s43.smt2,,to,unknown,1201.0,0,1200.9,103.5
pp08a-7349_s44.smt2,,to,unknown,1201.0,0,1201.0,116.8
pp08a-7349_s45.smt2,,to,unknown,1201.0,0,1201.0,114.5
pp08a-7349_s46.smt2,,to,unknown,1201.0,0,1201.0,102.9
pp08a-7349_s47.smt2,,to,unknown,1201.0,0,1201.0,129.2
pp08a-7349_s48.smt2,,to,unknown,1201.0,0,1201.0,132.6
pp08a-7349_s49.smt2,,to,unknown,1201.0,0,1201.0,92.0
pp08a-7349_s5.smt2,,to,unknown,1201.0,0,1201.0,116.3
pp08a-7349_s50.smt2,,to,unknown,1201.0,0,1201.0,118.3
pp08a-7349_s51.smt2,,to,unknown,1201.0,0,1201.0,115.3
pp08a-7349_s52.smt2,,to,unknown,1201.0,0,1201.0,118.3
pp08a-7349_s53.smt2,,to,unknown,1201.0,0,1201.0,110.5
pp08a-7349_s54.smt2,,to,unknown,1201.0,0,1201.0,97.9
pp08a-7349_s55.smt2,,to,unknown,1201.0,0,1200.8,110.2
pp08a-7349_s56.smt2,,to,unknown,1201.0,0,1201.0,117.6
pp08a-7349_s57.smt2,,to,unknown,1201.0,0,1201.0,119.6
pp08a-7349_s58.smt2,,to,unknown,1201.0,0,1200.9,96.0
pp08a-7349_s59.smt2,,to,unknown,1201.0,0,1201.0,99.3
pp08a-7349_s6.smt2,,to,unknown,1201.0,0,1200.8,112.5
pp08a-7349_s60.smt2,,to,unknown,1201.0,0,1201.0,115.9
pp08a-7349_s61.smt2,,to,unknown,1201.0,0,1201.0,120.0
pp08a-7349_s62.smt2,,to,unknown,1201.0,0,1201.0,108.0
pp08a-7349_s63.smt2,,to,unknown,1201.0,0,1201.0,113.8
pp08a-7349_s64.smt2,,to,unknown,1201.0,0,1201.0,110.0
pp08a-7349_s65.smt2,,to,unknown,1201.0,0,1201.0,115.9
pp08a-7349_s66.smt2,,to,unknown,1201.0,0,1201.0,129.2
pp08a-7349_s67.smt2,,to,unknown,1201.0,0,1201.0,108.5
pp08a-7349_s68.smt2,,to,unknown,1201.0,0,1201.0,115.8
pp08a-7349_s69.smt2,,to,unknown,1201.0,0,1200.9,92.6
pp08a-7349_s7.smt2,,to,unknown,1201.0,0,1201.0,96.1
pp08a-7349_s70.smt2,,to,unknown,1201.0,0,1201.0,113.0
pp08a-7349_s71.smt2,,to,unknown,1201.0,0,1201.0,114.7
pp08a-7349_s72.smt2,,to,unknown,1201.0,0,1201.0,111.9
pp08a-7349_s73.smt2,,to,unknown,1201.0,0,1201.0,100.1
pp08a-7349_s74.smt2,,to,unknown,1201.0,0,1201.0,116.4
pp08a-7349_s75.smt2,,to,unknown,1201.0,0,1201.0,100.4
pp08a-7349_s76.smt2,,to,unknown,1201.0,0,1201.0,112.8
pp08a-7349_s77.smt2,,to,unknown,1201.0,0,1201.0,120.1
pp08a-7349_s78.smt2,,to,unknown,1201.0,0,1201.0,111.3
pp08a-7349_s79.smt2,,to,unknown,1201.0,0,1201.0,119.2
pp08a-7349_s8.smt2,,to,unknown,1201.0,0,1200.9,119.3
pp08a-7349_s80.smt2,,to,unknown,1201.0,0,1201.0,106.4
pp08a-7349_s81.smt2,,to,unknown,1201.0,0,1201.0,91.9
pp08a-7349_s82.smt2,,to,unknown,1201.0,0,1201.0,107.8
pp08a-7349_s83.smt2,,to,unknown,1201.0,0,1201.0,101.4
pp08a-7349_s84.smt2,,to,unknown,1201.0,0,1201.0,100.0
pp08a-7349_s85.smt2,,to,unknown,1201.0,0,1201.0,114.8
pp08a-7349_s86.smt2,,to,unknown,1201.0,0,1201.0,102.4
pp08a-7349_s87.smt2,,to,unknown,1201.0,0,1200.8,106.4
pp08a-7349_s88.smt2,,to,unknown,1201.0,0,1201.0,113.4
pp08a-7349_s89.smt2,,to,unknown,1201.0,0,1200.7,131.0
pp08a-7349_s9.smt2,,to,unknown,1201.0,0,1201.0,107.0
pp08a-7349_s90.smt2,,to,unknown,1201.0,0,1201.0,107.2
pp08a-7349_s91.smt2,,to,unknown,1201.0,0,1200.9,124.8
pp08a-7349_s92.smt2,,to,unknown,1201.0,0,1200.9,117.5
pp08a-7349_s93.smt2,,to,unknown,1201.0,0,1201.0,106.1
pp08a-7349_s94.smt2,,to,unknown,1201.0,0,1201.0,115.3
pp08a-7349_s95.smt2,,to,unknown,1201.0,0,1201.0,116.1
pp08a-7349_s96.smt2,,to,unknown,1201.0,0,1201.0,102.5
pp08a-7349_s97.smt2,,to,unknown,1201.0,0,1200.9,118.9
pp08a-7349_s98.smt2,,to,unknown,1201.0,0,1200.9,125.6
pp08a-7349_s99.smt2,,to,unknown,1201.0,0,1201.0,108.9
pp08a-7349_s128.smt2,,to,unknown,1201.0,0,1201.0,107.5
pp08a-7349_s129.smt2,,to,unknown,1201.0,0,1201.0,118.7
pp08a-7349_s130.smt2,,to,unknown,1201.0,0,1201.0,117.7
pp08a-7349_s131.smt2,,to,unknown,1201.0,0,1201.0,106.2
pp08a-7349_s132.smt2,,to,unknown,1201.0,0,1200.9,119.1
pp08a-7349_s133.smt2,,to,unknown,1201.0,0,1200.9,103.0
pp08a-7349_s134.smt2,,to,unknown,1201.0,0,1200.9,115.4
pp08a-7349_s135.smt2,,to,unknown,1201.0,0,1201.0,95.5
pp08a-7349_s136.smt2,,to,unknown,1201.0,0,1201.0,121.5
pp08a-7349_s137.smt2,,to,unknown,1201.0,0,1200.9,110.0
pp08a-7349_s138.smt2,,to,unknown,1201.0,0,1200.9,127.7
pp08a-7349_s139.smt2,,to,unknown,1201.0,0,1201.0,97.7
pp08a-7349_s140.smt2,,to,unknown,1201.0,0,1201.0,101.7
pp08a-7349_s141.smt2,,to,unknown,1201.0,0,1201.0,106.0
pp08a-7349_s142.smt2,,to,unknown,1201.0,0,1201.0,117.9
pp08a-7349_s143.smt2,,to,unknown,1201.0,0,1201.0,115.7
pp08a-7349_s144.smt2,,to,unknown,1201.0,0,1201.0,119.0
pp08a-7349_s145.smt2,,to,unknown,1201.0,0,1200.9,120.1
pp08a-7349_s146.smt2,,to,unknown,1201.0,0,1201.0,125.6
pp08a-7349_s147.smt2,,to,unknown,1201.0,0,1201.0,118.4
pp08a-7349_s148.smt2,,to,unknown,1201.0,0,1201.0,115.2
pp08a-7349_s149.smt2,,to,unknown,1201.0,0,1201.0,118.2
pp08a-7349_s150.smt2,,to,unknown,1201.0,0,1201.0,119.9
pp08a-7349_s151.smt2,,to,unknown,1201.0,0,1201.0,112.2
pp08a-7349_s152.smt2,,to,unknown,1201.0,0,1201.0,117.1
pp08a-7349_s153.smt2,,to,unknown,1201.0,0,1200.8,117.3
pp08a-7349_s154.smt2,,to,unknown,1201.0,0,1201.0,102.6
pp08a-7349_s155.smt2,,to,unknown,1201.0,0,1201.0,113.8
pp08a-7349_s156.smt2,,to,unknown,1201.0,0,1201.0,102.3
pp08a-7349_s157.smt2,,to,unknown,1201.0,0,1201.0,113.7
pp08a-7349_s158.smt2,,to,unknown,1201.0,0,1201.0,118.5
pp08a-7349_s159.smt2,,to,unknown,1201.0,0,1201.0,103.6
pp08a-7349_s160.smt2,,to,unknown,1201.0,0,1201.0,107.2
pp08a-7349_s161.smt2,,to,unknown,1201.0,0,1201.0,116.6
pp08a-7349_s162.smt2,,to,unknown,1201.0,0,1201.0,112.8
pp08a-7349_s163.smt2,,to,unknown,1201.0,0,1201.0,108.6
pp08a-7349_s164.smt2,,to,unknown,1201.0,0,1201.0,120.8
pp08a-7349_s165.smt2,,to,unknown,1201.0,0,1201.0,118.4
