benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s0.smt2,,ok,sat,1065.6,0,1065.2,296.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s1.smt2,,ok,sat,1038.7,0,1038.6,292.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s10.smt2,,ok,sat,810.0,0,809.0,276.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s100.smt2,,ok,sat,1063.2,0,1063.0,300.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s101.smt2,,to,unknown,1201.0,0,1200.9,285.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s102.smt2,,ok,sat,870.4,0,869.9,338.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s103.smt2,,ok,sat,587.0,0,586.8,265.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s104.smt2,,ok,sat,538.4,0,538.2,277.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s105.smt2,,ok,sat,1066.7,0,1065.2,284.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s106.smt2,,ok,sat,667.7,0,667.6,276.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s107.smt2,,ok,sat,1026.2,0,1026.1,304.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s108.smt2,,ok,sat,991.3,0,991.2,303.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s109.smt2,,ok,sat,1094.0,0,1093.9,301.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s11.smt2,,to,unknown,1201.0,0,1200.7,294.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s110.smt2,,ok,sat,763.7,0,763.2,286.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s111.smt2,,to,unknown,1201.0,0,1200.9,292.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s112.smt2,,ok,sat,648.0,0,648.0,269.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s113.smt2,,ok,sat,1175.0,0,1174.9,305.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s114.smt2,,to,unknown,1201.0,0,1201.0,355.7
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s115.smt2,,ok,sat,742.1,0,741.9,278.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s116.smt2,,ok,sat,697.2,0,697.2,278.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s117.smt2,,ok,sat,1074.9,0,1074.4,293.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s118.smt2,,ok,sat,1179.2,0,1179.1,326.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s119.smt2,,ok,sat,783.3,0,783.2,274.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s12.smt2,,ok,sat,820.8,0,820.6,289.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s120.smt2,,to,unknown,1201.0,0,1201.0,287.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s121.smt2,,ok,sat,737.6,0,737.4,271.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s122.smt2,,ok,sat,937.0,0,936.5,287.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s123.smt2,,to,unknown,1201.0,0,1200.8,293.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s124.smt2,,ok,sat,975.3,0,975.2,292.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s125.smt2,,ok,sat,1124.1,0,1123.8,298.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s126.smt2,,to,unknown,1201.0,0,1201.0,288.7
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s127.smt2,,to,unknown,1201.0,0,1200.4,293.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s13.smt2,,to,unknown,1201.0,0,1201.0,283.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s14.smt2,,ok,sat,1050.7,0,1050.6,293.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s15.smt2,,ok,sat,738.8,0,738.8,274.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s16.smt2,,ok,sat,1083.8,0,1083.8,294.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s17.smt2,,ok,sat,1143.5,0,1143.4,313.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s18.smt2,,ok,sat,1021.2,0,1020.7,300.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s19.smt2,,ok,sat,812.3,0,810.5,281.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s2.smt2,,to,unknown,1201.0,0,1200.4,286.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s20.smt2,,ok,sat,831.4,0,830.8,283.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s21.smt2,,ok,sat,848.8,0,848.7,283.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s22.smt2,,ok,sat,558.0,0,557.9,259.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s23.smt2,,ok,sat,959.0,0,958.9,294.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s24.smt2,,ok,sat,1170.8,0,1170.3,302.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s25.smt2,,ok,sat,999.8,0,999.7,290.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s26.smt2,,ok,sat,818.8,0,818.7,289.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s27.smt2,,to,unknown,1201.0,0,1200.8,295.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s28.smt2,,ok,sat,892.9,0,892.7,291.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s29.smt2,,ok,sat,914.9,0,913.9,290.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s3.smt2,,ok,sat,996.5,0,996.1,294.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s30.smt2,,ok,sat,792.2,0,792.1,275.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s31.smt2,,ok,sat,909.5,0,909.4,295.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s32.smt2,,ok,sat,1011.7,0,1011.4,294.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s33.smt2,,ok,sat,798.5,0,798.0,286.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s34.smt2,,ok,sat,1051.0,0,1050.2,301.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s35.smt2,,ok,sat,1154.2,0,1154.1,314.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s36.smt2,,ok,sat,1104.6,0,1104.4,298.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s37.smt2,,ok,sat,973.1,0,972.9,290.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s38.smt2,,ok,sat,891.0,0,890.9,302.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s39.smt2,,ok,sat,811.1,0,810.0,283.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s4.smt2,,ok,sat,603.6,0,603.4,270.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s40.smt2,,ok,sat,963.7,0,963.2,302.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s41.smt2,,to,unknown,1201.0,0,1200.9,288.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s42.smt2,,ok,sat,784.8,0,784.6,275.7
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s43.smt2,,ok,sat,902.2,0,901.8,284.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s44.smt2,,ok,sat,949.4,0,949.3,291.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s45.smt2,,ok,sat,1174.8,0,1174.8,340.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s46.smt2,,to,unknown,1201.0,0,1200.9,303.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s47.smt2,,ok,sat,839.6,0,839.5,284.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s48.smt2,,ok,sat,1128.9,0,1128.6,292.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s49.smt2,,ok,sat,1089.3,0,1089.2,306.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_s5.smt2,,ok,sat,814.2,0,813.1,280.4
