benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s0.smt2,,to,unknown,1201.0,0,1200.3,1042.4
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s1.smt2,,to,unknown,1201.0,0,1201.0,1053.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s10.smt2,,to,unknown,1201.0,0,1200.9,1036.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s100.smt2,,to,unknown,1201.0,0,1201.0,1061.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s101.smt2,,to,unknown,1201.0,0,1200.9,1053.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s102.smt2,,to,unknown,1201.0,0,1201.0,1058.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s103.smt2,,to,unknown,1201.0,0,1200.3,1040.4
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s104.smt2,,to,unknown,1201.0,0,1200.9,801.3
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s105.smt2,,to,unknown,1201.0,0,1200.7,1047.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s106.smt2,,to,unknown,1201.0,0,1200.9,1045.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s107.smt2,,to,unknown,1201.0,0,1200.7,1043.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s108.smt2,,to,unknown,1201.0,0,1200.9,1051.7
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s109.smt2,,to,unknown,1201.0,0,1201.0,1035.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s11.smt2,,to,unknown,1201.0,0,1200.9,1061.3
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s110.smt2,,to,unknown,1201.0,0,1201.0,1076.7
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s111.smt2,,to,unknown,1201.0,0,1200.5,1062.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s112.smt2,,to,unknown,1201.0,0,1200.8,1023.2
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s113.smt2,,to,unknown,1201.0,0,1201.0,1551.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s114.smt2,,to,unknown,1201.0,0,1200.8,1044.6
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s115.smt2,,to,unknown,1201.0,0,1199.9,1046.6
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s116.smt2,,to,unknown,1201.0,0,1200.9,1051.6
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s117.smt2,,to,unknown,1201.0,0,1200.9,799.3
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s118.smt2,,to,unknown,1201.0,0,1201.1,1557.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s119.smt2,,to,unknown,1201.0,0,1201.0,1056.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s12.smt2,,to,unknown,1201.0,0,1200.2,1059.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s120.smt2,,to,unknown,1201.0,0,1201.0,1045.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s121.smt2,,to,unknown,1201.0,0,1200.7,1053.4
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s122.smt2,,to,unknown,1201.0,0,1201.0,1067.7
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s123.smt2,,to,unknown,1201.0,0,1200.7,1044.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s124.smt2,,to,unknown,1201.0,0,1201.0,1042.6
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s125.smt2,,to,unknown,1201.0,0,1200.4,1043.4
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s126.smt2,,to,unknown,1201.0,0,1200.5,1566.7
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s127.smt2,,to,unknown,1201.0,0,1200.9,1046.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s13.smt2,,to,unknown,1201.0,0,1201.0,1056.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s14.smt2,,to,unknown,1201.0,0,1200.8,808.2
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s15.smt2,,to,unknown,1201.0,0,1201.0,1067.2
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s16.smt2,,to,unknown,1201.0,0,1200.9,1044.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s17.smt2,,to,unknown,1201.0,0,1200.9,803.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s18.smt2,,to,unknown,1201.0,0,1201.0,1040.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s19.smt2,,to,unknown,1201.0,0,1200.9,1053.2
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s2.smt2,,to,unknown,1201.0,0,1200.9,819.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s20.smt2,,to,unknown,1201.0,0,1200.9,1063.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s21.smt2,,to,unknown,1201.0,0,1201.0,1050.4
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s22.smt2,,to,unknown,1201.0,0,1201.0,1062.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s23.smt2,,to,unknown,1201.0,0,1200.6,1572.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s24.smt2,,to,unknown,1201.0,0,1201.0,1066.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s25.smt2,,to,unknown,1201.0,0,1200.8,1046.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s26.smt2,,to,unknown,1201.0,0,1200.9,1043.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s27.smt2,,to,unknown,1201.0,0,1200.9,1047.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s28.smt2,,to,unknown,1201.0,0,1200.8,1034.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s29.smt2,,to,unknown,1201.0,0,1200.5,1046.1
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s3.smt2,,to,unknown,1201.0,0,1200.4,1070.9
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s30.smt2,,to,unknown,1201.0,0,1200.6,1048.8
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s31.smt2,,to,unknown,1201.0,0,1200.5,1047.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s32.smt2,,to,unknown,1201.0,0,1200.9,1046.7
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s33.smt2,,to,unknown,1201.0,0,1200.8,1039.5
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s34.smt2,,to,unknown,1201.0,0,1200.6,1550.6
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate_s35.smt2,,to,unknown,1201.0,0,1200.7,1061.5
