benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_279_s0.smt2,,to,unknown,1201.0,0,1201.0,301.2
smtcomp_279_s1.smt2,,to,unknown,1201.0,0,1200.8,258.7
smtcomp_279_s10.smt2,,to,unknown,1201.0,0,1201.0,291.5
smtcomp_279_s100.smt2,,to,unknown,1201.0,0,1201.0,263.0
smtcomp_279_s101.smt2,,to,unknown,1201.0,0,1200.8,287.2
smtcomp_279_s102.smt2,,to,unknown,1201.0,0,1201.0,283.6
smtcomp_279_s103.smt2,,to,unknown,1201.0,0,1201.0,289.3
smtcomp_279_s104.smt2,,to,unknown,1201.0,0,1201.0,293.8
smtcomp_279_s105.smt2,,to,unknown,1201.0,0,1200.9,275.6
smtcomp_279_s106.smt2,,to,unknown,1201.0,0,1201.0,259.3
smtcomp_279_s107.smt2,,to,unknown,1201.0,0,1200.9,301.1
smtcomp_279_s108.smt2,,to,unknown,1201.0,0,1201.0,285.0
smtcomp_279_s109.smt2,,to,unknown,1201.0,0,1201.0,282.5
smtcomp_279_s11.smt2,,to,unknown,1201.0,0,1200.9,261.1
smtcomp_279_s110.smt2,,to,unknown,1201.0,0,1201.0,259.2
smtcomp_279_s111.smt2,,to,unknown,1201.0,0,1201.0,289.4
smtcomp_279_s112.smt2,,to,unknown,1201.0,0,1201.0,289.7
smtcomp_279_s113.smt2,,to,unknown,1201.0,0,1201.0,276.5
smtcomp_279_s114.smt2,,to,unknown,1201.0,0,1200.9,262.9
smtcomp_279_s115.smt2,,to,unknown,1201.0,0,1200.9,283.0
smtcomp_279_s116.smt2,,to,unknown,1201.0,0,1201.0,277.4
smtcomp_279_s117.smt2,,to,unknown,1201.0,0,1201.0,287.2
smtcomp_279_s118.smt2,,to,unknown,1201.0,0,1201.0,286.7
smtcomp_279_s119.smt2,,to,unknown,1201.0,0,1201.0,285.6
smtcomp_279_s12.smt2,,to,unknown,1201.0,0,1200.9,291.0
smtcomp_279_s120.smt2,,to,unknown,1201.0,0,1201.0,284.4
smtcomp_279_s121.smt2,,to,unknown,1201.0,0,1200.9,292.9
smtcomp_279_s122.smt2,,to,unknown,1201.0,0,1201.0,288.2
smtcomp_279_s123.smt2,,to,unknown,1201.0,0,1201.0,284.7
smtcomp_279_s124.smt2,,to,unknown,1201.0,0,1201.0,262.0
smtcomp_279_s125.smt2,,to,unknown,1201.0,0,1201.0,284.7
smtcomp_279_s126.smt2,,to,unknown,1201.0,0,1201.0,260.9
smtcomp_279_s127.smt2,,to,unknown,1201.0,0,1201.0,276.9
smtcomp_279_s13.smt2,,to,unknown,1201.0,0,1201.0,276.5
smtcomp_279_s14.smt2,,to,unknown,1201.0,0,1201.0,284.3
smtcomp_279_s15.smt2,,to,unknown,1201.0,0,1201.0,281.9
smtcomp_279_s16.smt2,,to,unknown,1201.0,0,1201.0,282.9
smtcomp_279_s17.smt2,,to,unknown,1201.0,0,1201.0,260.5
smtcomp_279_s18.smt2,,to,unknown,1201.0,0,1201.0,277.7
smtcomp_279_s19.smt2,,to,unknown,1201.0,0,1201.0,286.0
smtcomp_279_s2.smt2,,to,unknown,1201.0,0,1201.0,274.7
smtcomp_279_s20.smt2,,to,unknown,1201.0,0,1201.0,282.9
smtcomp_279_s21.smt2,,to,unknown,1201.0,0,1201.0,286.7
smtcomp_279_s22.smt2,,to,unknown,1201.0,0,1201.0,275.8
smtcomp_279_s23.smt2,,to,unknown,1201.0,0,1201.0,287.0
smtcomp_279_s24.smt2,,to,unknown,1201.0,0,1201.0,275.3
smtcomp_279_s25.smt2,,to,unknown,1201.0,0,1200.8,276.5
smtcomp_279_s26.smt2,,to,unknown,1201.0,0,1200.9,275.1
smtcomp_279_s27.smt2,,to,unknown,1201.0,0,1201.0,245.7
smtcomp_279_s28.smt2,,to,unknown,1201.0,0,1201.0,276.6
smtcomp_279_s29.smt2,,to,unknown,1201.0,0,1201.0,291.7
smtcomp_279_s3.smt2,,to,unknown,1201.0,0,1200.9,303.8
smtcomp_279_s30.smt2,,to,unknown,1201.0,0,1201.0,282.5
smtcomp_279_s31.smt2,,to,unknown,1201.0,0,1201.0,288.9
smtcomp_279_s32.smt2,,to,unknown,1201.0,0,1201.0,284.1
smtcomp_279_s33.smt2,,to,unknown,1201.0,0,1201.0,282.5
smtcomp_279_s34.smt2,,to,unknown,1201.0,0,1201.0,282.6
smtcomp_279_s35.smt2,,to,unknown,1201.0,0,1201.0,287.8
smtcomp_279_s36.smt2,,to,unknown,1201.0,0,1201.0,260.5
smtcomp_279_s37.smt2,,to,unknown,1201.0,0,1200.9,263.1
smtcomp_279_s38.smt2,,to,unknown,1201.0,0,1200.8,287.0
smtcomp_279_s39.smt2,,to,unknown,1201.0,0,1201.0,274.8
smtcomp_279_s4.smt2,,to,unknown,1201.0,0,1201.0,283.4
smtcomp_279_s40.smt2,,to,unknown,1201.0,0,1201.0,311.3
smtcomp_279_s41.smt2,,to,unknown,1201.0,0,1201.0,276.7
smtcomp_279_s42.smt2,,to,unknown,1201.0,0,1201.0,283.8
smtcomp_279_s43.smt2,,to,unknown,1201.0,0,1201.0,302.7
smtcomp_279_s44.smt2,,to,unknown,1201.0,0,1201.0,283.7
smtcomp_279_s45.smt2,,to,unknown,1201.0,0,1201.0,289.0
smtcomp_279_s46.smt2,,to,unknown,1201.0,0,1201.0,300.2
smtcomp_279_s47.smt2,,to,unknown,1201.0,0,1201.0,290.5
smtcomp_279_s48.smt2,,to,unknown,1201.0,0,1201.0,276.3
smtcomp_279_s49.smt2,,to,unknown,1201.0,0,1200.9,277.8
smtcomp_279_s5.smt2,,to,unknown,1201.0,0,1200.9,275.6
smtcomp_279_s50.smt2,,to,unknown,1201.0,0,1201.0,274.9
smtcomp_279_s51.smt2,,to,unknown,1201.0,0,1200.9,260.7
smtcomp_279_s52.smt2,,to,unknown,1201.0,0,1201.0,294.2
smtcomp_279_s53.smt2,,to,unknown,1201.0,0,1201.0,274.1
smtcomp_279_s54.smt2,,to,unknown,1201.0,0,1201.0,282.5
smtcomp_279_s55.smt2,,to,unknown,1201.0,0,1201.0,273.9
smtcomp_279_s56.smt2,,to,unknown,1201.0,0,1201.0,260.0
smtcomp_279_s57.smt2,,to,unknown,1201.0,0,1200.8,307.0
smtcomp_279_s58.smt2,,to,unknown,1201.0,0,1201.0,287.9
smtcomp_279_s59.smt2,,to,unknown,1201.0,0,1201.0,287.7
smtcomp_279_s6.smt2,,to,unknown,1201.0,0,1201.0,282.2
smtcomp_279_s60.smt2,,to,unknown,1201.0,0,1200.9,283.2
smtcomp_279_s61.smt2,,to,unknown,1201.0,0,1201.0,282.5
smtcomp_279_s62.smt2,,to,unknown,1201.0,0,1200.9,308.2
smtcomp_279_s63.smt2,,to,unknown,1201.0,0,1200.9,274.9
smtcomp_279_s64.smt2,,to,unknown,1201.0,0,1201.0,259.6
smtcomp_279_s65.smt2,,to,unknown,1201.0,0,1201.0,275.3
smtcomp_279_s66.smt2,,to,unknown,1201.0,0,1201.0,284.9
smtcomp_279_s67.smt2,,to,unknown,1201.0,0,1201.0,285.0
smtcomp_279_s68.smt2,,to,unknown,1201.0,0,1200.9,293.3
smtcomp_279_s69.smt2,,to,unknown,1201.0,0,1201.0,284.9
smtcomp_279_s7.smt2,,to,unknown,1201.0,0,1201.0,281.6
smtcomp_279_s70.smt2,,to,unknown,1201.0,0,1201.0,274.2
smtcomp_279_s71.smt2,,to,unknown,1201.0,0,1201.0,276.2
smtcomp_279_s72.smt2,,to,unknown,1201.0,0,1201.0,291.6
smtcomp_279_s73.smt2,,to,unknown,1201.0,0,1201.0,284.0
smtcomp_279_s74.smt2,,to,unknown,1201.0,0,1201.0,263.0
smtcomp_279_s75.smt2,,to,unknown,1201.0,0,1201.0,283.8
smtcomp_279_s76.smt2,,to,unknown,1201.0,0,1201.0,286.2
smtcomp_279_s77.smt2,,to,unknown,1201.0,0,1201.0,287.4
smtcomp_279_s78.smt2,,to,unknown,1201.0,0,1200.9,275.0
smtcomp_279_s79.smt2,,to,unknown,1201.0,0,1201.0,284.2
smtcomp_279_s8.smt2,,to,unknown,1201.0,0,1201.0,291.0
smtcomp_279_s80.smt2,,to,unknown,1201.0,0,1201.0,275.7
smtcomp_279_s81.smt2,,to,unknown,1201.0,0,1201.0,282.9
smtcomp_279_s82.smt2,,to,unknown,1201.0,0,1200.9,286.8
smtcomp_279_s83.smt2,,to,unknown,1201.0,0,1201.0,292.7
smtcomp_279_s84.smt2,,to,unknown,1201.0,0,1201.0,283.8
smtcomp_279_s85.smt2,,to,unknown,1201.0,0,1201.0,286.3
smtcomp_279_s86.smt2,,to,unknown,1201.0,0,1201.0,276.4
smtcomp_279_s87.smt2,,to,unknown,1201.0,0,1201.0,290.8
smtcomp_279_s88.smt2,,to,unknown,1201.0,0,1200.9,261.9
smtcomp_279_s89.smt2,,to,unknown,1201.0,0,1201.0,275.8
smtcomp_279_s9.smt2,,to,unknown,1201.0,0,1201.0,292.5
smtcomp_279_s90.smt2,,to,unknown,1201.0,0,1201.0,286.7
smtcomp_279_s91.smt2,,to,unknown,1201.0,0,1201.0,299.8
smtcomp_279_s92.smt2,,to,unknown,1201.0,0,1200.9,274.2
smtcomp_279_s93.smt2,,to,unknown,1201.0,0,1201.0,275.7
smtcomp_279_s94.smt2,,to,unknown,1201.0,0,1201.0,289.2
smtcomp_279_s95.smt2,,to,unknown,1201.0,0,1200.9,275.8
smtcomp_279_s96.smt2,,to,unknown,1201.0,0,1201.0,275.1
smtcomp_279_s97.smt2,,to,unknown,1201.0,0,1201.0,286.0
smtcomp_279_s98.smt2,,to,unknown,1201.0,0,1201.0,290.9
smtcomp_279_s99.smt2,,to,unknown,1201.0,0,1201.0,302.4
smtcomp_279_s128.smt2,,to,unknown,1201.0,0,1201.0,276.3
smtcomp_279_s129.smt2,,to,unknown,1201.0,0,1200.9,276.4
smtcomp_279_s130.smt2,,to,unknown,1201.0,0,1200.9,305.3
smtcomp_279_s131.smt2,,to,unknown,1201.0,0,1201.0,289.3
smtcomp_279_s132.smt2,,to,unknown,1201.0,0,1200.9,286.1
smtcomp_279_s133.smt2,,to,unknown,1201.0,0,1201.0,289.4
smtcomp_279_s134.smt2,,to,unknown,1201.0,0,1200.8,285.3
smtcomp_279_s135.smt2,,to,unknown,1201.0,0,1201.0,282.6
smtcomp_279_s136.smt2,,to,unknown,1201.0,0,1200.9,292.1
smtcomp_279_s137.smt2,,to,unknown,1201.0,0,1200.9,277.8
smtcomp_279_s138.smt2,,to,unknown,1201.0,0,1200.8,281.7
smtcomp_279_s139.smt2,,to,unknown,1201.0,0,1200.9,295.4
smtcomp_279_s140.smt2,,to,unknown,1201.0,0,1200.9,290.1
smtcomp_279_s141.smt2,,to,unknown,1201.0,0,1200.9,261.4
smtcomp_279_s142.smt2,,to,unknown,1201.0,0,1200.9,300.3
smtcomp_279_s143.smt2,,to,unknown,1201.0,0,1200.9,305.4
smtcomp_279_s144.smt2,,to,unknown,1201.0,0,1201.0,283.7
smtcomp_279_s145.smt2,,to,unknown,1201.0,0,1201.0,260.7
smtcomp_279_s146.smt2,,to,unknown,1201.0,0,1201.0,287.2
smtcomp_279_s147.smt2,,to,unknown,1201.0,0,1201.0,284.5
smtcomp_279_s148.smt2,,to,unknown,1201.0,0,1201.0,276.1
smtcomp_279_s149.smt2,,to,unknown,1201.0,0,1200.9,277.7
smtcomp_279_s150.smt2,,to,unknown,1201.0,0,1201.0,277.0
smtcomp_279_s151.smt2,,to,unknown,1201.0,0,1201.0,287.7
smtcomp_279_s152.smt2,,to,unknown,1201.0,0,1200.9,281.7
smtcomp_279_s153.smt2,,to,unknown,1201.0,0,1201.0,300.8
smtcomp_279_s154.smt2,,to,unknown,1201.0,0,1200.9,282.7
smtcomp_279_s155.smt2,,to,unknown,1201.0,0,1201.0,285.1
smtcomp_279_s156.smt2,,to,unknown,1201.0,0,1200.9,284.5
smtcomp_279_s157.smt2,,to,unknown,1201.0,0,1201.0,290.7
smtcomp_279_s158.smt2,,to,unknown,1201.0,0,1200.9,283.3
smtcomp_279_s159.smt2,,to,unknown,1201.0,0,1200.9,292.2
smtcomp_279_s160.smt2,,to,unknown,1201.0,0,1201.0,260.4
smtcomp_279_s161.smt2,,to,unknown,1201.0,0,1200.7,290.5
