benchmark,result,time_real
smtcomp_0.smt2,unknown,1201.0
smtcomp_1.smt2,unknown,1201.0
smtcomp_2.smt2,unknown,1201.0
smtcomp_3.smt2,unknown,1201.0
smtcomp_4.smt2,unknown,1201.0
smtcomp_5.smt2,unknown,1201.0
smtcomp_6.smt2,unknown,1201.0
smtcomp_7.smt2,unknown,1201.0
smtcomp_8.smt2,unknown,1201.0
smtcomp_9.smt2,unknown,1201.0
smtcomp_10.smt2,unknown,1201.0
smtcomp_11.smt2,unknown,1201.0
smtcomp_12.smt2,unknown,1201.0
smtcomp_13.smt2,unknown,1201.0
smtcomp_14.smt2,unknown,1201.0
smtcomp_15.smt2,unknown,33.2
smtcomp_16.smt2,unknown,16.6
smtcomp_17.smt2,unknown,1201.0
smtcomp_18.smt2,sat,844.8
smtcomp_19.smt2,unknown,1201.0
smtcomp_20.smt2,unknown,1201.0
smtcomp_21.smt2,unknown,1201.0
smtcomp_22.smt2,unknown,1201.0
smtcomp_23.smt2,unknown,1201.0
smtcomp_24.smt2,unsat,301.6
smtcomp_25.smt2,unknown,1201.0
smtcomp_26.smt2,unknown,1201.0
smtcomp_27.smt2,sat,30.4
smtcomp_28.smt2,unknown,1201.0
smtcomp_29.smt2,unknown,1201.0
smtcomp_30.smt2,unknown,1201.0
smtcomp_31.smt2,unknown,1201.0
smtcomp_32.smt2,unknown,1201.0
smtcomp_33.smt2,unsat,606.9
smtcomp_34.smt2,unknown,1201.0
smtcomp_35.smt2,unknown,1201.0
smtcomp_36.smt2,unknown,1201.0
smtcomp_37.smt2,unsat,5.9
smtcomp_38.smt2,unsat,475.6
smtcomp_39.smt2,unknown,1201.0
smtcomp_40.smt2,unknown,1201.0
smtcomp_41.smt2,unknown,1201.0
smtcomp_42.smt2,unknown,1201.0
smtcomp_43.smt2,unknown,1201.0
smtcomp_44.smt2,unknown,1201.0
smtcomp_45.smt2,unknown,1201.0
smtcomp_46.smt2,unknown,1201.0
smtcomp_47.smt2,unsat,0.4
smtcomp_48.smt2,unknown,1201.0
smtcomp_49.smt2,unknown,1201.0
smtcomp_50.smt2,unknown,1201.0
smtcomp_51.smt2,unknown,1201.0
smtcomp_52.smt2,unknown,1201.0
smtcomp_53.smt2,unknown,1201.0
smtcomp_54.smt2,unknown,1201.0
smtcomp_55.smt2,unknown,1201.0
smtcomp_56.smt2,unknown,1201.0
smtcomp_57.smt2,unknown,1201.0
smtcomp_58.smt2,unknown,1201.0
smtcomp_59.smt2,unknown,1201.0
smtcomp_60.smt2,unknown,1201.0
smtcomp_61.smt2,unknown,1201.0
smtcomp_62.smt2,unknown,1201.0
smtcomp_63.smt2,unknown,1201.0
smtcomp_64.smt2,unknown,1201.0
