benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sanfoundry_10_ground.i_6_3_3.bpl_13_p0.smt2,,ok,unsat,174.8,0,174.3,154.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p1.smt2,,to,unknown,1201.0,0,1200.9,287.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p10.smt2,,ok,unsat,12.6,0,12.5,116.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p100.smt2,,ok,unsat,336.6,0,336.5,168.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p101.smt2,,ok,unsat,71.2,0,71.1,147.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p102.smt2,,ok,unsat,96.4,0,96.3,153.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p103.smt2,,ok,unsat,106.4,0,106.2,148.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p104.smt2,,ok,unsat,78.1,0,78.0,152.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p105.smt2,,ok,unsat,58.2,0,58.1,141.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p106.smt2,,ok,unsat,50.9,0,50.8,144.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p107.smt2,,ok,unsat,448.4,0,448.2,154.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p108.smt2,,ok,unsat,69.2,0,69.0,151.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p109.smt2,,ok,unsat,71.3,0,71.2,145.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p11.smt2,,ok,unsat,11.8,0,11.7,117.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p110.smt2,,ok,unsat,68.1,0,68.0,148.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p111.smt2,,ok,unsat,72.3,0,72.2,137.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p112.smt2,,ok,unsat,62.6,0,62.5,146.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p113.smt2,,ok,unsat,71.4,0,71.2,152.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p114.smt2,,ok,unsat,35.2,0,35.1,128.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p115.smt2,,ok,unsat,24.4,0,24.3,121.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p116.smt2,,ok,unsat,22.4,0,22.3,125.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p117.smt2,,ok,unsat,23.0,0,22.9,126.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p118.smt2,,ok,unsat,146.6,0,146.2,148.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p119.smt2,,ok,unsat,42.6,0,42.5,130.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p12.smt2,,ok,unsat,11.3,0,11.2,116.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p120.smt2,,ok,unsat,163.6,0,163.5,146.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p121.smt2,,ok,unsat,186.5,0,186.4,148.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p122.smt2,,ok,unsat,26.9,0,26.8,124.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p123.smt2,,ok,unsat,33.6,0,33.5,129.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p124.smt2,,ok,unsat,25.0,0,24.9,122.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p125.smt2,,ok,unsat,62.5,0,62.4,131.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p126.smt2,,ok,unsat,21.2,0,21.1,121.0
