benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-65_p0.smt2,,to,unknown,1201.0,0,1201.0,56.7
danoint-65_p1.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-65_p10.smt2,,ok,unsat,1.3,0,1.3,19.7
danoint-65_p100.smt2,,to,unknown,1201.0,0,1201.0,51.2
danoint-65_p101.smt2,,ok,unsat,1.4,0,1.4,20.3
danoint-65_p102.smt2,,to,unknown,1201.0,0,1200.9,58.5
danoint-65_p103.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-65_p104.smt2,,to,unknown,1201.0,0,1201.0,59.4
danoint-65_p105.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-65_p106.smt2,,ok,unsat,102.3,0,102.3,38.1
danoint-65_p107.smt2,,to,unknown,1201.0,0,1201.0,50.1
danoint-65_p108.smt2,,to,unknown,1201.0,0,1201.0,60.3
danoint-65_p109.smt2,,to,unknown,1201.0,0,1200.9,59.8
danoint-65_p11.smt2,,ok,unsat,1.4,0,1.4,19.2
danoint-65_p110.smt2,,to,unknown,1201.0,0,1201.0,50.5
danoint-65_p111.smt2,,ok,unsat,570.4,0,570.4,58.8
danoint-65_p112.smt2,,ok,unsat,436.0,0,436.0,50.6
danoint-65_p113.smt2,,to,unknown,1201.0,0,1201.0,59.6
danoint-65_p114.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-65_p115.smt2,,to,unknown,1201.0,0,1201.0,56.8
danoint-65_p116.smt2,,to,unknown,1201.0,0,1201.0,59.9
danoint-65_p117.smt2,,to,unknown,1201.0,0,1201.0,58.4
danoint-65_p118.smt2,,to,unknown,1201.0,0,1201.0,59.5
danoint-65_p119.smt2,,to,unknown,1201.0,0,1201.0,51.1
danoint-65_p12.smt2,,ok,unsat,1.3,0,1.2,19.1
danoint-65_p120.smt2,,to,unknown,1201.0,0,1201.0,52.4
danoint-65_p121.smt2,,ok,unsat,394.1,0,394.1,51.3
danoint-65_p122.smt2,,to,unknown,1201.0,0,1201.0,58.4
danoint-65_p123.smt2,,to,unknown,1201.0,0,1201.0,105.7
danoint-65_p124.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-65_p125.smt2,,to,unknown,1201.0,0,1201.0,58.7
danoint-65_p126.smt2,,ok,unsat,1004.0,0,1003.9,55.2
danoint-65_p127.smt2,,to,unknown,1201.0,0,1201.0,58.1
danoint-65_p13.smt2,,ok,unsat,1.3,0,1.3,18.9
danoint-65_p14.smt2,,to,unknown,1201.0,0,1201.0,53.1
danoint-65_p15.smt2,,to,unknown,1201.0,0,1201.0,49.9
danoint-65_p16.smt2,,to,unknown,1201.0,0,1201.0,59.1
danoint-65_p17.smt2,,to,unknown,1201.0,0,1201.0,49.8
danoint-65_p18.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-65_p19.smt2,,to,unknown,1201.0,0,1201.0,49.8
