benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pk1-20_p0.smt2,,ok,unsat,69.0,0,69.0,13.0
pk1-20_p1.smt2,,ok,unsat,2.7,0,2.7,11.7
pk1-20_p10.smt2,,to,unknown,1201.0,0,1201.0,476.5
pk1-20_p100.smt2,,ok,unsat,18.5,0,18.5,15.4
pk1-20_p101.smt2,,ok,unsat,84.0,0,83.9,16.7
pk1-20_p102.smt2,,to,unknown,1201.0,0,1201.0,397.4
pk1-20_p103.smt2,,to,unknown,1201.0,0,1201.0,436.9
pk1-20_p104.smt2,,ok,unsat,5.5,0,5.5,14.7
pk1-20_p105.smt2,,ok,unsat,93.6,0,93.6,16.9
pk1-20_p106.smt2,,to,unknown,1201.0,0,1201.0,405.8
pk1-20_p107.smt2,,to,unknown,1201.0,0,1201.0,378.5
pk1-20_p108.smt2,,ok,unsat,4.6,0,4.6,15.6
pk1-20_p109.smt2,,ok,unsat,5.5,0,5.5,15.6
pk1-20_p11.smt2,,ok,unsat,3.7,0,3.7,12.2
pk1-20_p110.smt2,,ok,unsat,4.0,0,4.0,13.5
pk1-20_p111.smt2,,ok,unsat,3.4,0,3.4,15.8
pk1-20_p112.smt2,,ok,unsat,4.5,0,4.5,15.2
pk1-20_p113.smt2,,ok,unsat,4.0,0,3.9,13.9
pk1-20_p114.smt2,,ok,unsat,4.2,0,4.2,14.7
pk1-20_p115.smt2,,ok,unsat,4.1,0,4.1,14.0
pk1-20_p116.smt2,,ok,unsat,3.7,0,3.7,14.5
pk1-20_p117.smt2,,ok,unsat,4.2,0,4.2,14.1
pk1-20_p118.smt2,,ok,unsat,3.4,0,3.4,14.0
pk1-20_p119.smt2,,ok,unsat,72.9,0,72.9,17.3
pk1-20_p12.smt2,,ok,unsat,4.1,0,4.0,12.4
pk1-20_p120.smt2,,ok,unsat,4.1,0,4.1,15.0
pk1-20_p121.smt2,,ok,unsat,3.5,0,3.5,14.5
pk1-20_p122.smt2,,ok,unsat,3.9,0,3.8,14.3
pk1-20_p123.smt2,,ok,unsat,10.9,0,10.9,16.1
pk1-20_p124.smt2,,ok,unsat,4.7,0,4.7,15.7
pk1-20_p125.smt2,,ok,unsat,4.2,0,4.2,15.1
pk1-20_p126.smt2,,ok,unsat,4.2,0,4.2,14.8
pk1-20_p127.smt2,,to,unknown,1201.0,0,1201.0,410.9
pk1-20_p13.smt2,,ok,unsat,3.2,0,3.2,11.9
pk1-20_p14.smt2,,ok,unsat,28.5,0,28.5,12.8
pk1-20_p15.smt2,,ok,unsat,9.5,0,9.5,12.6
pk1-20_p16.smt2,,ok,unsat,2.7,0,2.6,11.8
pk1-20_p17.smt2,,ok,unsat,3.9,0,3.9,11.9
pk1-20_p18.smt2,,to,unknown,1201.0,0,1201.0,396.8
pk1-20_p19.smt2,,ok,unsat,2.5,0,2.5,11.8
pk1-20_p2.smt2,,ok,unsat,2.4,0,2.4,12.3
pk1-20_p20.smt2,,to,unknown,1201.0,0,1201.0,373.7
pk1-20_p21.smt2,,to,unknown,1201.0,0,1201.0,374.7
pk1-20_p22.smt2,,ok,unsat,62.6,0,62.6,13.5
pk1-20_p23.smt2,,to,unknown,1201.0,0,1201.0,358.3
pk1-20_p24.smt2,,ok,unsat,18.6,0,18.6,12.8
pk1-20_p25.smt2,,ok,unsat,8.3,0,8.3,13.1
pk1-20_p26.smt2,,ok,unsat,4.2,0,4.2,11.9
pk1-20_p27.smt2,,ok,unsat,8.5,0,8.5,13.4
pk1-20_p28.smt2,,ok,unsat,2.7,0,2.6,12.2
pk1-20_p29.smt2,,ok,unsat,2.5,0,2.5,12.3
pk1-20_p3.smt2,,ok,unsat,2.5,0,2.5,11.6
pk1-20_p30.smt2,,ok,unsat,2.4,0,2.4,11.8
pk1-20_p31.smt2,,ok,unsat,20.8,0,20.8,13.4
pk1-20_p32.smt2,,ok,unsat,15.0,0,15.0,13.3
pk1-20_p33.smt2,,ok,unsat,20.2,0,20.2,13.6
pk1-20_p34.smt2,,ok,unsat,53.6,0,53.6,14.0
pk1-20_p35.smt2,,ok,unsat,105.4,0,105.4,15.6
pk1-20_p36.smt2,,to,unknown,1201.0,0,1201.0,401.6
pk1-20_p37.smt2,,to,unknown,1201.0,0,1201.0,378.0
pk1-20_p38.smt2,,ok,unsat,3.4,0,3.3,12.5
pk1-20_p39.smt2,,ok,unsat,2.4,0,2.4,12.6
pk1-20_p4.smt2,,ok,unsat,2.6,0,2.6,11.6
pk1-20_p40.smt2,,ok,unsat,2.9,0,2.9,12.9
pk1-20_p41.smt2,,ok,unsat,58.8,0,58.8,14.3
pk1-20_p42.smt2,,ok,unsat,3.3,0,3.3,12.7
pk1-20_p43.smt2,,ok,unsat,3.2,0,3.2,12.5
pk1-20_p44.smt2,,ok,unsat,3.0,0,3.0,13.6
