benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_14nodes.abstract.induct_p0.smt2,,ok,unsat,673.5,0,673.4,213.6
simple_startup_14nodes.abstract.induct_p1.smt2,,ok,unsat,541.2,0,541.2,191.0
simple_startup_14nodes.abstract.induct_p10.smt2,,ok,unsat,167.6,0,167.6,121.9
simple_startup_14nodes.abstract.induct_p100.smt2,,ok,unsat,124.9,0,124.8,105.5
simple_startup_14nodes.abstract.induct_p101.smt2,,ok,unsat,109.3,0,109.3,95.4
simple_startup_14nodes.abstract.induct_p102.smt2,,ok,unsat,572.0,0,572.0,208.4
simple_startup_14nodes.abstract.induct_p103.smt2,,ok,unsat,558.0,0,558.0,188.1
simple_startup_14nodes.abstract.induct_p104.smt2,,ok,unsat,39.2,0,39.2,81.5
simple_startup_14nodes.abstract.induct_p105.smt2,,ok,unsat,38.8,0,38.8,82.3
simple_startup_14nodes.abstract.induct_p106.smt2,,ok,unsat,5.0,0,5.0,57.1
simple_startup_14nodes.abstract.induct_p107.smt2,,ok,unsat,4.1,0,4.1,54.3
simple_startup_14nodes.abstract.induct_p108.smt2,,ok,unsat,4.3,0,4.3,54.3
simple_startup_14nodes.abstract.induct_p109.smt2,,ok,unsat,58.1,0,58.1,89.1
simple_startup_14nodes.abstract.induct_p11.smt2,,ok,unsat,164.8,0,164.8,109.8
simple_startup_14nodes.abstract.induct_p110.smt2,,ok,unsat,40.8,0,40.8,80.4
simple_startup_14nodes.abstract.induct_p111.smt2,,ok,unsat,34.5,0,34.5,75.6
simple_startup_14nodes.abstract.induct_p112.smt2,,ok,unsat,32.8,0,32.7,70.8
simple_startup_14nodes.abstract.induct_p113.smt2,,ok,unsat,80.4,0,80.4,96.4
simple_startup_14nodes.abstract.induct_p114.smt2,,ok,unsat,4.5,0,4.5,54.9
simple_startup_14nodes.abstract.induct_p115.smt2,,ok,unsat,5.7,0,5.7,58.6
simple_startup_14nodes.abstract.induct_p116.smt2,,ok,unsat,5.0,0,5.0,56.5
simple_startup_14nodes.abstract.induct_p117.smt2,,ok,unsat,533.3,0,533.3,183.2
simple_startup_14nodes.abstract.induct_p118.smt2,,ok,unsat,80.3,0,80.3,91.9
simple_startup_14nodes.abstract.induct_p119.smt2,,ok,unsat,97.7,0,97.6,97.6
simple_startup_14nodes.abstract.induct_p12.smt2,,ok,unsat,143.4,0,143.4,109.5
simple_startup_14nodes.abstract.induct_p120.smt2,,ok,unsat,20.2,0,20.1,67.8
simple_startup_14nodes.abstract.induct_p121.smt2,,ok,unsat,6.1,0,6.1,57.7
simple_startup_14nodes.abstract.induct_p122.smt2,,ok,unsat,18.6,0,18.5,72.2
simple_startup_14nodes.abstract.induct_p123.smt2,,ok,unsat,5.8,0,5.8,56.8
simple_startup_14nodes.abstract.induct_p124.smt2,,ok,unsat,15.1,0,15.1,68.0
simple_startup_14nodes.abstract.induct_p125.smt2,,ok,unsat,15.8,0,15.8,69.4
simple_startup_14nodes.abstract.induct_p126.smt2,,ok,unsat,11.9,0,11.9,64.9
simple_startup_14nodes.abstract.induct_p127.smt2,,ok,unsat,552.5,0,552.4,196.5
simple_startup_14nodes.abstract.induct_p13.smt2,,ok,unsat,112.5,0,112.5,106.9
simple_startup_14nodes.abstract.induct_p14.smt2,,ok,unsat,97.5,0,97.5,98.3
simple_startup_14nodes.abstract.induct_p15.smt2,,ok,unsat,96.4,0,96.4,102.8
simple_startup_14nodes.abstract.induct_p16.smt2,,ok,unsat,103.4,0,103.4,103.8
simple_startup_14nodes.abstract.induct_p17.smt2,,ok,unsat,64.6,0,64.6,84.4
simple_startup_14nodes.abstract.induct_p18.smt2,,ok,unsat,54.8,0,54.8,88.2
simple_startup_14nodes.abstract.induct_p19.smt2,,ok,unsat,54.1,0,54.1,80.8
simple_startup_14nodes.abstract.induct_p2.smt2,,ok,unsat,595.1,0,595.1,199.9
simple_startup_14nodes.abstract.induct_p20.smt2,,ok,unsat,135.3,0,135.3,105.5
simple_startup_14nodes.abstract.induct_p21.smt2,,ok,unsat,126.8,0,126.8,105.5
simple_startup_14nodes.abstract.induct_p22.smt2,,ok,unsat,141.1,0,141.0,112.5
simple_startup_14nodes.abstract.induct_p23.smt2,,ok,unsat,165.6,0,165.6,126.6
simple_startup_14nodes.abstract.induct_p24.smt2,,ok,unsat,374.9,0,374.9,142.0
simple_startup_14nodes.abstract.induct_p25.smt2,,ok,unsat,444.7,0,444.7,151.5
simple_startup_14nodes.abstract.induct_p26.smt2,,ok,unsat,671.9,0,671.8,225.0
simple_startup_14nodes.abstract.induct_p27.smt2,,ok,unsat,503.4,0,503.4,183.4
simple_startup_14nodes.abstract.induct_p28.smt2,,ok,unsat,34.6,0,34.5,83.2
simple_startup_14nodes.abstract.induct_p29.smt2,,ok,unsat,5.0,0,5.0,55.2
simple_startup_14nodes.abstract.induct_p3.smt2,,ok,unsat,745.5,0,745.4,244.2
simple_startup_14nodes.abstract.induct_p30.smt2,,ok,unsat,5.6,0,5.6,56.0
simple_startup_14nodes.abstract.induct_p31.smt2,,ok,unsat,6.9,0,6.9,56.4
simple_startup_14nodes.abstract.induct_p32.smt2,,ok,unsat,6.0,0,6.0,56.1
simple_startup_14nodes.abstract.induct_p33.smt2,,ok,unsat,6.0,0,6.0,55.8
simple_startup_14nodes.abstract.induct_p34.smt2,,ok,unsat,4.1,0,4.1,53.4
simple_startup_14nodes.abstract.induct_p35.smt2,,ok,unsat,6.8,0,6.8,55.7
simple_startup_14nodes.abstract.induct_p36.smt2,,ok,unsat,6.8,0,6.8,57.2
simple_startup_14nodes.abstract.induct_p37.smt2,,ok,unsat,555.7,0,555.6,193.7
simple_startup_14nodes.abstract.induct_p38.smt2,,ok,unsat,567.7,0,567.7,186.4
simple_startup_14nodes.abstract.induct_p39.smt2,,ok,unsat,350.7,0,350.7,130.9
simple_startup_14nodes.abstract.induct_p4.smt2,,ok,unsat,517.6,0,517.6,181.9
simple_startup_14nodes.abstract.induct_p40.smt2,,ok,unsat,128.4,0,128.4,113.1
simple_startup_14nodes.abstract.induct_p41.smt2,,ok,unsat,142.0,0,142.0,109.6
simple_startup_14nodes.abstract.induct_p42.smt2,,ok,unsat,10.1,0,10.1,62.0
simple_startup_14nodes.abstract.induct_p43.smt2,,ok,unsat,9.1,0,9.1,62.4
simple_startup_14nodes.abstract.induct_p44.smt2,,ok,unsat,8.9,0,8.8,57.7
simple_startup_14nodes.abstract.induct_p45.smt2,,ok,unsat,12.4,0,12.4,66.0
simple_startup_14nodes.abstract.induct_p46.smt2,,ok,unsat,11.8,0,11.8,65.5
simple_startup_14nodes.abstract.induct_p47.smt2,,ok,unsat,376.7,0,376.7,139.3
