benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_84_p0.smt2,,to,unknown,1201.0,0,1201.0,759.9
smtcomp_84_p1.smt2,,to,unknown,1201.0,0,1201.0,748.5
smtcomp_84_p10.smt2,,to,unknown,1201.0,0,1201.0,745.8
smtcomp_84_p11.smt2,,to,unknown,1201.0,0,1200.9,748.3
smtcomp_84_p12.smt2,,to,unknown,1201.0,0,1201.0,745.8
smtcomp_84_p13.smt2,,to,unknown,1201.0,0,1201.0,753.9
smtcomp_84_p14.smt2,,to,unknown,1201.0,0,1201.0,752.9
smtcomp_84_p15.smt2,,to,unknown,1201.0,0,1200.9,747.7
smtcomp_84_p16.smt2,,to,unknown,1201.0,0,1201.0,757.7
smtcomp_84_p17.smt2,,to,unknown,1201.0,0,1201.0,749.1
smtcomp_84_p18.smt2,,to,unknown,1201.0,0,1201.0,748.7
smtcomp_84_p19.smt2,,to,unknown,1201.0,0,1201.0,748.1
smtcomp_84_p2.smt2,,to,unknown,1201.0,0,1201.0,747.7
smtcomp_84_p20.smt2,,to,unknown,1201.0,0,1201.0,749.4
smtcomp_84_p21.smt2,,to,unknown,1201.0,0,1200.9,753.1
smtcomp_84_p22.smt2,,to,unknown,1201.0,0,1200.9,748.8
smtcomp_84_p23.smt2,,to,unknown,1201.0,0,1201.0,746.2
smtcomp_84_p24.smt2,,to,unknown,1201.0,0,1201.0,747.5
smtcomp_84_p25.smt2,,to,unknown,1201.0,0,1201.0,749.1
smtcomp_84_p26.smt2,,to,unknown,1201.0,0,1201.0,751.3
smtcomp_84_p27.smt2,,to,unknown,1201.0,0,1200.8,759.0
smtcomp_84_p28.smt2,,to,unknown,1201.0,0,1201.0,756.6
smtcomp_84_p29.smt2,,to,unknown,1201.0,0,1201.0,748.8
smtcomp_84_p3.smt2,,to,unknown,1201.0,0,1201.0,747.6
smtcomp_84_p30.smt2,,to,unknown,1201.0,0,1201.0,746.9
smtcomp_84_p31.smt2,,to,unknown,1201.0,0,1201.0,750.7
smtcomp_84_p32.smt2,,to,unknown,1201.0,0,1201.0,747.4
smtcomp_84_p33.smt2,,to,unknown,1201.0,0,1201.0,748.5
smtcomp_84_p34.smt2,,to,unknown,1201.0,0,1201.0,746.2
smtcomp_84_p35.smt2,,to,unknown,1201.0,0,1201.0,748.0
smtcomp_84_p36.smt2,,to,unknown,1201.0,0,1201.0,748.5
smtcomp_84_p37.smt2,,to,unknown,1201.0,0,1201.0,747.7
smtcomp_84_p38.smt2,,to,unknown,1201.0,0,1200.9,747.4
smtcomp_84_p4.smt2,,to,unknown,1201.0,0,1201.0,751.0
smtcomp_84_p5.smt2,,to,unknown,1201.0,0,1200.9,748.3
smtcomp_84_p6.smt2,,to,unknown,1201.0,0,1201.0,747.0
smtcomp_84_p7.smt2,,to,unknown,1201.0,0,1201.0,747.8
smtcomp_84_p8.smt2,,to,unknown,1201.0,0,1201.0,748.6
smtcomp_84_p9.smt2,,to,unknown,1201.0,0,1201.0,747.8
