benchmark,config,status,result,time_real,exit_code,time_cpu,memory
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1201.0,105.8
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p1.smt2,,ok,unsat,355.3,0,355.3,46.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p10.smt2,,ok,unsat,36.0,0,36.0,30.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p11.smt2,,ok,unsat,11.1,0,11.1,28.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p12.smt2,,ok,unsat,25.7,0,25.6,30.5
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p13.smt2,,ok,unsat,64.5,0,64.5,31.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p14.smt2,,ok,unsat,21.9,0,21.8,29.3
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p15.smt2,,to,unknown,1201.0,0,1200.9,118.5
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p2.smt2,,to,unknown,1201.0,0,1201.0,86.5
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p3.smt2,,ok,unsat,592.5,0,592.4,55.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,103.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p5.smt2,,ok,unsat,367.7,0,367.7,37.4
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p6.smt2,,ok,unsat,101.8,0,101.7,35.1
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p7.smt2,,ok,unsat,58.2,0,58.1,32.1
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p8.smt2,,ok,unsat,19.0,0,19.0,29.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate_p9.smt2,,ok,unsat,12.5,0,12.4,28.5
