benchmark,config,status,result,time_real,exit_code,time_cpu,memory
NEQ048_size9_p0.smt2,,ok,unsat,3.1,0,3.0,19.6
NEQ048_size9_p1.smt2,,ok,unsat,4.3,0,4.2,20.9
NEQ048_size9_p10.smt2,,ok,unsat,2.4,0,2.4,18.5
NEQ048_size9_p11.smt2,,ok,unsat,1.5,0,1.4,19.0
NEQ048_size9_p12.smt2,,ok,unsat,3.7,0,3.7,19.3
NEQ048_size9_p13.smt2,,ok,unsat,3.1,0,3.0,19.8
NEQ048_size9_p14.smt2,,ok,unsat,2.0,0,2.0,19.2
NEQ048_size9_p15.smt2,,ok,unsat,1.8,0,1.7,18.5
NEQ048_size9_p16.smt2,,ok,unsat,4.2,0,4.1,20.6
NEQ048_size9_p17.smt2,,ok,unsat,0.9,0,0.8,18.4
NEQ048_size9_p18.smt2,,ok,unsat,1.6,0,1.5,19.4
NEQ048_size9_p19.smt2,,ok,unsat,1.6,0,1.5,18.6
NEQ048_size9_p2.smt2,,ok,unsat,4.5,0,4.4,19.9
NEQ048_size9_p20.smt2,,ok,unsat,1.5,0,1.5,19.1
NEQ048_size9_p21.smt2,,ok,unsat,2.6,0,2.5,19.6
NEQ048_size9_p22.smt2,,ok,unsat,2.0,0,1.9,19.1
NEQ048_size9_p23.smt2,,ok,unsat,2.3,0,2.3,18.5
NEQ048_size9_p24.smt2,,ok,unsat,2.1,0,2.1,18.8
NEQ048_size9_p25.smt2,,ok,unsat,1.7,0,1.7,19.2
NEQ048_size9_p26.smt2,,ok,unsat,1.0,0,0.9,18.5
NEQ048_size9_p27.smt2,,ok,unsat,1.3,0,1.2,18.3
NEQ048_size9_p28.smt2,,ok,unsat,3.3,0,3.2,20.2
NEQ048_size9_p29.smt2,,ok,unsat,3.0,0,2.9,19.0
NEQ048_size9_p3.smt2,,ok,unsat,3.2,0,3.1,19.8
NEQ048_size9_p30.smt2,,ok,unsat,8.2,0,8.1,20.8
NEQ048_size9_p31.smt2,,ok,unsat,607.0,0,606.9,161.4
NEQ048_size9_p4.smt2,,ok,unsat,2.2,0,2.1,19.0
NEQ048_size9_p5.smt2,,ok,unsat,2.2,0,2.2,18.3
NEQ048_size9_p6.smt2,,ok,unsat,2.3,0,2.2,18.8
NEQ048_size9_p7.smt2,,ok,unsat,1.9,0,1.9,19.4
NEQ048_size9_p8.smt2,,ok,unsat,2.5,0,2.5,19.0
NEQ048_size9_p9.smt2,,ok,unsat,2.0,0,1.9,19.5
