benchmark,config,status,result,time_real,exit_code,time_cpu,memory
PEQ013_size8_p0.smt2,,ok,unsat,2.0,0,1.9,24.4
PEQ013_size8_p1.smt2,,ok,unsat,3.4,0,3.3,25.4
PEQ013_size8_p10.smt2,,ok,unsat,0.9,0,0.9,23.1
PEQ013_size8_p11.smt2,,ok,unsat,0.5,0,0.5,22.8
PEQ013_size8_p12.smt2,,ok,unsat,0.9,0,0.8,22.5
PEQ013_size8_p13.smt2,,ok,unsat,2.4,0,2.3,25.5
PEQ013_size8_p14.smt2,,ok,unsat,1.0,0,0.9,22.8
PEQ013_size8_p15.smt2,,ok,unsat,2.1,0,2.0,25.1
PEQ013_size8_p16.smt2,,ok,unsat,0.9,0,0.9,22.6
PEQ013_size8_p17.smt2,,ok,unsat,0.6,0,0.5,23.8
PEQ013_size8_p18.smt2,,ok,unsat,1.0,0,0.9,23.1
PEQ013_size8_p19.smt2,,ok,unsat,0.6,0,0.6,23.8
PEQ013_size8_p2.smt2,,ok,unsat,0.6,0,0.6,23.6
PEQ013_size8_p20.smt2,,ok,unsat,0.9,0,0.9,23.1
PEQ013_size8_p21.smt2,,ok,unsat,3.3,0,3.3,25.3
PEQ013_size8_p22.smt2,,ok,unsat,0.9,0,0.8,23.5
PEQ013_size8_p23.smt2,,ok,unsat,1.0,0,1.0,24.1
PEQ013_size8_p24.smt2,,ok,unsat,1.4,0,1.4,24.2
PEQ013_size8_p25.smt2,,ok,unsat,0.8,0,0.7,23.9
PEQ013_size8_p26.smt2,,ok,unsat,0.9,0,0.8,23.9
PEQ013_size8_p27.smt2,,ok,unsat,2.1,0,2.1,25.1
PEQ013_size8_p28.smt2,,ok,unsat,5.8,0,5.7,26.6
PEQ013_size8_p29.smt2,,ok,unsat,0.7,0,0.7,23.5
PEQ013_size8_p3.smt2,,ok,unsat,0.6,0,0.6,23.7
PEQ013_size8_p30.smt2,,ok,unsat,0.7,0,0.7,23.5
PEQ013_size8_p31.smt2,,to,unknown,1201.0,0,1201.0,91.3
PEQ013_size8_p4.smt2,,ok,unsat,0.8,0,0.8,22.8
PEQ013_size8_p5.smt2,,ok,unsat,0.6,0,0.5,23.8
PEQ013_size8_p6.smt2,,ok,unsat,1.5,0,1.5,24.3
PEQ013_size8_p7.smt2,,ok,unsat,1.0,0,1.0,23.1
PEQ013_size8_p8.smt2,,ok,unsat,6.0,0,6.0,26.6
PEQ013_size8_p9.smt2,,ok,unsat,5.1,0,5.0,26.3
