benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_copy7_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,861.3,0,861.2,158.7
_standard_copy7_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,815.1,0,815.0,143.7
_standard_copy7_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,697.8,0,697.7,131.8
_standard_copy7_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,807.6,0,807.4,151.7
_standard_copy7_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,852.8,0,852.7,161.4
_standard_copy7_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,761.5,0,761.5,136.4
_standard_copy7_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,806.9,0,806.7,152.4
_standard_copy7_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,889.1,0,888.9,163.1
_standard_copy7_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,889.4,0,889.3,164.5
_standard_copy7_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,8.2,0,8.1,30.3
_standard_copy7_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,5.6,0,5.5,28.3
_standard_copy7_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,854.3,0,854.1,164.2
_standard_copy7_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,48.8,0,48.6,40.2
_standard_copy7_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,832.1,0,832.0,159.5
_standard_copy7_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,776.0,0,775.8,141.6
_standard_copy7_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,845.4,0,845.2,159.2
_standard_copy7_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,781.8,0,781.7,135.3
_standard_copy7_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,802.8,0,802.7,141.1
_standard_copy7_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,817.8,0,817.7,147.2
_standard_copy7_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,724.8,0,724.7,129.9
_standard_copy7_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,845.0,0,844.9,149.0
_standard_copy7_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,878.4,0,878.2,172.3
_standard_copy7_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,914.5,0,914.3,171.2
_standard_copy7_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,33.9,0,33.8,34.1
_standard_copy7_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,900.1,0,899.9,167.0
_standard_copy7_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,997.9,0,997.8,173.0
_standard_copy7_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,20.4,0,20.2,32.9
_standard_copy7_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,35.8,0,35.8,36.9
_standard_copy7_ground.i_3_2_2.bpl_7_p6.smt2,,ok,unsat,757.6,0,757.5,153.6
_standard_copy7_ground.i_3_2_2.bpl_7_p7.smt2,,ok,unsat,746.9,0,746.7,131.4
_standard_copy7_ground.i_3_2_2.bpl_7_p8.smt2,,ok,unsat,728.5,0,728.5,133.3
_standard_copy7_ground.i_3_2_2.bpl_7_p9.smt2,,ok,unsat,765.9,0,765.6,137.4
