benchmark,config,status,result,time_real,exit_code,time_cpu,memory
opt1217--17_p0.smt2,,to,unknown,1201.0,0,1201.0,486.5
opt1217--17_p1.smt2,,to,unknown,1201.0,0,1201.0,441.5
opt1217--17_p10.smt2,,to,unknown,1201.0,0,1201.0,475.4
opt1217--17_p11.smt2,,to,unknown,1201.0,0,1201.0,488.4
opt1217--17_p12.smt2,,to,unknown,1201.0,0,1200.9,517.1
opt1217--17_p13.smt2,,to,unknown,1201.0,0,1201.0,486.1
opt1217--17_p14.smt2,,to,unknown,1201.0,0,1201.0,471.5
opt1217--17_p15.smt2,,to,unknown,1201.0,0,1201.0,526.6
opt1217--17_p16.smt2,,to,unknown,1201.0,0,1200.9,452.7
opt1217--17_p17.smt2,,to,unknown,1201.0,0,1201.0,487.0
opt1217--17_p18.smt2,,to,unknown,1201.0,0,1201.0,487.4
opt1217--17_p19.smt2,,to,unknown,1201.0,0,1201.0,498.6
opt1217--17_p2.smt2,,to,unknown,1201.0,0,1201.0,445.2
opt1217--17_p20.smt2,,to,unknown,1201.0,0,1200.8,495.8
opt1217--17_p21.smt2,,to,unknown,1201.0,0,1201.0,497.8
opt1217--17_p22.smt2,,to,unknown,1201.0,0,1201.0,512.6
opt1217--17_p23.smt2,,to,unknown,1201.0,0,1201.0,511.5
opt1217--17_p24.smt2,,to,unknown,1201.0,0,1201.0,505.7
opt1217--17_p25.smt2,,to,unknown,1201.0,0,1201.0,498.0
opt1217--17_p26.smt2,,to,unknown,1201.0,0,1200.9,486.4
opt1217--17_p27.smt2,,to,unknown,1201.0,0,1200.9,479.2
opt1217--17_p28.smt2,,to,unknown,1201.0,0,1201.0,488.9
opt1217--17_p29.smt2,,to,unknown,1201.0,0,1200.9,487.1
opt1217--17_p3.smt2,,to,unknown,1201.0,0,1201.0,504.9
opt1217--17_p30.smt2,,to,unknown,1201.0,0,1201.0,523.0
opt1217--17_p31.smt2,,to,unknown,1201.0,0,1201.0,524.0
opt1217--17_p4.smt2,,to,unknown,1201.0,0,1201.0,494.8
opt1217--17_p5.smt2,,to,unknown,1201.0,0,1201.0,484.2
opt1217--17_p6.smt2,,to,unknown,1201.0,0,1201.0,469.8
opt1217--17_p7.smt2,,to,unknown,1201.0,0,1201.0,468.7
opt1217--17_p8.smt2,,to,unknown,1201.0,0,1201.0,531.3
opt1217--17_p9.smt2,,to,unknown,1201.0,0,1201.0,478.0
