benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sc-40.base.cvc_p0.smt2,,ok,unsat,173.0,0,172.9,56.7
sc-40.base.cvc_p1.smt2,,ok,unsat,18.3,0,18.3,34.9
sc-40.base.cvc_p10.smt2,,ok,unsat,344.2,0,344.1,62.5
sc-40.base.cvc_p11.smt2,,ok,unsat,177.0,0,176.9,57.5
sc-40.base.cvc_p12.smt2,,ok,unsat,160.9,0,160.9,56.2
sc-40.base.cvc_p13.smt2,,ok,unsat,122.8,0,122.8,56.4
sc-40.base.cvc_p14.smt2,,ok,unsat,103.0,0,103.0,50.1
sc-40.base.cvc_p15.smt2,,ok,unsat,521.0,0,520.9,66.8
sc-40.base.cvc_p16.smt2,,ok,unsat,4.7,0,4.7,33.5
sc-40.base.cvc_p17.smt2,,ok,unsat,165.3,0,165.3,56.5
sc-40.base.cvc_p18.smt2,,ok,unsat,6.5,0,6.5,33.3
sc-40.base.cvc_p19.smt2,,ok,unsat,1.5,0,1.5,26.8
sc-40.base.cvc_p2.smt2,,ok,unsat,485.5,0,485.4,65.0
sc-40.base.cvc_p20.smt2,,ok,unsat,196.8,0,196.7,59.3
sc-40.base.cvc_p21.smt2,,ok,unsat,632.8,0,632.8,67.4
sc-40.base.cvc_p22.smt2,,ok,unsat,364.1,0,364.1,56.9
sc-40.base.cvc_p23.smt2,,ok,unsat,94.8,0,94.7,49.0
sc-40.base.cvc_p24.smt2,,ok,unsat,604.0,0,604.0,69.1
sc-40.base.cvc_p25.smt2,,ok,unsat,157.4,0,157.4,59.7
sc-40.base.cvc_p26.smt2,,ok,unsat,180.6,0,180.6,55.1
sc-40.base.cvc_p27.smt2,,ok,unsat,145.0,0,145.0,55.2
sc-40.base.cvc_p28.smt2,,ok,unsat,142.3,0,142.2,53.5
sc-40.base.cvc_p29.smt2,,ok,unsat,351.3,0,351.2,57.5
sc-40.base.cvc_p3.smt2,,ok,unsat,498.6,0,498.5,70.2
sc-40.base.cvc_p30.smt2,,ok,unsat,112.0,0,112.0,54.1
sc-40.base.cvc_p31.smt2,,ok,unsat,395.3,0,395.3,62.7
sc-40.base.cvc_p4.smt2,,ok,unsat,508.4,0,508.4,65.4
sc-40.base.cvc_p5.smt2,,ok,unsat,187.4,0,187.3,54.6
sc-40.base.cvc_p6.smt2,,ok,unsat,394.2,0,394.2,65.5
sc-40.base.cvc_p7.smt2,,ok,unsat,19.7,0,19.6,34.7
sc-40.base.cvc_p8.smt2,,ok,unsat,386.6,0,386.5,57.8
sc-40.base.cvc_p9.smt2,,ok,unsat,397.7,0,397.7,58.2
