benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,138.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1200.3,128.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.9,152.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,to,unknown,1201.0,0,1200.9,114.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,sat,678.2,0,678.2,118.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,to,unknown,1201.0,0,1200.9,143.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,ok,sat,483.5,0,483.3,105.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,ok,sat,994.4,0,994.2,143.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p16.smt2,,ok,sat,1027.5,0,1027.2,135.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p17.smt2,,ok,sat,1181.2,0,1181.1,141.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p18.smt2,,ok,sat,1084.6,0,1084.5,137.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1200.4,143.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p2.smt2,,to,unknown,1201.0,0,1201.0,141.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p20.smt2,,to,unknown,1201.0,0,1200.9,146.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p21.smt2,,ok,sat,813.0,0,813.0,131.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p22.smt2,,to,unknown,1201.0,0,1201.0,131.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p23.smt2,,to,unknown,1201.0,0,1201.0,175.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p24.smt2,,to,unknown,1201.0,0,1201.0,134.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p25.smt2,,to,unknown,1201.0,0,1201.0,171.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p26.smt2,,ok,sat,842.4,0,842.4,125.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p27.smt2,,ok,sat,981.4,0,981.3,135.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p28.smt2,,ok,sat,1006.8,0,1006.8,135.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p29.smt2,,ok,sat,89.2,0,89.1,85.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p3.smt2,,to,unknown,1201.0,0,1200.9,142.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p30.smt2,,ok,sat,1098.1,0,1097.5,169.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p31.smt2,,ok,unsat,11.8,0,11.8,70.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p32.smt2,,ok,sat,979.3,0,979.2,136.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p33.smt2,,to,unknown,1201.0,0,1201.0,136.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p34.smt2,,ok,unsat,25.9,0,25.3,85.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p35.smt2,,ok,unsat,152.1,0,152.0,84.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p36.smt2,,ok,sat,879.3,0,879.3,125.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p37.smt2,,to,unknown,1201.0,0,1200.9,132.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p38.smt2,,ok,sat,993.2,0,993.1,131.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p39.smt2,,ok,sat,661.8,0,661.7,106.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p4.smt2,,ok,sat,955.0,0,954.8,133.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p40.smt2,,ok,sat,1019.7,0,1019.5,129.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p41.smt2,,ok,sat,666.2,0,666.1,148.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p42.smt2,,to,unknown,1201.0,0,1200.9,131.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p43.smt2,,ok,sat,869.3,0,869.2,122.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p44.smt2,,ok,sat,989.2,0,989.1,132.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p45.smt2,,to,unknown,1201.0,0,1200.9,133.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p46.smt2,,ok,sat,571.5,0,571.5,104.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p47.smt2,,to,unknown,1201.0,0,1200.9,116.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p48.smt2,,ok,sat,1129.8,0,1129.7,129.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p49.smt2,,to,unknown,1201.0,0,1200.9,122.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p5.smt2,,to,unknown,1201.0,0,1200.4,134.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p50.smt2,,ok,sat,855.2,0,855.0,109.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p51.smt2,,ok,unsat,32.0,0,30.7,83.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p52.smt2,,ok,unsat,18.6,0,18.0,69.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p53.smt2,,to,unknown,1201.0,0,1200.9,138.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p54.smt2,,to,unknown,1201.0,0,1200.9,134.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p55.smt2,,to,unknown,1201.0,0,1201.0,138.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p56.smt2,,to,unknown,1201.0,0,1200.4,131.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p57.smt2,,ok,sat,1019.9,0,1019.8,153.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p58.smt2,,ok,sat,1172.1,0,1172.0,139.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p59.smt2,,ok,sat,789.3,0,789.2,108.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p6.smt2,,to,unknown,1201.0,0,1201.0,147.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p60.smt2,,ok,sat,1025.1,0,1025.1,131.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p61.smt2,,ok,sat,969.2,0,969.1,128.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p62.smt2,,ok,sat,907.4,0,907.3,124.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p63.smt2,,ok,sat,1048.8,0,1048.7,155.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p7.smt2,,to,unknown,1201.0,0,1200.9,142.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p8.smt2,,to,unknown,1201.0,0,1200.9,150.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p9.smt2,,ok,sat,1050.4,0,1050.4,135.2
