benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_copy7_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,800.4,0,800.3,149.2
_standard_copy7_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,569.2,0,569.1,110.6
_standard_copy7_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,777.7,0,777.6,144.2
_standard_copy7_ground.i_3_2_2.bpl_7_p100.smt2,,ok,unsat,638.1,0,638.1,120.1
_standard_copy7_ground.i_3_2_2.bpl_7_p101.smt2,,ok,unsat,495.4,0,495.3,100.7
_standard_copy7_ground.i_3_2_2.bpl_7_p102.smt2,,ok,unsat,807.5,0,807.4,155.8
_standard_copy7_ground.i_3_2_2.bpl_7_p103.smt2,,ok,unsat,682.8,0,682.7,150.9
_standard_copy7_ground.i_3_2_2.bpl_7_p104.smt2,,ok,unsat,688.2,0,688.2,125.0
_standard_copy7_ground.i_3_2_2.bpl_7_p105.smt2,,ok,unsat,736.8,0,736.7,132.0
_standard_copy7_ground.i_3_2_2.bpl_7_p106.smt2,,ok,unsat,660.5,0,660.4,127.6
_standard_copy7_ground.i_3_2_2.bpl_7_p107.smt2,,ok,unsat,680.8,0,680.7,126.5
_standard_copy7_ground.i_3_2_2.bpl_7_p108.smt2,,ok,unsat,646.7,0,646.6,128.6
_standard_copy7_ground.i_3_2_2.bpl_7_p109.smt2,,ok,unsat,640.0,0,639.9,120.5
_standard_copy7_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,801.7,0,801.6,146.9
_standard_copy7_ground.i_3_2_2.bpl_7_p110.smt2,,ok,unsat,686.9,0,686.9,127.7
_standard_copy7_ground.i_3_2_2.bpl_7_p111.smt2,,ok,unsat,615.9,0,615.8,118.4
_standard_copy7_ground.i_3_2_2.bpl_7_p112.smt2,,ok,unsat,720.8,0,720.7,134.6
_standard_copy7_ground.i_3_2_2.bpl_7_p113.smt2,,ok,unsat,531.7,0,531.6,103.3
_standard_copy7_ground.i_3_2_2.bpl_7_p114.smt2,,ok,unsat,622.1,0,622.0,118.5
_standard_copy7_ground.i_3_2_2.bpl_7_p115.smt2,,ok,unsat,821.9,0,821.9,154.8
_standard_copy7_ground.i_3_2_2.bpl_7_p116.smt2,,ok,unsat,606.5,0,606.5,137.2
_standard_copy7_ground.i_3_2_2.bpl_7_p117.smt2,,ok,unsat,639.5,0,639.4,122.2
_standard_copy7_ground.i_3_2_2.bpl_7_p118.smt2,,ok,unsat,567.4,0,567.3,114.7
_standard_copy7_ground.i_3_2_2.bpl_7_p119.smt2,,ok,unsat,571.7,0,571.6,111.8
_standard_copy7_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,851.0,0,851.0,144.5
_standard_copy7_ground.i_3_2_2.bpl_7_p120.smt2,,ok,unsat,681.9,0,681.8,122.4
_standard_copy7_ground.i_3_2_2.bpl_7_p121.smt2,,ok,unsat,885.3,0,885.2,157.9
_standard_copy7_ground.i_3_2_2.bpl_7_p122.smt2,,ok,unsat,574.4,0,574.4,103.7
_standard_copy7_ground.i_3_2_2.bpl_7_p123.smt2,,ok,unsat,751.4,0,751.3,138.4
_standard_copy7_ground.i_3_2_2.bpl_7_p124.smt2,,ok,unsat,811.8,0,811.8,144.7
_standard_copy7_ground.i_3_2_2.bpl_7_p125.smt2,,ok,unsat,476.7,0,476.6,89.3
_standard_copy7_ground.i_3_2_2.bpl_7_p126.smt2,,ok,unsat,816.9,0,816.9,143.5
_standard_copy7_ground.i_3_2_2.bpl_7_p127.smt2,,ok,unsat,1038.7,0,1038.7,184.0
