benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-166_p0.smt2,,to,unknown,1201.0,0,1201.0,59.1
danoint-166_p1.smt2,,to,unknown,1201.0,0,1201.0,49.8
danoint-166_p10.smt2,,ok,unsat,1.4,0,1.3,18.6
danoint-166_p100.smt2,,to,unknown,1201.0,0,1200.9,59.0
danoint-166_p101.smt2,,ok,unsat,6.9,0,6.9,27.5
danoint-166_p102.smt2,,to,unknown,1201.0,0,1200.9,59.8
danoint-166_p103.smt2,,ok,unsat,1.3,0,1.3,19.4
danoint-166_p104.smt2,,to,unknown,1201.0,0,1201.0,58.4
danoint-166_p105.smt2,,ok,unsat,39.8,0,39.7,35.2
danoint-166_p106.smt2,,ok,unsat,1.3,0,1.3,19.4
danoint-166_p107.smt2,,to,unknown,1201.0,0,1200.9,59.0
danoint-166_p108.smt2,,ok,sat,955.1,0,955.1,59.2
danoint-166_p109.smt2,,to,unknown,1201.0,0,1200.9,59.1
danoint-166_p11.smt2,,ok,unsat,0.6,0,0.6,10.1
danoint-166_p110.smt2,,to,unknown,1201.0,0,1201.0,58.9
danoint-166_p111.smt2,,to,unknown,1201.0,0,1201.0,58.9
danoint-166_p112.smt2,,to,unknown,1201.0,0,1201.0,59.3
danoint-166_p113.smt2,,to,unknown,1201.0,0,1201.0,59.3
danoint-166_p114.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-166_p115.smt2,,to,unknown,1201.0,0,1201.0,59.9
danoint-166_p116.smt2,,ok,unsat,32.3,0,32.3,36.1
danoint-166_p117.smt2,,ok,unsat,1.4,0,1.3,20.6
danoint-166_p118.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-166_p119.smt2,,to,unknown,1201.0,0,1200.9,59.5
danoint-166_p12.smt2,,to,unknown,1201.0,0,1200.9,50.9
danoint-166_p120.smt2,,ok,unsat,1.3,0,1.3,20.5
danoint-166_p121.smt2,,ok,unsat,1045.2,0,1045.2,59.6
danoint-166_p122.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-166_p123.smt2,,to,unknown,1201.0,0,1200.9,59.8
danoint-166_p124.smt2,,ok,unsat,633.7,0,633.7,51.1
danoint-166_p125.smt2,,to,unknown,1201.0,0,1200.9,59.2
danoint-166_p126.smt2,,ok,unsat,564.5,0,564.5,59.4
danoint-166_p127.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-166_p13.smt2,,to,unknown,1201.0,0,1200.9,58.1
danoint-166_p14.smt2,,ok,unsat,1.3,0,1.3,18.7
danoint-166_p15.smt2,,to,unknown,1201.0,0,1200.9,58.3
danoint-166_p16.smt2,,to,unknown,1201.0,0,1200.9,50.4
danoint-166_p17.smt2,,to,unknown,1201.0,0,1200.9,49.8
danoint-166_p18.smt2,,to,unknown,1201.0,0,1201.0,62.0
danoint-166_p19.smt2,,to,unknown,1201.0,0,1201.0,63.2
danoint-166_p2.smt2,,to,unknown,1201.0,0,1201.0,62.7
danoint-166_p20.smt2,,ok,sat,874.4,0,874.2,58.3
danoint-166_p21.smt2,,ok,unsat,1.4,0,1.4,19.1
danoint-166_p22.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-166_p23.smt2,,to,unknown,1201.0,0,1200.9,50.0
danoint-166_p24.smt2,,to,unknown,1201.0,0,1201.0,57.7
danoint-166_p25.smt2,,to,unknown,1201.0,0,1200.9,58.8
