benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1201.0,144.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,sat,983.4,0,983.3,126.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.9,134.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,to,unknown,1201.0,0,1200.9,129.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,to,unknown,1201.0,0,1201.0,144.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,to,unknown,1201.0,0,1201.0,138.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,to,unknown,1201.0,0,1200.9,125.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,to,unknown,1201.0,0,1201.0,138.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,unsat,251.1,0,251.1,89.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,to,unknown,1201.0,0,1200.9,140.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,to,unknown,1201.0,0,1200.9,137.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,to,unknown,1201.0,0,1201.0,132.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,to,unknown,1201.0,0,1200.9,139.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,sat,686.2,0,686.1,111.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,to,unknown,1201.0,0,1201.0,147.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,sat,1078.8,0,1078.8,132.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,to,unknown,1201.0,0,1200.9,135.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,to,unknown,1201.0,0,1200.9,154.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,sat,1139.1,0,1138.9,167.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,to,unknown,1201.0,0,1201.0,145.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,to,unknown,1201.0,0,1201.0,137.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,to,unknown,1201.0,0,1201.0,156.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,to,unknown,1201.0,0,1200.8,165.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,to,unknown,1201.0,0,1201.0,168.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1200.9,134.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p120.smt2,,to,unknown,1201.0,0,1201.0,162.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p121.smt2,,to,unknown,1201.0,0,1201.0,142.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p122.smt2,,to,unknown,1201.0,0,1200.9,137.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p123.smt2,,to,unknown,1201.0,0,1200.9,138.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p124.smt2,,to,unknown,1201.0,0,1201.0,130.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p125.smt2,,to,unknown,1201.0,0,1201.0,131.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p126.smt2,,to,unknown,1201.0,0,1201.0,131.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p127.smt2,,to,unknown,1201.0,0,1200.9,128.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,to,unknown,1201.0,0,1201.0,133.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,to,unknown,1201.0,0,1201.0,132.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,to,unknown,1201.0,0,1201.0,151.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p16.smt2,,ok,sat,787.3,0,787.3,134.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p17.smt2,,ok,sat,1116.0,0,1116.0,130.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p18.smt2,,ok,sat,199.0,0,198.9,90.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1201.0,142.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p2.smt2,,to,unknown,1201.0,0,1200.7,135.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p20.smt2,,to,unknown,1201.0,0,1201.0,168.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p21.smt2,,to,unknown,1201.0,0,1201.0,135.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p22.smt2,,to,unknown,1201.0,0,1200.9,123.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p23.smt2,,to,unknown,1201.0,0,1201.0,125.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p24.smt2,,ok,unsat,4.7,0,4.7,56.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p25.smt2,,ok,sat,883.5,0,883.4,138.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p26.smt2,,ok,sat,1040.2,0,1040.2,136.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p27.smt2,,to,unknown,1201.0,0,1201.0,138.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p28.smt2,,to,unknown,1201.0,0,1201.0,140.7
