benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_299_p0.smt2,,ok,unsat,8.7,0,8.6,61.6
smtcomp_299_p1.smt2,,to,unknown,1201.0,0,1200.9,279.2
smtcomp_299_p10.smt2,,ok,unsat,15.5,0,15.3,178.6
smtcomp_299_p11.smt2,,ok,unsat,15.0,0,14.9,178.9
smtcomp_299_p12.smt2,,ok,unsat,8.7,0,8.6,61.1
smtcomp_299_p13.smt2,,ok,unsat,15.4,0,15.3,178.7
smtcomp_299_p14.smt2,,ok,unsat,15.1,0,15.0,178.6
smtcomp_299_p15.smt2,,to,unknown,1201.0,0,1200.9,280.7
smtcomp_299_p2.smt2,,ok,unsat,8.7,0,8.6,61.0
smtcomp_299_p3.smt2,,ok,unsat,15.8,0,15.7,195.1
smtcomp_299_p4.smt2,,ok,unsat,15.3,0,15.2,186.8
smtcomp_299_p5.smt2,,ok,unsat,8.7,0,8.6,61.7
smtcomp_299_p6.smt2,,ok,unsat,15.1,0,15.0,178.3
smtcomp_299_p7.smt2,,ok,unsat,15.0,0,15.0,179.1
smtcomp_299_p8.smt2,,ok,unsat,15.2,0,15.0,178.7
smtcomp_299_p9.smt2,,ok,unsat,8.7,0,8.6,61.8
