benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-39.base.cvc_p0.smt2,,ok,unsat,711.8,0,711.7,92.6
uart-39.base.cvc_p1.smt2,,ok,unsat,496.4,0,496.3,80.6
uart-39.base.cvc_p10.smt2,,ok,unsat,5.7,0,5.7,46.5
uart-39.base.cvc_p11.smt2,,ok,unsat,96.2,0,96.2,63.0
uart-39.base.cvc_p12.smt2,,ok,unsat,49.5,0,49.4,58.1
uart-39.base.cvc_p13.smt2,,ok,unsat,36.4,0,36.4,58.1
uart-39.base.cvc_p14.smt2,,ok,unsat,24.9,0,24.9,54.4
uart-39.base.cvc_p15.smt2,,ok,unsat,58.2,0,58.2,59.0
uart-39.base.cvc_p2.smt2,,ok,unsat,55.3,0,55.3,61.2
uart-39.base.cvc_p3.smt2,,ok,unsat,513.2,0,513.1,81.1
uart-39.base.cvc_p4.smt2,,ok,unsat,20.8,0,20.8,56.9
uart-39.base.cvc_p5.smt2,,ok,unsat,2.1,0,2.1,43.1
uart-39.base.cvc_p6.smt2,,ok,unsat,38.7,0,38.6,59.1
uart-39.base.cvc_p7.smt2,,ok,unsat,159.4,0,159.4,70.4
uart-39.base.cvc_p8.smt2,,ok,unsat,77.2,0,77.1,60.8
uart-39.base.cvc_p9.smt2,,ok,unsat,70.6,0,70.6,61.1
