benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-199552_p0.smt2,,to,unknown,1201.0,0,1200.9,73.7
constraint-199552_p1.smt2,,to,unknown,1201.0,0,1201.0,64.4
constraint-199552_p10.smt2,,ok,sat,545.8,0,545.7,62.7
constraint-199552_p11.smt2,,to,unknown,1201.0,0,1200.9,67.4
constraint-199552_p12.smt2,,to,unknown,1201.0,0,1200.9,65.3
constraint-199552_p13.smt2,,to,unknown,1201.0,0,1201.0,65.4
constraint-199552_p14.smt2,,to,unknown,1201.0,0,1201.0,69.7
constraint-199552_p15.smt2,,to,unknown,1201.0,0,1201.0,68.5
constraint-199552_p16.smt2,,to,unknown,1201.0,0,1200.9,79.9
constraint-199552_p17.smt2,,to,unknown,1201.0,0,1201.0,67.9
constraint-199552_p18.smt2,,to,unknown,1201.0,0,1201.0,71.5
constraint-199552_p19.smt2,,ok,sat,847.9,0,847.8,64.9
constraint-199552_p2.smt2,,to,unknown,1201.0,0,1200.9,69.4
constraint-199552_p20.smt2,,to,unknown,1201.0,0,1201.0,67.3
constraint-199552_p21.smt2,,to,unknown,1201.0,0,1201.0,63.8
constraint-199552_p22.smt2,,to,unknown,1201.0,0,1200.9,68.6
constraint-199552_p23.smt2,,ok,sat,1052.0,0,1052.0,71.4
constraint-199552_p24.smt2,,to,unknown,1201.0,0,1201.0,66.7
constraint-199552_p25.smt2,,to,unknown,1201.0,0,1201.0,74.7
constraint-199552_p26.smt2,,to,unknown,1201.0,0,1201.0,70.9
constraint-199552_p27.smt2,,to,unknown,1201.0,0,1201.0,65.0
constraint-199552_p28.smt2,,to,unknown,1201.0,0,1201.0,67.6
constraint-199552_p29.smt2,,to,unknown,1201.0,0,1201.0,65.0
constraint-199552_p3.smt2,,to,unknown,1201.0,0,1201.0,75.2
constraint-199552_p30.smt2,,to,unknown,1201.0,0,1201.0,64.8
constraint-199552_p31.smt2,,to,unknown,1201.0,0,1201.0,67.4
constraint-199552_p4.smt2,,to,unknown,1201.0,0,1201.0,70.3
constraint-199552_p5.smt2,,to,unknown,1201.0,0,1200.9,71.1
constraint-199552_p6.smt2,,to,unknown,1201.0,0,1200.9,65.6
constraint-199552_p7.smt2,,to,unknown,1201.0,0,1200.9,67.2
constraint-199552_p8.smt2,,to,unknown,1201.0,0,1201.0,66.6
constraint-199552_p9.smt2,,to,unknown,1201.0,0,1201.0,75.1
