benchmark,config,status,result,time_real,exit_code,time_cpu,memory
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,ok,unsat,2.8,0,2.8,22.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,sat,544.9,0,544.9,132.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,ok,sat,774.4,0,774.4,147.6
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,ok,sat,1112.2,0,1112.1,154.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,ok,sat,860.1,0,860.0,150.3
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p13.smt2,,to,unknown,1201.0,0,1201.0,150.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p14.smt2,,to,unknown,1201.0,0,1201.0,154.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p15.smt2,,to,unknown,1201.0,0,1201.0,147.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p16.smt2,,to,unknown,1201.0,0,1201.0,140.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p17.smt2,,to,unknown,1201.0,0,1201.0,136.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p18.smt2,,to,unknown,1201.0,0,1201.0,141.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1201.0,136.8
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p2.smt2,,ok,sat,680.9,0,680.9,142.0
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p20.smt2,,to,unknown,1201.0,0,1201.0,146.8
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p21.smt2,,to,unknown,1201.0,0,1201.0,151.0
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p22.smt2,,to,unknown,1201.0,0,1201.0,148.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p23.smt2,,to,unknown,1201.0,0,1201.0,151.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p24.smt2,,to,unknown,1201.0,0,1201.0,150.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p25.smt2,,to,unknown,1201.0,0,1201.0,144.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p26.smt2,,to,unknown,1201.0,0,1201.0,157.3
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p27.smt2,,ok,unsat,18.7,0,18.7,90.8
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p28.smt2,,to,unknown,1201.0,0,1201.0,173.3
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p29.smt2,,to,unknown,1201.0,0,1201.0,143.0
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p3.smt2,,ok,sat,1072.8,0,1072.8,154.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p30.smt2,,to,unknown,1201.0,0,1201.0,144.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p31.smt2,,to,unknown,1201.0,0,1200.9,140.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p4.smt2,,to,unknown,1201.0,0,1201.0,148.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p5.smt2,,ok,sat,1049.6,0,1049.5,152.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p6.smt2,,to,unknown,1201.0,0,1201.0,155.6
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p7.smt2,,ok,sat,741.6,0,741.5,141.0
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p8.smt2,,ok,sat,1114.4,0,1114.4,163.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p9.smt2,,to,unknown,1201.0,0,1201.0,152.8
