benchmark,config,status,result,time_real,exit_code,time_cpu,memory
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p0.smt2,,ok,unsat,25.9,0,25.7,174.2
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p1.smt2,,ok,sat,845.3,0,845.1,737.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p10.smt2,,ok,unsat,44.0,0,43.6,566.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p11.smt2,,ok,unsat,44.3,0,44.2,567.2
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p12.smt2,,ok,unsat,43.9,0,43.7,566.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p13.smt2,,ok,unsat,43.7,0,43.5,567.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p14.smt2,,ok,unsat,44.3,0,44.0,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p15.smt2,,ok,unsat,43.6,0,43.4,566.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p16.smt2,,ok,unsat,43.8,0,43.7,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p17.smt2,,ok,unsat,43.4,0,43.3,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p18.smt2,,ok,unsat,44.0,0,43.7,567.2
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p19.smt2,,ok,unsat,43.5,0,43.4,566.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p2.smt2,,ok,unsat,26.3,0,26.2,177.1
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p20.smt2,,ok,unsat,43.7,0,43.5,568.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p21.smt2,,ok,unsat,44.5,0,44.2,567.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p22.smt2,,ok,unsat,43.7,0,43.6,567.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p23.smt2,,ok,unsat,44.7,0,44.5,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p24.smt2,,ok,unsat,44.4,0,44.3,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p25.smt2,,ok,unsat,44.5,0,44.2,567.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p26.smt2,,ok,unsat,43.5,0,43.4,567.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p27.smt2,,ok,unsat,44.8,0,44.6,567.4
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p28.smt2,,ok,unsat,44.7,0,44.6,567.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p29.smt2,,ok,unsat,43.7,0,43.4,567.1
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p3.smt2,,to,unknown,1201.0,0,1200.8,747.2
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p30.smt2,,ok,unsat,43.7,0,43.6,567.2
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p31.smt2,,to,unknown,1201.0,0,1200.8,764.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p4.smt2,,ok,unsat,25.8,0,25.7,177.1
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p5.smt2,,ok,sat,1073.5,0,1073.3,755.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p6.smt2,,ok,unsat,44.6,0,44.4,566.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p7.smt2,,ok,unsat,44.4,0,44.3,605.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p8.smt2,,ok,unsat,44.0,0,43.9,567.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p9.smt2,,ok,unsat,44.0,0,43.8,566.7
