benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,unsat,27.0,0,26.9,129.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,sat,1103.3,0,1103.2,762.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,52.5,0,52.5,422.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,52.9,0,52.7,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,unsat,52.9,0,52.8,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,unsat,52.5,0,52.5,422.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,52.9,0,52.7,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,53.1,0,53.0,422.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,unsat,52.5,0,52.4,422.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p17.smt2,,ok,unsat,52.3,0,52.2,422.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,52.3,0,52.2,422.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,52.7,0,52.6,421.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,27.2,0,27.1,130.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,unsat,52.2,0,52.1,422.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p21.smt2,,ok,unsat,52.1,0,52.0,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,52.4,0,52.3,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,52.4,0,52.2,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,52.6,0,52.6,422.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,sat,813.6,0,813.4,715.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,52.3,0,52.2,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,unsat,26.9,0,26.8,130.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,sat,1120.4,0,1120.3,773.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p6.smt2,,ok,unsat,52.3,0,52.2,422.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p7.smt2,,ok,unsat,52.9,0,52.8,447.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p8.smt2,,ok,unsat,54.1,0,54.0,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p9.smt2,,ok,unsat,52.0,0,51.9,421.7
