benchmark,config,status,result,time_real,exit_code,time_cpu,memory
opt1217--17_p0.smt2,,to,unknown,1201.0,0,1201.0,483.4
opt1217--17_p1.smt2,,to,unknown,1201.0,0,1201.0,497.7
opt1217--17_p10.smt2,,to,unknown,1201.0,0,1200.9,475.3
opt1217--17_p11.smt2,,to,unknown,1201.0,0,1200.9,474.1
opt1217--17_p12.smt2,,to,unknown,1201.0,0,1200.9,424.5
opt1217--17_p13.smt2,,to,unknown,1201.0,0,1201.0,468.7
opt1217--17_p14.smt2,,to,unknown,1201.0,0,1201.0,473.6
opt1217--17_p15.smt2,,ok,unsat,1.5,0,1.5,25.2
opt1217--17_p16.smt2,,to,unknown,1201.0,0,1200.9,473.6
opt1217--17_p17.smt2,,to,unknown,1201.0,0,1201.0,477.7
opt1217--17_p18.smt2,,to,unknown,1201.0,0,1201.0,485.0
opt1217--17_p19.smt2,,to,unknown,1201.0,0,1201.0,511.6
opt1217--17_p2.smt2,,to,unknown,1201.0,0,1201.0,469.3
opt1217--17_p20.smt2,,ok,unsat,1.5,0,1.5,26.1
opt1217--17_p21.smt2,,to,unknown,1201.0,0,1201.0,508.6
opt1217--17_p22.smt2,,to,unknown,1201.0,0,1201.0,483.7
opt1217--17_p23.smt2,,to,unknown,1201.0,0,1201.0,505.8
opt1217--17_p24.smt2,,to,unknown,1201.0,0,1200.9,502.5
opt1217--17_p25.smt2,,to,unknown,1201.0,0,1200.9,498.1
opt1217--17_p26.smt2,,to,unknown,1201.0,0,1201.0,465.5
opt1217--17_p27.smt2,,to,unknown,1201.0,0,1201.0,476.8
opt1217--17_p28.smt2,,to,unknown,1201.0,0,1201.0,471.7
opt1217--17_p29.smt2,,ok,unsat,4.0,0,3.9,29.4
opt1217--17_p3.smt2,,ok,unsat,1.5,0,1.5,25.7
opt1217--17_p30.smt2,,to,unknown,1201.0,0,1201.0,484.2
opt1217--17_p31.smt2,,to,unknown,1201.0,0,1201.0,479.4
opt1217--17_p32.smt2,,to,unknown,1201.0,0,1201.0,496.8
opt1217--17_p33.smt2,,to,unknown,1201.0,0,1201.0,504.7
opt1217--17_p34.smt2,,to,unknown,1201.0,0,1201.0,476.7
opt1217--17_p35.smt2,,to,unknown,1201.0,0,1201.0,475.9
opt1217--17_p36.smt2,,to,unknown,1201.0,0,1200.9,488.8
opt1217--17_p37.smt2,,to,unknown,1201.0,0,1201.0,499.6
opt1217--17_p38.smt2,,to,unknown,1201.0,0,1201.0,481.3
opt1217--17_p39.smt2,,to,unknown,1201.0,0,1201.0,485.9
opt1217--17_p4.smt2,,ok,unsat,1.5,0,1.4,25.1
opt1217--17_p40.smt2,,ok,unsat,1.5,0,1.5,26.0
opt1217--17_p41.smt2,,to,unknown,1201.0,0,1201.0,470.8
opt1217--17_p42.smt2,,ok,unsat,1.6,0,1.6,27.1
opt1217--17_p43.smt2,,to,unknown,1201.0,0,1200.9,470.5
opt1217--17_p44.smt2,,to,unknown,1201.0,0,1201.0,477.0
opt1217--17_p45.smt2,,ok,unsat,1.6,0,1.6,26.5
opt1217--17_p46.smt2,,to,unknown,1201.0,0,1201.0,468.2
opt1217--17_p47.smt2,,ok,unsat,1.5,0,1.5,26.2
opt1217--17_p48.smt2,,to,unknown,1201.0,0,1201.0,466.1
opt1217--17_p49.smt2,,to,unknown,1201.0,0,1201.0,528.0
opt1217--17_p5.smt2,,to,unknown,1201.0,0,1200.9,483.8
opt1217--17_p50.smt2,,to,unknown,1201.0,0,1201.0,497.4
opt1217--17_p51.smt2,,to,unknown,1201.0,0,1201.0,503.9
opt1217--17_p52.smt2,,to,unknown,1201.0,0,1201.0,454.1
opt1217--17_p53.smt2,,to,unknown,1201.0,0,1201.0,475.1
opt1217--17_p54.smt2,,to,unknown,1201.0,0,1201.0,495.4
opt1217--17_p55.smt2,,to,unknown,1201.0,0,1201.0,490.2
opt1217--17_p56.smt2,,to,unknown,1201.0,0,1201.0,512.0
opt1217--17_p57.smt2,,ok,unsat,1.6,0,1.6,26.0
opt1217--17_p58.smt2,,ok,unsat,4.0,0,4.0,29.6
opt1217--17_p59.smt2,,to,unknown,1201.0,0,1201.0,488.2
opt1217--17_p6.smt2,,to,unknown,1201.0,0,1201.0,482.8
opt1217--17_p60.smt2,,to,unknown,1201.0,0,1201.0,497.6
opt1217--17_p61.smt2,,to,unknown,1201.0,0,1201.0,486.9
opt1217--17_p62.smt2,,to,unknown,1201.0,0,1201.0,501.4
opt1217--17_p63.smt2,,to,unknown,1201.0,0,1201.0,486.4
opt1217--17_p7.smt2,,ok,unsat,4.7,0,4.7,28.3
opt1217--17_p8.smt2,,to,unknown,1201.0,0,1201.0,477.0
opt1217--17_p9.smt2,,to,unknown,1201.0,0,1200.9,465.3
