benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pk1-20_p0.smt2,,to,unknown,1201.0,0,1201.0,397.6
pk1-20_p1.smt2,,ok,unsat,1.0,0,1.0,10.8
pk1-20_p10.smt2,,ok,unsat,1.1,0,1.1,12.0
pk1-20_p11.smt2,,to,unknown,1201.0,0,1201.0,404.5
pk1-20_p12.smt2,,ok,unsat,2.4,0,2.3,12.1
pk1-20_p13.smt2,,to,unknown,1201.0,0,1200.9,569.8
pk1-20_p14.smt2,,to,unknown,1201.0,0,1201.0,377.6
pk1-20_p15.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-20_p16.smt2,,ok,unsat,1.6,0,1.6,11.8
pk1-20_p17.smt2,,ok,unsat,1.1,0,1.0,11.7
pk1-20_p18.smt2,,to,unknown,1201.0,0,1201.0,461.5
pk1-20_p19.smt2,,to,unknown,1201.0,0,1201.0,478.7
pk1-20_p2.smt2,,to,unknown,1201.0,0,1201.0,370.3
pk1-20_p20.smt2,,ok,unsat,1.8,0,1.8,12.0
pk1-20_p21.smt2,,ok,unsat,1.2,0,1.2,12.0
pk1-20_p22.smt2,,ok,unsat,1.1,0,1.1,12.3
pk1-20_p23.smt2,,ok,unsat,1.1,0,1.1,12.0
pk1-20_p24.smt2,,to,unknown,1201.0,0,1200.8,374.9
pk1-20_p25.smt2,,to,unknown,1201.0,0,1201.0,448.2
pk1-20_p26.smt2,,ok,unsat,1.8,0,1.7,12.7
pk1-20_p27.smt2,,to,unknown,1201.0,0,1201.0,469.7
pk1-20_p28.smt2,,to,unknown,1201.0,0,1201.0,441.7
pk1-20_p29.smt2,,to,unknown,1201.0,0,1201.0,442.5
pk1-20_p3.smt2,,to,unknown,1201.0,0,1201.0,424.5
pk1-20_p30.smt2,,to,unknown,1201.0,0,1201.0,364.3
pk1-20_p31.smt2,,ok,unsat,1.1,0,1.1,12.4
pk1-20_p32.smt2,,to,unknown,1201.0,0,1200.9,393.4
pk1-20_p33.smt2,,to,unknown,1201.0,0,1201.0,475.7
pk1-20_p34.smt2,,to,unknown,1201.0,0,1201.0,471.6
pk1-20_p35.smt2,,to,unknown,1201.0,0,1201.0,417.9
pk1-20_p36.smt2,,to,unknown,1201.0,0,1201.0,340.0
pk1-20_p37.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-20_p38.smt2,,to,unknown,1201.0,0,1201.0,379.6
pk1-20_p39.smt2,,to,unknown,1201.0,0,1201.0,418.8
pk1-20_p4.smt2,,ok,unsat,1.1,0,1.1,11.8
pk1-20_p40.smt2,,to,unknown,1201.0,0,1201.0,356.5
pk1-20_p41.smt2,,ok,unsat,1.1,0,1.1,11.8
pk1-20_p42.smt2,,to,unknown,1201.0,0,1201.0,411.2
pk1-20_p43.smt2,,ok,unsat,3.5,0,3.5,13.1
pk1-20_p44.smt2,,ok,unsat,2.1,0,2.1,13.8
pk1-20_p45.smt2,,to,unknown,1201.0,0,1201.0,559.3
pk1-20_p46.smt2,,to,unknown,1201.0,0,1201.0,351.5
pk1-20_p47.smt2,,to,unknown,1201.0,0,1201.0,458.1
pk1-20_p48.smt2,,to,unknown,1201.0,0,1201.0,463.8
pk1-20_p49.smt2,,to,unknown,1201.0,0,1201.0,412.4
pk1-20_p5.smt2,,to,unknown,1201.0,0,1201.0,438.9
pk1-20_p50.smt2,,to,unknown,1201.0,0,1201.0,357.1
pk1-20_p51.smt2,,to,unknown,1201.0,0,1201.0,372.5
pk1-20_p52.smt2,,to,unknown,1201.0,0,1201.0,440.4
pk1-20_p53.smt2,,to,unknown,1201.0,0,1201.0,491.9
pk1-20_p54.smt2,,to,unknown,1201.0,0,1201.0,464.9
pk1-20_p55.smt2,,to,unknown,1201.0,0,1201.0,357.0
pk1-20_p56.smt2,,to,unknown,1201.0,0,1201.0,484.5
pk1-20_p57.smt2,,ok,unsat,1.3,0,1.3,13.1
pk1-20_p58.smt2,,to,unknown,1201.0,0,1201.0,445.7
pk1-20_p59.smt2,,ok,unsat,3.4,0,3.4,14.2
pk1-20_p6.smt2,,to,unknown,1201.0,0,1201.0,419.2
pk1-20_p60.smt2,,to,unknown,1201.0,0,1201.0,401.0
pk1-20_p61.smt2,,to,unknown,1201.0,0,1201.0,413.1
pk1-20_p62.smt2,,to,unknown,1201.0,0,1201.0,484.3
pk1-20_p63.smt2,,to,unknown,1201.0,0,1201.0,405.3
pk1-20_p7.smt2,,to,unknown,1201.0,0,1201.0,481.3
pk1-20_p8.smt2,,ok,unsat,1.1,0,1.1,11.1
pk1-20_p9.smt2,,to,unknown,1201.0,0,1201.0,426.0
