benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,sat,1072.6,0,1069.8,766.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,sat,1162.6,0,1160.4,740.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1200.2,1008.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,sat,910.7,0,910.2,707.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,sat,1169.5,0,1167.7,717.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,sat,1079.8,0,1076.9,967.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p14.smt2,,to,unknown,1201.0,0,1200.6,716.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,sat,1085.2,0,1084.6,737.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,sat,862.1,0,859.5,735.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1198.1,983.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,sat,783.1,0,782.3,750.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,sat,1176.4,0,1173.1,752.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,sat,949.9,0,949.2,762.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,sat,1020.0,0,1019.5,732.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p21.smt2,,to,unknown,1201.0,0,1200.2,978.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,sat,551.0,0,548.0,724.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p23.smt2,,to,unknown,1201.0,0,1199.4,978.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,sat,709.0,0,708.5,716.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,sat,908.9,0,908.1,717.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p26.smt2,,ok,sat,748.3,0,745.2,756.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p27.smt2,,ok,sat,977.0,0,974.3,763.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p28.smt2,,ok,sat,847.9,0,844.6,730.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p29.smt2,,ok,sat,1074.4,0,1073.6,786.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,sat,1013.0,0,1009.7,754.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p30.smt2,,ok,sat,886.7,0,883.4,770.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p31.smt2,,to,unknown,1201.0,0,1200.4,750.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p32.smt2,,ok,sat,1122.2,0,1119.8,747.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p33.smt2,,ok,sat,835.0,0,832.2,955.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p34.smt2,,ok,sat,1026.1,0,1022.8,709.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p35.smt2,,ok,sat,909.2,0,908.7,709.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p36.smt2,,ok,sat,911.2,0,909.0,719.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p37.smt2,,ok,sat,1182.6,0,1180.2,1000.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p38.smt2,,to,unknown,1201.0,0,1200.6,722.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p39.smt2,,to,unknown,1201.0,0,1200.5,741.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,sat,717.5,0,715.2,970.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p40.smt2,,ok,sat,807.4,0,804.5,745.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p41.smt2,,ok,sat,1185.4,0,1183.6,998.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p42.smt2,,to,unknown,1201.0,0,1200.7,722.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p43.smt2,,ok,sat,1045.1,0,1044.3,732.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p44.smt2,,to,unknown,1201.0,0,1197.9,730.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p45.smt2,,ok,sat,1068.5,0,1065.8,756.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,sat,856.7,0,855.0,725.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p6.smt2,,ok,sat,827.8,0,827.1,699.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p7.smt2,,ok,sat,1062.7,0,1059.7,993.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p8.smt2,,ok,sat,703.7,0,700.9,746.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p9.smt2,,ok,sat,807.7,0,804.6,712.6
