benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-223827_p0.smt2,,to,unknown,1201.0,0,1200.9,78.8
constraint-223827_p1.smt2,,to,unknown,1201.0,0,1201.0,74.8
constraint-223827_p10.smt2,,to,unknown,1201.0,0,1201.0,86.6
constraint-223827_p100.smt2,,to,unknown,1201.0,0,1200.9,70.6
constraint-223827_p101.smt2,,to,unknown,1201.0,0,1201.0,77.3
constraint-223827_p102.smt2,,to,unknown,1201.0,0,1200.9,73.6
constraint-223827_p103.smt2,,ok,sat,848.9,0,848.9,76.1
constraint-223827_p104.smt2,,to,unknown,1201.0,0,1201.0,72.4
constraint-223827_p105.smt2,,to,unknown,1201.0,0,1200.9,75.0
constraint-223827_p106.smt2,,ok,sat,320.2,0,320.2,68.2
constraint-223827_p107.smt2,,to,unknown,1201.0,0,1201.0,76.7
constraint-223827_p108.smt2,,to,unknown,1201.0,0,1201.0,83.3
constraint-223827_p109.smt2,,to,unknown,1201.0,0,1201.0,74.5
constraint-223827_p11.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p110.smt2,,to,unknown,1201.0,0,1201.0,75.3
constraint-223827_p111.smt2,,to,unknown,1201.0,0,1201.0,72.1
constraint-223827_p112.smt2,,to,unknown,1201.0,0,1201.0,80.0
constraint-223827_p113.smt2,,to,unknown,1201.0,0,1200.9,76.7
constraint-223827_p114.smt2,,to,unknown,1201.0,0,1201.0,70.1
constraint-223827_p115.smt2,,to,unknown,1201.0,0,1201.0,73.7
constraint-223827_p116.smt2,,to,unknown,1201.0,0,1201.0,76.5
constraint-223827_p117.smt2,,to,unknown,1201.0,0,1201.0,75.4
constraint-223827_p118.smt2,,to,unknown,1201.0,0,1200.9,72.6
constraint-223827_p119.smt2,,to,unknown,1201.0,0,1200.9,85.6
constraint-223827_p12.smt2,,to,unknown,1201.0,0,1201.0,82.5
constraint-223827_p120.smt2,,to,unknown,1201.0,0,1201.0,72.2
constraint-223827_p121.smt2,,ok,sat,570.7,0,570.7,69.2
constraint-223827_p122.smt2,,to,unknown,1201.0,0,1201.0,72.3
constraint-223827_p123.smt2,,ok,sat,911.8,0,911.8,102.1
constraint-223827_p124.smt2,,to,unknown,1201.0,0,1201.0,70.4
constraint-223827_p125.smt2,,to,unknown,1201.0,0,1201.0,72.5
constraint-223827_p126.smt2,,to,unknown,1201.0,0,1201.0,76.7
constraint-223827_p127.smt2,,ok,sat,294.2,0,294.2,73.1
constraint-223827_p13.smt2,,to,unknown,1201.0,0,1200.9,73.8
constraint-223827_p14.smt2,,to,unknown,1201.0,0,1201.0,81.4
constraint-223827_p15.smt2,,to,unknown,1201.0,0,1201.0,71.6
constraint-223827_p16.smt2,,to,unknown,1201.0,0,1201.0,78.3
constraint-223827_p17.smt2,,to,unknown,1201.0,0,1201.0,69.7
constraint-223827_p18.smt2,,to,unknown,1201.0,0,1200.9,77.3
constraint-223827_p19.smt2,,to,unknown,1201.0,0,1201.0,75.5
constraint-223827_p2.smt2,,to,unknown,1201.0,0,1201.0,74.7
constraint-223827_p20.smt2,,to,unknown,1201.0,0,1201.0,70.5
constraint-223827_p21.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p22.smt2,,to,unknown,1201.0,0,1201.0,72.7
constraint-223827_p23.smt2,,to,unknown,1201.0,0,1200.9,71.0
constraint-223827_p24.smt2,,to,unknown,1201.0,0,1201.0,79.3
constraint-223827_p25.smt2,,to,unknown,1201.0,0,1201.0,79.0
constraint-223827_p26.smt2,,to,unknown,1201.0,0,1201.0,73.9
constraint-223827_p27.smt2,,ok,sat,191.7,0,191.7,69.4
constraint-223827_p28.smt2,,to,unknown,1201.0,0,1201.0,79.5
constraint-223827_p29.smt2,,to,unknown,1201.0,0,1201.0,70.7
constraint-223827_p3.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p30.smt2,,to,unknown,1201.0,0,1201.0,78.3
constraint-223827_p31.smt2,,to,unknown,1201.0,0,1201.0,74.4
constraint-223827_p32.smt2,,to,unknown,1201.0,0,1201.0,72.8
constraint-223827_p33.smt2,,to,unknown,1201.0,0,1201.0,79.3
constraint-223827_p34.smt2,,to,unknown,1201.0,0,1201.0,71.3
constraint-223827_p35.smt2,,to,unknown,1201.0,0,1201.0,74.0
constraint-223827_p36.smt2,,to,unknown,1201.0,0,1200.9,73.9
constraint-223827_p37.smt2,,to,unknown,1201.0,0,1200.9,77.3
constraint-223827_p38.smt2,,to,unknown,1201.0,0,1200.9,69.8
constraint-223827_p39.smt2,,to,unknown,1201.0,0,1201.0,70.6
constraint-223827_p4.smt2,,to,unknown,1201.0,0,1201.0,69.8
constraint-223827_p40.smt2,,to,unknown,1201.0,0,1201.0,72.6
constraint-223827_p41.smt2,,to,unknown,1201.0,0,1201.0,73.3
constraint-223827_p42.smt2,,to,unknown,1201.0,0,1201.0,70.6
constraint-223827_p43.smt2,,to,unknown,1201.0,0,1201.0,73.9
constraint-223827_p44.smt2,,to,unknown,1201.0,0,1201.0,70.5
constraint-223827_p45.smt2,,to,unknown,1201.0,0,1201.0,77.6
constraint-223827_p46.smt2,,to,unknown,1201.0,0,1201.0,72.4
constraint-223827_p47.smt2,,to,unknown,1201.0,0,1201.0,72.1
constraint-223827_p48.smt2,,to,unknown,1201.0,0,1200.9,83.1
constraint-223827_p49.smt2,,to,unknown,1201.0,0,1201.0,75.4
constraint-223827_p5.smt2,,to,unknown,1201.0,0,1201.0,72.1
constraint-223827_p50.smt2,,to,unknown,1201.0,0,1200.9,75.4
constraint-223827_p51.smt2,,to,unknown,1201.0,0,1201.0,72.6
constraint-223827_p52.smt2,,to,unknown,1201.0,0,1201.0,72.9
constraint-223827_p53.smt2,,to,unknown,1201.0,0,1200.9,78.5
constraint-223827_p54.smt2,,ok,sat,500.1,0,500.0,69.4
constraint-223827_p55.smt2,,to,unknown,1201.0,0,1201.0,73.7
constraint-223827_p56.smt2,,ok,sat,687.5,0,687.4,73.8
constraint-223827_p57.smt2,,to,unknown,1201.0,0,1201.0,69.9
constraint-223827_p58.smt2,,to,unknown,1201.0,0,1201.0,74.7
constraint-223827_p59.smt2,,to,unknown,1201.0,0,1200.9,80.4
constraint-223827_p6.smt2,,to,unknown,1201.0,0,1201.0,70.9
constraint-223827_p60.smt2,,to,unknown,1201.0,0,1201.0,72.0
constraint-223827_p61.smt2,,to,unknown,1201.0,0,1201.0,76.4
constraint-223827_p62.smt2,,to,unknown,1201.0,0,1201.0,71.8
constraint-223827_p63.smt2,,to,unknown,1201.0,0,1201.0,76.5
constraint-223827_p64.smt2,,to,unknown,1201.0,0,1200.9,68.9
constraint-223827_p65.smt2,,to,unknown,1201.0,0,1200.9,77.1
constraint-223827_p66.smt2,,to,unknown,1201.0,0,1200.8,71.2
constraint-223827_p67.smt2,,to,unknown,1201.0,0,1201.0,74.9
constraint-223827_p68.smt2,,to,unknown,1201.0,0,1201.0,71.1
constraint-223827_p69.smt2,,to,unknown,1201.0,0,1201.0,69.5
constraint-223827_p7.smt2,,to,unknown,1201.0,0,1201.0,75.3
constraint-223827_p70.smt2,,to,unknown,1201.0,0,1201.0,76.5
constraint-223827_p71.smt2,,ok,sat,272.5,0,272.4,68.1
constraint-223827_p72.smt2,,to,unknown,1201.0,0,1201.0,78.2
constraint-223827_p73.smt2,,to,unknown,1201.0,0,1201.0,67.0
constraint-223827_p74.smt2,,ok,sat,55.4,0,55.4,67.0
constraint-223827_p75.smt2,,to,unknown,1201.0,0,1200.9,71.4
constraint-223827_p76.smt2,,to,unknown,1201.0,0,1201.0,73.2
constraint-223827_p77.smt2,,to,unknown,1201.0,0,1201.0,73.7
constraint-223827_p78.smt2,,to,unknown,1201.0,0,1201.0,70.4
constraint-223827_p79.smt2,,to,unknown,1201.0,0,1201.0,72.7
constraint-223827_p8.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p80.smt2,,to,unknown,1201.0,0,1200.9,72.5
constraint-223827_p81.smt2,,to,unknown,1201.0,0,1201.0,73.1
constraint-223827_p82.smt2,,to,unknown,1201.0,0,1201.0,73.6
