benchmark,config,status,result,time_real,exit_code,time_cpu,memory
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.7,455.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1200.3,517.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.8,508.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p100.smt2,,ok,unsat,745.6,0,745.2,420.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p101.smt2,,ok,unsat,754.9,0,754.4,419.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p102.smt2,,ok,unsat,725.0,0,724.6,413.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p103.smt2,,ok,unsat,704.0,0,703.7,418.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p104.smt2,,to,unknown,1201.0,0,1200.6,448.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p105.smt2,,ok,unsat,808.6,0,808.1,428.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p106.smt2,,ok,unsat,876.7,0,876.4,420.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p107.smt2,,ok,unsat,841.4,0,841.0,487.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p108.smt2,,ok,unsat,768.2,0,767.8,410.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p109.smt2,,ok,unsat,909.4,0,909.1,493.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,to,unknown,1201.0,0,1200.7,465.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p110.smt2,,ok,unsat,804.8,0,804.4,430.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p111.smt2,,ok,unsat,712.4,0,711.9,418.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p112.smt2,,ok,unsat,896.0,0,895.6,491.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p113.smt2,,ok,unsat,907.3,0,906.5,492.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p114.smt2,,ok,unsat,936.5,0,935.8,431.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p115.smt2,,ok,unsat,702.0,0,701.7,416.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p116.smt2,,ok,unsat,715.3,0,715.1,414.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p117.smt2,,ok,unsat,753.6,0,753.0,421.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p118.smt2,,ok,unsat,733.9,0,733.5,410.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p119.smt2,,ok,unsat,737.1,0,736.7,422.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1200.6,456.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p120.smt2,,ok,unsat,907.9,0,907.4,493.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p121.smt2,,ok,unsat,720.2,0,719.5,413.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p122.smt2,,ok,unsat,700.5,0,699.6,422.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p123.smt2,,ok,unsat,698.7,0,698.1,423.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p124.smt2,,ok,unsat,832.7,0,832.4,442.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p125.smt2,,ok,unsat,904.3,0,903.7,493.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p126.smt2,,ok,unsat,898.2,0,897.9,492.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p127.smt2,,ok,unsat,759.2,0,758.9,492.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p13.smt2,,ok,unsat,748.5,0,748.1,415.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p14.smt2,,ok,unsat,911.8,0,911.4,491.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p15.smt2,,ok,unsat,706.2,0,706.0,410.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p16.smt2,,ok,unsat,918.2,0,917.9,491.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p17.smt2,,to,unknown,1201.0,0,1200.7,488.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p18.smt2,,ok,unsat,772.0,0,771.2,422.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1200.6,455.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p2.smt2,,to,unknown,1201.0,0,1200.3,458.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p20.smt2,,ok,unsat,779.4,0,779.0,422.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p21.smt2,,ok,unsat,911.5,0,911.3,491.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p22.smt2,,to,unknown,1201.0,0,1200.7,491.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p23.smt2,,ok,unsat,936.4,0,935.8,491.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p24.smt2,,ok,unsat,922.5,0,922.2,491.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p25.smt2,,ok,unsat,884.0,0,883.6,418.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p26.smt2,,to,unknown,1201.0,0,1200.7,491.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p27.smt2,,ok,unsat,924.6,0,924.1,491.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p28.smt2,,to,unknown,1201.0,0,1200.6,493.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p29.smt2,,to,unknown,1201.0,0,1200.2,493.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p3.smt2,,to,unknown,1201.0,0,1200.7,456.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p30.smt2,,ok,unsat,809.7,0,809.1,429.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p31.smt2,,to,unknown,1201.0,0,1200.2,459.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p32.smt2,,to,unknown,1201.0,0,1200.3,493.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p33.smt2,,to,unknown,1201.0,0,1200.8,493.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p34.smt2,,ok,unsat,823.9,0,823.4,489.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p35.smt2,,ok,unsat,865.8,0,865.3,425.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p36.smt2,,ok,unsat,76.8,0,76.4,387.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p37.smt2,,to,unknown,1201.0,0,1200.8,493.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p38.smt2,,to,unknown,1201.0,0,1200.5,493.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p39.smt2,,to,unknown,1201.0,0,1200.7,493.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p4.smt2,,ok,unsat,910.7,0,910.4,491.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p40.smt2,,to,unknown,1201.0,0,1200.7,505.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p41.smt2,,ok,unsat,828.0,0,827.5,428.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p42.smt2,,ok,unsat,859.2,0,859.0,433.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p43.smt2,,ok,unsat,781.6,0,781.2,425.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p44.smt2,,ok,unsat,771.7,0,771.4,422.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p45.smt2,,to,unknown,1201.0,0,1200.7,504.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p46.smt2,,ok,unsat,754.3,0,753.9,487.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p47.smt2,,to,unknown,1201.0,0,1200.7,493.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p48.smt2,,ok,unsat,712.9,0,712.6,414.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p49.smt2,,ok,unsat,1150.1,0,1149.7,488.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p5.smt2,,to,unknown,1201.0,0,1200.6,459.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p50.smt2,,ok,unsat,830.4,0,830.3,424.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p51.smt2,,ok,unsat,837.2,0,836.8,489.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p52.smt2,,ok,unsat,779.2,0,778.6,433.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p53.smt2,,ok,unsat,83.7,0,83.4,390.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p54.smt2,,ok,unsat,883.3,0,882.7,500.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p55.smt2,,ok,unsat,33.9,0,33.5,350.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p56.smt2,,ok,unsat,711.3,0,711.0,417.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p57.smt2,,ok,unsat,885.0,0,884.6,424.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p58.smt2,,ok,unsat,922.0,0,921.6,446.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p59.smt2,,ok,unsat,876.2,0,876.0,423.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p6.smt2,,to,unknown,1201.0,0,1200.4,510.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p60.smt2,,to,unknown,1201.0,0,1200.7,492.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p61.smt2,,ok,unsat,864.3,0,864.1,478.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p62.smt2,,ok,unsat,796.7,0,795.9,484.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p63.smt2,,ok,unsat,81.3,0,80.8,359.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p64.smt2,,ok,unsat,891.5,0,891.2,425.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p65.smt2,,ok,unsat,858.2,0,857.5,423.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p66.smt2,,ok,unsat,758.8,0,758.0,418.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p67.smt2,,ok,unsat,803.2,0,802.8,421.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p68.smt2,,ok,unsat,809.8,0,809.4,492.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p69.smt2,,ok,unsat,745.3,0,744.9,425.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p7.smt2,,ok,unsat,36.2,0,35.7,349.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p70.smt2,,ok,unsat,1177.2,0,1176.8,492.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p71.smt2,,to,unknown,1201.0,0,1200.3,491.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p72.smt2,,ok,unsat,860.0,0,859.7,424.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p73.smt2,,ok,unsat,882.2,0,881.6,429.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p74.smt2,,ok,unsat,813.9,0,813.6,419.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p75.smt2,,ok,unsat,823.3,0,823.1,488.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p76.smt2,,ok,unsat,805.1,0,804.7,418.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p77.smt2,,ok,unsat,890.6,0,890.3,442.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p78.smt2,,ok,unsat,801.6,0,801.3,425.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p79.smt2,,ok,unsat,838.9,0,838.5,434.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p8.smt2,,to,unknown,1201.0,0,1200.7,454.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p80.smt2,,ok,unsat,862.0,0,861.6,478.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p81.smt2,,ok,unsat,766.9,0,766.6,411.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p82.smt2,,ok,unsat,1173.3,0,1173.1,492.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p83.smt2,,ok,unsat,174.6,0,174.3,401.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p84.smt2,,ok,unsat,985.2,0,984.9,435.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p85.smt2,,ok,unsat,832.6,0,832.2,433.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p86.smt2,,ok,unsat,857.2,0,856.7,487.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p87.smt2,,ok,unsat,791.8,0,791.5,487.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p88.smt2,,ok,unsat,839.9,0,839.6,490.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p89.smt2,,ok,unsat,891.6,0,891.1,492.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p9.smt2,,ok,unsat,824.0,0,823.5,430.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p90.smt2,,ok,unsat,731.5,0,730.8,412.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p91.smt2,,ok,unsat,929.5,0,928.7,427.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p92.smt2,,ok,unsat,888.5,0,887.9,427.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p93.smt2,,to,unknown,1201.0,0,1200.3,492.2
