benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_strcpy_original.i_3_3_2.bpl_11_p0.smt2,,ok,unsat,395.4,0,395.4,36.4
_standard_strcpy_original.i_3_3_2.bpl_11_p1.smt2,,ok,unsat,96.9,0,96.9,27.4
_standard_strcpy_original.i_3_3_2.bpl_11_p10.smt2,,ok,unsat,1.3,0,1.3,13.9
_standard_strcpy_original.i_3_3_2.bpl_11_p11.smt2,,ok,unsat,4.9,0,4.9,14.7
_standard_strcpy_original.i_3_3_2.bpl_11_p12.smt2,,ok,unsat,6.9,0,6.9,15.8
_standard_strcpy_original.i_3_3_2.bpl_11_p2.smt2,,ok,unsat,539.4,0,539.4,40.8
_standard_strcpy_original.i_3_3_2.bpl_11_p3.smt2,,ok,unsat,427.0,0,426.9,38.4
_standard_strcpy_original.i_3_3_2.bpl_11_p4.smt2,,ok,unsat,7.7,0,7.6,15.3
_standard_strcpy_original.i_3_3_2.bpl_11_p5.smt2,,ok,unsat,3.6,0,3.6,14.2
_standard_strcpy_original.i_3_3_2.bpl_11_p6.smt2,,ok,unsat,8.5,0,8.5,15.9
_standard_strcpy_original.i_3_3_2.bpl_11_p7.smt2,,ok,unsat,8.9,0,8.8,16.3
_standard_strcpy_original.i_3_3_2.bpl_11_p8.smt2,,ok,unsat,2.7,0,2.7,14.0
_standard_strcpy_original.i_3_3_2.bpl_11_p9.smt2,,ok,unsat,1.2,0,1.2,13.2
