benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p0.smt2,,ok,sat,926.3,0,926.2,519.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p1.smt2,,ok,sat,686.1,0,686.0,552.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p10.smt2,,ok,sat,1086.8,0,1086.7,622.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1200.8,581.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p12.smt2,,ok,sat,911.3,0,911.1,515.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p13.smt2,,ok,sat,561.6,0,561.5,451.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p14.smt2,,ok,sat,1003.5,0,1003.2,626.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p15.smt2,,ok,sat,1097.7,0,1097.6,594.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p2.smt2,,ok,sat,659.0,0,658.8,490.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p3.smt2,,ok,sat,946.4,0,946.1,558.2
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p4.smt2,,ok,sat,905.1,0,905.0,509.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p5.smt2,,ok,sat,731.8,0,731.7,578.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p6.smt2,,ok,sat,871.2,0,871.1,536.2
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p7.smt2,,ok,sat,960.6,0,960.4,553.2
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p8.smt2,,to,unknown,1201.0,0,1200.8,554.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p9.smt2,,to,unknown,1201.0,0,1200.9,640.9
