benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_const1.i_3_6_2.bpl_11_p0.smt2,,to,unknown,1201.0,0,1201.0,101.7
_const1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,1059.6,0,1059.5,92.7
_const1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,1031.6,0,1031.6,78.8
_const1.i_3_6_2.bpl_11_p11.smt2,,to,unknown,1201.0,0,1200.9,88.9
_const1.i_3_6_2.bpl_11_p12.smt2,,to,unknown,1201.0,0,1201.0,75.1
_const1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,774.6,0,774.5,61.9
_const1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,389.0,0,389.0,37.6
_const1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,673.9,0,673.8,60.0
_const1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,1164.9,0,1164.8,78.1
_const1.i_3_6_2.bpl_11_p17.smt2,,to,unknown,1201.0,0,1201.0,79.9
_const1.i_3_6_2.bpl_11_p18.smt2,,to,unknown,1201.0,0,1201.0,90.4
_const1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,96.2,0,96.1,30.2
_const1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,860.3,0,860.2,78.6
_const1.i_3_6_2.bpl_11_p20.smt2,,to,unknown,1201.0,0,1201.0,88.8
_const1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,109.4,0,109.3,28.0
_const1.i_3_6_2.bpl_11_p22.smt2,,to,unknown,1201.0,0,1201.0,80.2
_const1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,438.6,0,438.6,39.2
_const1.i_3_6_2.bpl_11_p24.smt2,,to,unknown,1201.0,0,1201.0,87.4
_const1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,865.7,0,865.7,57.0
_const1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,587.9,0,587.9,54.9
_const1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,534.6,0,534.6,41.5
_const1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,125.1,0,125.0,29.3
_const1.i_3_6_2.bpl_11_p29.smt2,,to,unknown,1201.0,0,1201.0,84.4
_const1.i_3_6_2.bpl_11_p3.smt2,,to,unknown,1201.0,0,1201.0,100.3
_const1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,774.4,0,774.4,53.1
_const1.i_3_6_2.bpl_11_p31.smt2,,to,unknown,1201.0,0,1201.0,87.6
_const1.i_3_6_2.bpl_11_p4.smt2,,to,unknown,1201.0,0,1201.0,95.3
_const1.i_3_6_2.bpl_11_p5.smt2,,to,unknown,1201.0,0,1201.0,87.2
_const1.i_3_6_2.bpl_11_p6.smt2,,ok,unsat,1135.0,0,1134.9,81.6
_const1.i_3_6_2.bpl_11_p7.smt2,,to,unknown,1201.0,0,1201.0,86.2
_const1.i_3_6_2.bpl_11_p8.smt2,,to,unknown,1201.0,0,1201.0,94.4
_const1.i_3_6_2.bpl_11_p9.smt2,,ok,unsat,896.8,0,896.7,81.4
