benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_init5_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,581.7,0,581.6,118.0
_standard_init5_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,548.6,0,548.5,93.1
_standard_init5_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,551.8,0,551.8,94.6
_standard_init5_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,616.5,0,616.4,102.2
_standard_init5_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,560.7,0,560.6,91.5
_standard_init5_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,460.8,0,460.7,81.8
_standard_init5_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,500.2,0,500.2,87.4
_standard_init5_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,524.5,0,524.4,91.1
_standard_init5_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,483.7,0,483.6,87.6
_standard_init5_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,575.3,0,575.2,97.6
_standard_init5_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,165.5,0,165.5,60.4
_standard_init5_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,548.9,0,548.9,95.3
_standard_init5_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,461.3,0,461.3,82.5
_standard_init5_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,507.0,0,507.0,86.2
_standard_init5_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,586.0,0,585.9,95.7
_standard_init5_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,450.8,0,450.8,79.9
_standard_init5_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,669.9,0,669.9,103.1
_standard_init5_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,523.1,0,523.1,86.4
_standard_init5_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,482.5,0,482.4,82.7
_standard_init5_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,538.2,0,538.1,93.3
_standard_init5_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,505.4,0,505.3,88.3
_standard_init5_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,451.8,0,451.8,80.8
_standard_init5_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,533.6,0,533.6,90.7
_standard_init5_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,582.0,0,581.9,102.1
_standard_init5_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,601.4,0,601.3,108.6
_standard_init5_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,616.1,0,616.1,106.2
_standard_init5_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,550.3,0,550.3,93.9
_standard_init5_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,451.1,0,451.1,91.2
_standard_init5_ground.i_3_2_2.bpl_7_p6.smt2,,ok,unsat,518.1,0,518.0,89.3
_standard_init5_ground.i_3_2_2.bpl_7_p7.smt2,,ok,unsat,467.6,0,467.5,82.4
_standard_init5_ground.i_3_2_2.bpl_7_p8.smt2,,ok,unsat,529.6,0,529.5,94.1
_standard_init5_ground.i_3_2_2.bpl_7_p9.smt2,,ok,unsat,551.8,0,551.8,96.8
