benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_06.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,124.2,0,124.2,38.8
_standard_two_index_06.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,28.5,0,28.4,19.8
_standard_two_index_06.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,6.7,0,6.6,15.6
_standard_two_index_06.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,142.3,0,142.3,48.2
_standard_two_index_06.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,181.3,0,181.2,54.9
_standard_two_index_06.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,33.4,0,33.4,23.2
_standard_two_index_06.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,46.4,0,46.4,25.3
_standard_two_index_06.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,74.4,0,74.4,31.6
_standard_two_index_06.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,161.0,0,161.0,55.5
_standard_two_index_06.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,19.5,0,19.5,20.6
_standard_two_index_06.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,20.6,0,20.6,20.2
_standard_two_index_06.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,32.7,0,32.7,21.2
_standard_two_index_06.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,24.3,0,24.3,20.1
_standard_two_index_06.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,12.3,0,12.3,18.0
_standard_two_index_06.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,16.9,0,16.9,18.0
_standard_two_index_06.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,15.1,0,15.1,18.6
_standard_two_index_06.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,22.8,0,22.8,20.9
_standard_two_index_06.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,4.5,0,4.5,14.2
_standard_two_index_06.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,31.0,0,31.0,22.2
_standard_two_index_06.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,4.1,0,4.1,14.5
_standard_two_index_06.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,18.3,0,18.2,18.7
_standard_two_index_06.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,14.5,0,14.5,18.3
_standard_two_index_06.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,19.2,0,19.2,19.3
_standard_two_index_06.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,629.1,0,629.0,103.3
_standard_two_index_06.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,14.1,0,14.1,16.7
_standard_two_index_06.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,27.0,0,27.0,21.5
_standard_two_index_06.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,164.0,0,164.0,54.7
_standard_two_index_06.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,50.0,0,50.0,27.6
_standard_two_index_06.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,106.1,0,106.0,34.1
_standard_two_index_06.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,85.4,0,85.4,39.8
_standard_two_index_06.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,17.4,0,17.4,19.9
_standard_two_index_06.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,84.6,0,84.6,34.1
