benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-37.base.cvc_p0.smt2,,ok,unsat,0.9,0,0.9,12.5
uart-37.base.cvc_p1.smt2,,ok,unsat,192.3,0,192.3,68.6
uart-37.base.cvc_p10.smt2,,ok,unsat,37.6,0,37.6,57.0
uart-37.base.cvc_p11.smt2,,ok,unsat,17.7,0,17.6,52.4
uart-37.base.cvc_p12.smt2,,ok,unsat,17.9,0,17.8,50.2
uart-37.base.cvc_p13.smt2,,ok,unsat,12.4,0,12.4,47.3
uart-37.base.cvc_p14.smt2,,ok,unsat,0.6,0,0.5,12.7
uart-37.base.cvc_p15.smt2,,ok,unsat,9.5,0,9.4,47.6
uart-37.base.cvc_p16.smt2,,ok,unsat,11.3,0,11.3,49.1
uart-37.base.cvc_p17.smt2,,ok,unsat,34.7,0,34.6,57.4
uart-37.base.cvc_p18.smt2,,ok,unsat,11.0,0,11.0,47.4
uart-37.base.cvc_p19.smt2,,ok,unsat,10.6,0,10.6,47.9
uart-37.base.cvc_p2.smt2,,ok,unsat,422.3,0,422.3,69.4
uart-37.base.cvc_p20.smt2,,ok,unsat,6.4,0,6.4,50.6
uart-37.base.cvc_p21.smt2,,ok,unsat,3.0,0,3.0,42.5
uart-37.base.cvc_p22.smt2,,ok,unsat,9.3,0,9.3,50.0
uart-37.base.cvc_p23.smt2,,ok,unsat,4.4,0,4.4,42.5
uart-37.base.cvc_p24.smt2,,ok,unsat,3.2,0,3.2,42.8
uart-37.base.cvc_p25.smt2,,ok,unsat,3.8,0,3.7,43.9
uart-37.base.cvc_p26.smt2,,ok,unsat,2.1,0,2.0,42.8
uart-37.base.cvc_p3.smt2,,ok,unsat,199.2,0,199.1,69.2
uart-37.base.cvc_p4.smt2,,ok,unsat,66.2,0,66.2,57.9
uart-37.base.cvc_p5.smt2,,ok,unsat,77.0,0,77.0,58.8
uart-37.base.cvc_p6.smt2,,ok,unsat,159.7,0,159.6,68.0
uart-37.base.cvc_p7.smt2,,ok,unsat,158.9,0,158.9,67.1
uart-37.base.cvc_p8.smt2,,ok,unsat,198.8,0,198.7,68.3
uart-37.base.cvc_p9.smt2,,ok,unsat,15.1,0,15.1,51.6
